key	text	tooltip
#Loc;1;text/db/ministerial_positions_strings__.loc		
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_underling_description	The underling attends to matters both civil and military in their assigned commanderies; matters that you cannot spare your attention for.	false
ministerial_positions_strings_on_screen_3k_ytr_court_offices_heaven_lord_description	Originally a title held by Zhang Jue himself, the General of Heaven is responsible for ensuring the Will of Heaven is correctly interpreted and carried out.\\n\\nThis office can only be held by [[b]]scholar[[/b]] characters.\\n\\n[[col:scope_description]]Increases industry income and provides bonuses to local morale and public order[[/col]]	false
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_next_in_line	Next in Line	false
ministerial_positions_strings_on_screen_3k_main_court_offices_liu_biao_academy_student_title	Student	false
ministerial_positions_strings_on_screen_3k_dlc05_court_minister_sun_ce_commander_wood	Director of Finance	false
ministerial_positions_strings_on_screen_3k_dlc06_court_offices_nanman_seer_default_description	Only the wisest amongst the tribes are fit to advise their leader, and only a foolish leader would ignore their sage and tested advice.	false
ministerial_positions_strings_on_screen_3k_dlc05_court_minister_sun_ce_commander_fire_description	The director is responsible keeping the officers disciplined and in excellent shape.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_chancellor	The {{tr:chancellor}} is the chief civil officer, the first of your appointed ministers and second only to you in the court hierarchy.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_liu_biao_academy_tutor_title	Tutor	false
ministerial_positions_strings_on_screen_3k_main_court_offices_grand_commandant	The grand commandant is your commander-in-chief, with supreme operational oversight in military matters.\\n\\nCharacters in this position become part of your [[b]]faction council[[/b]].	false
ministerial_positions_strings_on_screen_3k_dlc05_court_minister_sun_ce_official_earth	Chancellor	false
ministerial_positions_strings_on_screen_3k_ytr_court_offices_governor_description	Local leaders supervise life in the commanderies, ensuring that the people are provided with wisdom and guidance.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_administrators	Power decentralised is power consolidated. Administrators oversee both civil and military matters within their assigned commanderies.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_inspector_earth	Government Inspector	false
ministerial_positions_strings_on_screen_3k_ytr_court_offices_land_great	Great Commander	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_of_finance_description	At a modest salary of 2,000 shi, the minister of finance controls the imperial treasury, overseeing state expenses in conjunction with the minister steward.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_inspector_water	Economic Inspector	false
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_next_in_line_description	You must have a next-in-line to succeed you, in case the worst should happen.	false
ministerial_positions_strings_on_screen_3k_dlc05_court_minister_sun_ce_commander_earth	Director of Records	false
ministerial_positions_strings_on_screen_3k_main_court_offices_liu_biao_academy_scholar	Knowledge, once learned, must be passed on - that is the eternal duty of the scholar.	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_general_in_chief	Imperial Chancellor	false
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_minister_negotiator_description	The unbending negotiator ensures your cultural differences do not negatively impact diplomatic relations whilst keeping your own ministers in line.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_inspector_earth_description	There is much a general learns managing the logistics of an army.	false
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_underling	Underling	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_of_the_imperial_household_description	The minister of the imperial household is primarily concerned with the security of the head of the imperial family, both within and without the imperial palace. For this most important of tasks, they are paid 2,000 shi a year.	false
ministerial_positions_strings_on_screen_3k_dlc05_court_minister_sun_ce_commander_fire	Director of Officers	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_general_in_chief_description	The highest official position in the government, the imperial chancellor commands a salary of 10,000 shi and is responsible for each and every civil servant in the administration.	false
ministerial_positions_strings_on_screen_3k_dlc05_court_minister_sun_ce_official_water_description	The grand tutor advises officials in foreign affairs and personal conduct when dealing with envoys.\\n\\nCharacters in this position become part of your [[b]]faction council[[/b]].	false
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_right_hand	Right Hand	false
ministerial_positions_strings_on_screen_ep_court_office_sima_yue_military_emissary	Military Emissary	false
ministerial_positions_strings_on_screen_3k_main_court_offices_minister_earth_dong_zhuo	Counsellor	false
ministerial_positions_strings_on_screen_3k_main_court_offices_minister_water_han_empire	Grand Tutor	false
ministerial_positions_strings_on_screen_3k_main_court_offices_liu_biao_academy_tutor	To teach is to inspire the uninspired, and empower the powerless. It is selfless, and utterly vital.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_inspector_water_description	Mathematics is the universal language of logic and this man studied the art well.	false
ministerial_positions_strings_on_screen_3k_main_court_offices_inspector_metal	Industrial Inspector	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_of_ceremonies_description	Matters of the mystic and the supernatural fall under the purview of the minister of ceremonies, who commands a salary of 2,000 shi for their service to the empire.	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_of_the_imperial_clan_description	The minister of the imperial clan is responsible - at 2,000 shi a year - for recording and reporting on the conduct of the imperial family.	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_of_justice	Minister of Justice	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_grand_commandant_description	Commanding far more than just their impressive salary of 10,000 shi, the grand commandant is the supreme military commander of all imperial forces.	false
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_faction_next_in_line_description	You must have an next-in-line to succeed you in case the worst should happen.	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_coachman	Minister Coachman	false
ministerial_positions_strings_on_screen_3k_main_court_offices_grand_tutor_description	The grand tutor advises officials in foreign affairs and personal conduct when dealing with envoys.\\n\\nCharacters in this position become part of your [[b]]faction council[[/b]].	false
ministerial_positions_strings_on_screen_3k_main_court_offices_minister_wood_han_empire	Grand Director	false
ministerial_positions_strings_on_screen_3k_main_court_offices_liu_biao_academy_student	You have taken tentative steps towards enlightenment. As your understanding grows, so too does your skill.	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_herald	Minister Herald	false
ministerial_positions_strings_on_screen_3k_dlc04_court_offices_minister_herald_description	The minister herald draws a wage of 2,000 shi and acts as chief seneschal to the empire, receiving all dignitaries, state guests and members of the imperial family within the empire.	false
ministerial_positions_strings_on_screen_3k_dlc06_nanman_court_offices_governor_default_description	The southlands of the Nanman are vast, bursting with myriad cultures and peoples. As a single leader cannot be everywhere at once, local chiefs are relied upon to maintain order and keep the peace.	false
ministerial_positions_strings_on_screen_3k_dlc06_court_offices_nanman_minister_prime_minister	Advisor	false
ministerial_positions_strings_on_screen_3k_ytr_court_offices_people_great	Great Healer 	false
ministerial_positions_strings_on_screen_3k_dlc06_court_offices_nanman_minister_prime_minister_description	Only the most trusted and wise are seen as capable of advising their liege on matters of leadership.	false
ministerial_positions_strings_on_screen_3k_ytr_court_offices_land_lord_description	This title was originally held by Zhang Bao. The General of the Land is responsible for all living things on earth.\\n\\nThis office can only be held by [[b]]veteran[[/b]] characters.\\n\\n[[col:scope_description]]Increases peasantry income and provides bonuses to local construction cost and retinue upkeep[[/col]]	false
ministerial_positions_strings_on_screen_3k_dlc05_court_offices_minister_master_of_arms	Master of Arms	false
ministerial_positions_strings_on_screen_3k_main_court_offices_grand_excellency	The grand excellency manages affairs of the treasury and oversees development projects in your commanderies. \\n\\nCharacters in this position become part of your [[b]]faction council[[/b]].	false
ministerial_positions_strings_on_screen_ep_court_office_sima_yue_provincial_advisor	Provincial Advisor	false
ministerial_positions_strings_on_screen_3k_main_court_offices_minister_earth_han_empire	Chancellor	false
