key	text	tooltip
#Loc;1;text/db/mission_text__.loc		
mission_text_text_mis_activity_control_n_provinces_client_including	Maintain control of %n {{tr:map_provinces}} including the following, either by direct ownership or through vassals and military allies: 	false
mission_text_text_mis_activity_own_n_naval_units_progress	Current naval units: %n	false
mission_text_text_payload_grant_agent_multi	Characters: 	false
mission_text_text_mis_activity_hold_entirety_of_n_provinces_including_less_than_n	Hold %n {{tr:map_provinces}} in their entirety, including the following: 	false
mission_text_text_mis_activity_subjugate_n_factions	Defeat %n different factions by capturing or razing their last remaining settlement.	false
mission_text_text_mis_activity_control_n_ports_nooption_including_n	Control the following %n port settlements either by direct ownership or through military allies: 	false
mission_text_text_mis_abort_faction_destroyed	This faction has been destroyed.	false
mission_text_text_mis_activity_convert_region	Spread your religion to the majority of this {{tr:map_province}}: 	false
mission_text_text_mis_deploy_x_agents_to_y_regions_owned_by_z_subculture	Deploy %1%  character(s) in %2% {{tr:map_provinces}} owned by the following subculture: %3%	false
mission_text_text_mis_demand_tribute_any_faction	Receive %n in diplomatic tribute from any faction.	false
mission_text_text_mis_activity_dont_have_co_op_ally	Don't have an alliance with the other human player	false
mission_text_text_mis_activity_control_n_provinces_satrapy_including	Maintain control of %n {{tr:map_provinces}} including the following, either by direct ownership or through vassals and military allies: 	false
mission_text_text_mis_maintain_at_least_x_religion_in_all_provinces	Maintain at least %n% of the following corruption across all {{tr:map_provinces}}:	false
mission_text_text_mis_assassinate_x_characters_of_type_from_subculture	Carry out a successful assassination attempt against %1% %2% belonging to the following race:	false
mission_text_text_generic_current_total_out_of	Current total: %n / %n	false
mission_text_text_mis_activity_own_at_least_one_source_of_each_resource	Hold at least one of every strategic resource.	false
mission_text_text_mis_activity_hold_entirety_of_n_provinces_1_of_many	Hold the entirety of at least one of the following {{tr:map_provinces}}: 	false
mission_text_text_mis_ensure_no_military_persence	Ensure that the following factions have no military presence within your territory: 	false
mission_text_text_3k_dlc06_scripted_play_kingmaker	As a vassal of an emperor, make sure all other emperors are destroyed.	false
mission_text_text_mis_convert_state_religion	Convert your state to the following religion: 	false
mission_text_text_mis_own_n_provinces	Own the entirety of %n {{tr:map_provinces}}.	false
mission_text_text_mis_activity_achieve_victory	Achieve any of the three victory conditions.	false
mission_text_text_mis_activity_loot_sack_n_settlements_including	Loot or sack %n different settlements including the following: 	false
mission_text_text_mis_end_civil_war	Successfully crush a civil war.	false
mission_text_text_payload_family_influence	Party Influence: 	false
mission_text_text_mis_activity_control_n_provinces_client_including_n	Maintain control of the following %n {{tr:map_provinces}}, either by direct ownership or through vassals and military allies: 	false
mission_text_text_mis_assign_character_to_post_specific	Assign the following character to %n:	false
mission_text_text_objective_all_3_main_description	"Abandon all hope."	false
mission_text_text_mis_hinder_settlement	Use a [[img:icon_hero]][[/img]]Hero to perform an action against the following settlement:	false
mission_text_text_3k_dlc06_scripted_know_ten_factions	Know 10 factions	false
mission_text_text_mis_activity_research_n_techs_of_type_x_coop	Research %n reforms (excludes co-operative ally's reforms)	false
mission_text_text_mis_activity_own_a_port_adjoining_sea_regions	Hold a port settlement adjoining each of the following sea regions:	false
mission_text_text_mis_defeat_army_and_take_captives_x_times_no_target	Defeat armies and take captives %1% times from any faction	false
mission_text_text_mis_defeat_n_armies_with_character_victory_type	Using %2%'s army, defeat %1% armies or garrisons, achieving a %3%.	false
mission_text_text_mis_activity_raid_region_specific	Raid the following {{tr:map_region}}: 	false
