key	text	tooltip
#Loc;1;text/db/new_content_alerts__.loc		
new_content_alerts_header_a_world_betrayed	A World Betrayed	false
new_content_alerts_description_mandate_of_heaven_new_content_alert	Thank you for purchasing Mandate of Heaven. Make the most of new faction mechanics and discover the Three Kingdoms era from the outset of the Yellow Turban Rebellion. 	false
new_content_alerts_header_tao_qian_content_alert	Tao Qian - Free Character 	false
new_content_alerts_optional_unpurchased_description_white_tiger_yan_content_alert	Whispers abound of a growing bandit force south of the Yangtze. Yan Baihu, a new playable faction, is now available for free download. Click on the button below to find out more. 	false
new_content_alerts_header_3k_dlc06_nanman	The Furious Wild	false
new_content_alerts_header_white_tiger_yan_content_alert	Yan Baihu - Free Character 	false
new_content_alerts_description_3k_dlc06_nanman	Thank you for purchasing The Furious Wild. As a proud Nanman faction, work to unite the tribes and oppose the growing threat of the Han.	false
new_content_alerts_description_white_tiger_yan_content_alert	We hope you enjoy this new playable faction. Build your undercover network, take what is rightfully yours and lead your faction to power.	false
new_content_alerts_optional_unpurchased_description_3k_dlc06_shi_xie_content_alert	Between the fierce tribes of the Nanman and the noble Han, sits an influential member of the Imperial Government. Shi Xie, a new playable faction, is now available for free download. Click on the button below to find out more. 	false
new_content_alerts_header_mandate_of_heaven_new_content_alert	Mandate of Heaven	false
new_content_alerts_header_3k_dlc07_content_alert	Fates Divided	false
new_content_alerts_description_tao_qian_content_alert	We hope you enjoy this new playable faction. Make the most of his unique campaign and in-battle abilities to conquer the realm. 	false
new_content_alerts_optional_unpurchased_description_mandate_of_heaven_new_content_alert	Expand your Total War: Three Kingdoms experience with the Mandate of Heaven chapter pack, available now. Click on the button below to find out more. 	false
new_content_alerts_optional_unpurchased_description_3k_dlc06_nanman	Expand your Total War: Three Kingdoms experience with The Furious Wild expansion pack, available now. Click on the button below to find out more.	false
new_content_alerts_header_3k_dlc06_shi_xie_content_alert	Shi Xie – Free Character	false
new_content_alerts_optional_unpurchased_description_tao_qian_content_alert	Tao Qian awaits you! A new playable faction is available now for you to download for free. Click to find out more.	false
new_content_alerts_optional_unpurchased_description_3k_dlc07_content_alert	Fates Divided is available now! Determine the fate of China in the latest DLC and take control of over 20 powerful new units! Click the button below for more info.	false
new_content_alerts_description_3k_dlc06_shi_xie_content_alert	We hope you enjoy playing as Shi Xie. You may be remote but make the most of the power you can exert and remember, it is all about who you know.	false
new_content_alerts_description_3k_dlc07_content_alert	Thank you for purchasing Fates Divided! Lead Yuan Shao or Cao Cao to glory, or forge your dynasty in the shadow of their conflict.	false
new_content_alerts_description_a_world_betrayed	Thank you for purchasing A World Betrayed. In the shadow of your father, lay waste to anyone that stands in your way. 	false
new_content_alerts_optional_unpurchased_description_a_world_betrayed	A World Betrayed Chapter Pack is available now! Carve your own path with Lü Bu and Sun Ce. Click on the button below to find out more. 	false
