key	text	tooltip
#Loc;1;text/db/pdlc__.loc		
pdlc_description_TW_3K_WORLD_BETRAYED_FLC	Yan Baihu	false
pdlc_description_TW_3K_SOUTHERN	The Furious Wild	false
pdlc_description_TW_3K_EIGHT_PRINCES	Eight Princes	false
pdlc_description_TW_3K_WORLD_BETRAYED	A World Betrayed	false
pdlc_description_TW_3K_MANDATE_FLC	Tao Qian	false
pdlc_description_TW_3K_MANDATE	Mandate of Heaven	false
pdlc_description_TW_3K_GUANDU_FLC		false
pdlc_description_TW_3K_BLOODPACK	Blood Pack	false
pdlc_description_TW_3K_SOUTHERN_FLC	Shi Xie	false
pdlc_description_TW_3K_YELLOW_TURBANS	Yellow Turbans	false
pdlc_description_TW_3K_GUANDU	Fates Divided	false
