key	text	tooltip
#Loc;1;text/db/political_parties__.loc		
political_parties_name_localised_3k_dlc06_political_party_nanman_zangke_separatists_council	HIDDEN	false
political_parties_description_localised_3k_dlc04_main_political_party_prince_liu_chong_council	placeholder	false
political_parties_name_localised_3k_dlc04_political_party_zhang_liang_ruler	Zhang Liang	false
political_parties_name_localised_ep_political_party_prince_of_chengdu_council	Chengdu Retainers	false
political_parties_name_localised_3k_dlc06_political_party_nanman_jiangyang_separatists_council	HIDDEN	false
political_parties_description_localised_3k_dlc04_political_party_zhang_bao_council	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_shi_xie_council	Shi Xie Retainers	false
political_parties_description_localised_ep_political_party_prince_of_donghai_council	placeholder	false
political_parties_name_localised_3k_dlc04_political_party_cao_cao_council	Cao Retainers	false
political_parties_description_localised_3k_dlc04_political_party_cao_cao_ruler	placeholder	false
political_parties_description_localised_ep_political_party_prince_of_hejian_ruler	placeholder	false
political_parties_name_localised_ep_political_party_prince_of_runan_council	Runan Retainers	false
political_parties_description_localised_3k_dlc06_political_party_nanman_yang_feng_ruler	placeholder	false
political_parties_description_localised_3k_dlc07_political_party_liu_zhang_ruler	placeholder	false
political_parties_name_localised_ep_political_party_prince_of_zhao_council	Zhao Retainers	false
political_parties_name_localised_3k_dlc06_political_party_nanman_yongchang_ruler	HIDDEN	false
political_parties_description_localised_3k_dlc06_political_party_nanman_zangke_separatists_council	placeholder	false
political_parties_description_localised_3k_dlc04_political_party_sun_jian_council	placeholder	false
political_parties_name_localised_ep_political_party_prince_of_qi_council	Qi Retainers	false
political_parties_name_localised_3k_dlc04_political_party_lu_zhi_ruler	Lu Zhi	false
political_parties_name_localised_3k_main_political_party_dong_zhuo_ruler	Dong Zhuo	false
political_parties_description_localised_3k_dlc04_political_party_liu_bei_council	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_king_shamoke_separatists_council	HIDDEN	false
political_parties_description_localised_3k_dlc05_political_party_white_tiger_yan_ruler	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_king_mulu_separatists_council	HIDDEN	false
political_parties_name_localised_3k_dlc06_political_party_nanman_yunnan_ruler	HIDDEN	false
political_parties_name_localised_3k_dlc04_political_party_dong_zhuo_ruler	Dong Zhuo	false
political_parties_name_localised_3k_main_political_party_liu_bei_ruler	Liu Bei	false
political_parties_name_localised_3k_dlc06_political_party_nanman_meng_huo_separatists_council	HIDDEN	false
political_parties_description_localised_3k_dlc04_political_party_tao_qian_council	placeholder	false
political_parties_description_localised_ep_political_party_prince_of_hejian_council	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_rebels_ruler	HIDDEN	false
political_parties_description_localised_3k_dlc06_political_party_nanman_king_shamoke_separatists_council	placeholder	false
political_parties_name_localised_3k_dlc04_political_party_tao_qian_council	Tao Retainers	false
political_parties_description_localised_3k_dlc04_political_party_dong_zhuo_council	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_tu_an_separatists_council	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_jiangyang_ruler	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_king_duosi_ruler	placeholder	false
political_parties_description_localised_3k_dlc05_political_party_lu_bu_ruler	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_lady_zhurong_ruler	HIDDEN	false
political_parties_description_localised_3k_main_political_party_yuan_shao_council	placeholder	false
political_parties_name_localised_3k_main_political_party_liu_bei_council	Liu Retainers	false
political_parties_name_localised_3k_dlc06_political_party_nanman_zangke_ruler	HIDDEN	false
political_parties_description_localised_3k_dlc04_political_party_zhang_jue_ruler	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_meng_huo_ruler	HIDDEN	false
political_parties_description_localised_3k_main_political_party_yuan_shao_ruler	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_king_wutugu_separatists_council	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_king_duosi_separatists_council	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_meng_huo_ruler	placeholder	false
political_parties_description_localised_3k_main_political_party_zheng_jiang_ruler	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_dongtuna_separatists_council	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_shi_xie_ruler	Shi Xie	false
political_parties_description_localised_3k_main_political_party_yellow_anding_ruler	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_jiaozhi_ruler	HIDDEN	false
political_parties_name_localised_3k_dlc06_political_party_nanman_yang_feng_separatists_council	HIDDEN	false
political_parties_name_localised_3k_dlc04_political_party_liu_bei_ruler	Liu Bei	false
political_parties_name_localised_ep_political_party_prince_of_hejian_ruler	Military Security	false
political_parties_name_localised_3k_dlc04_political_party_prince_liu_chong_council	Liu Chong Retainers	false
political_parties_description_localised_ep_political_party_prince_of_runan_ruler	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_tu_an_ruler	placeholder	false
political_parties_description_localised_3k_dlc05_political_party_190_white_tiger_yan_ruler	placeholder	false
political_parties_description_localised_ep_political_party_prince_of_changsha_council	placeholder	false
political_parties_description_localised_3k_dlc04_political_party_dong_zhuo_ruler	placeholder	false
political_parties_name_localised_3k_main_political_party_yellow_anding_council	Western Yellow Turban Council	false
political_parties_name_localised_3k_main_political_party_sun_jian_ruler	Sun Jian	false
political_parties_description_localised_3k_dlc04_political_party_zhang_liang_council	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_king_wutugu_ruler	HIDDEN	false
political_parties_description_localised_3k_dlc06_political_party_nanman_rebels_ruler	placeholder	false
political_parties_description_localised_3k_dlc06_political_party_nanman_lady_zhurong_separatists_council	placeholder	false
political_parties_name_localised_3k_dlc04_political_party_cao_cao_ruler	Cao Cao	false
political_parties_description_localised_3k_dlc06_political_party_nanman_zangke_ruler	placeholder	false
political_parties_name_localised_3k_main_political_party_yuan_shu_ruler	Yuan Shu	false
political_parties_name_localised_3k_main_political_party_yuan_shao_council	Yuan Retainers	false
political_parties_description_localised_3k_dlc04_political_party_tao_qian_ruler	placeholder	false
political_parties_description_localised_3k_main_political_party_cao_cao_ruler	placeholder	false
political_parties_description_localised_3k_dlc05_political_party_zhang_yan_council	placeholder	false
political_parties_description_localised_3k_dlc04_political_party_lu_zhi_ruler	placeholder	false
political_parties_name_localised_3k_dlc07_political_party_liu_zhang_ruler	Liu Zhang	false
political_parties_description_localised_3k_dlc04_political_party_liu_biao_council	placeholder	false
political_parties_name_localised_3k_dlc05_political_party_white_tiger_yan_ruler	White Tiger Yan 	false
political_parties_name_localised_3k_dlc04_political_party_prince_liu_chong_ruler	Prince Liu Chong	false
political_parties_name_localised_3k_dlc04_political_party_ma_teng_council	Ma Retainers	false
political_parties_description_localised_3k_dlc04_political_party_zhang_bao_ruler	placeholder	false
political_parties_name_localised_3k_dlc04_political_party_liu_bei_council	Liu Bei Retainers	false
political_parties_name_localised_3k_dlc06_political_party_nanman_dongtuna_ruler	HIDDEN	false
political_parties_name_localised_3k_dlc05_political_party_190_white_tiger_yan_council	White Tiger Yan 	false
political_parties_name_localised_3k_dlc06_political_party_nanman_tu_an_ruler	HIDDEN	false
political_parties_description_localised_3k_dlc04_political_party_empress_he_ruler	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_king_mulu_ruler	HIDDEN	false
political_parties_name_localised_3k_main_political_party_ma_teng_ruler	Ma Teng	false
political_parties_description_localised_3k_dlc06_political_party_nanman_xi_ni_ruler	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_jinhuansanjie_separatists_council	HIDDEN	false
political_parties_name_localised_3k_dlc06_political_party_nanman_ahuinan_ruler	HIDDEN	false
political_parties_description_localised_3k_main_political_party_kong_rong_ruler	placeholder	false
political_parties_name_localised_3k_main_political_party_gongsun_zan_council	Gongsun Retainers	false
political_parties_name_localised_3k_dlc06_political_party_nanman_ahuinan_separatists_council	HIDDEN	false
political_parties_name_localised_3k_main_political_party_cao_cao_council	Cao Retainers	false
political_parties_description_localised_3k_dlc05_political_party_sun_ce_council	placeholder	false
political_parties_name_localised_ep_political_party_prince_of_runan_ruler	Prince of Runan	false
political_parties_name_localised_3k_main_political_party_yellow_taishan_ruler	Taishan Yellow Turban	false
political_parties_description_localised_3k_main_political_party_yellow_turban_ruler	placeholder	false
political_parties_description_localised_3k_main_political_party_zheng_jiang_council	placeholder	false
political_parties_name_localised_3k_dlc06_political_party_nanman_lady_zhurong_separatists_council	HIDDEN	false
