key	text	tooltip
#Loc;1;text/db/provinces__.loc		
provinces_onscreen_3k_main_province_jingzhou	Nan	false
provinces_onscreen_3k_main_province_ye	Houguan	false
provinces_onscreen_3k_main_province_jiangxia	Jiangxia	false
provinces_onscreen_3k_main_province_tongan	Southern Jian'an	false
provinces_onscreen_3k_main_province_bajun	Ba	false
provinces_onscreen_3k_main_province_weijun	Wei	false
provinces_onscreen_3k_dlc06_province_hangu_pass	Hangu Pass	false
provinces_onscreen_3k_main_province_jiangyang	Jiangyang	false
provinces_onscreen_3k_main_province_youzhou	Guangyang	false
provinces_onscreen_3k_main_province_changsha	Changsha	false
provinces_onscreen_3k_main_province_hedong	Hedong	false
provinces_onscreen_3k_main_province_wudu	Wudu	false
provinces_onscreen_3k_main_province_xihe	Xihe	false
provinces_onscreen_3k_main_province_luling	Luling	false
provinces_onscreen_3k_main_province_yuzhang	Yuzhang	false
provinces_onscreen_3k_main_province_yulin	Yulin	false
provinces_onscreen_3k_main_province_shangyong	Shangyong	false
provinces_onscreen_3k_main_province_anding	Anding	false
provinces_onscreen_3k_main_province_chengdu	Shu	false
provinces_onscreen_3k_dlc06_province_gu_pass	Gu Pass	false
provinces_onscreen_3k_main_province_lingling	Lingling	false
provinces_onscreen_3k_main_province_dongou	Linhai	false
provinces_onscreen_3k_main_province_luoyang	Luoyang	false
provinces_onscreen_3k_main_province_yu	Liaoxi	false
provinces_onscreen_3k_main_province_dongjun	Dong	false
provinces_onscreen_3k_main_province_daijun	Dai	false
provinces_onscreen_3k_main_province_cangwu	Cangwu	false
provinces_onscreen_3k_main_province_yanmen	Yanmen	false
provinces_onscreen_3k_main_province_fuling	Fuling	false
provinces_onscreen_3k_main_province_taiyuan	Taiyuan	false
provinces_onscreen_3k_main_province_yingchuan	Yingchuan	false
provinces_onscreen_3k_main_province_shoufang	Shuofang	false
provinces_onscreen_3k_dlc06_province_jiuzhen	Jiuzhen	false
provinces_onscreen_3k_main_province_zhongshan	Zhongshan	false
provinces_onscreen_3k_main_province_jianning	Jianning	false
provinces_onscreen_3k_main_province_hepu	Hepu	false
provinces_onscreen_3k_main_province_zangke	Zangke	false
provinces_onscreen_3k_main_province_anping	Anping	false
provinces_onscreen_3k_dlc06_province_hulao_pass	Hulao Pass	false
provinces_onscreen_3k_main_province_wuling	Wuling	false
provinces_onscreen_3k_main_province_badong	Badong	false
provinces_onscreen_3k_main_province_shangdang	Shangdang	false
provinces_onscreen_3k_main_province_nanyang	Nanyang	false
provinces_onscreen_3k_main_province_changan	Jingzhao	false
provinces_onscreen_3k_main_province_hanzhong	Hanzhong	false
provinces_onscreen_3k_dlc06_province_liaodong	Liaodong	false
provinces_onscreen_3k_dlc06_province_tong_pass	Tong Pass	false
provinces_onscreen_3k_main_province_yizhou	Yizhou	false
provinces_onscreen_3k_main_province_jianye	Danyang	false
provinces_onscreen_3k_main_province_jianan	Northern Jian'an	false
provinces_onscreen_3k_main_province_taishan	Lean	false
provinces_onscreen_3k_main_province_youbeiping	Youbeiping	false
provinces_onscreen_3k_dlc06_province_wu_pass	Wu Pass	false
provinces_onscreen_3k_main_province_chenjun	Chen	false
provinces_onscreen_3k_main_province_donghai	Donghai	false
provinces_onscreen_3k_main_province_beihai	Beihai	false
provinces_onscreen_3k_dlc06_province_yongchang	Yongchang	false
provinces_onscreen_3k_main_province_yizhou_island	Yizhou	false
provinces_onscreen_3k_dlc06_province_yunnan	Yunnan	false
provinces_onscreen_3k_dlc06_province_xiapi	Xiapi	false
provinces_onscreen_3k_dlc06_province_kui_pass	Kui Pass	false
provinces_onscreen_3k_main_province_nanhai	Nanhai	false
provinces_onscreen_3k_main_province_henei	Henei	false
provinces_onscreen_3k_main_province_lujiang	Lujiang	false
provinces_onscreen_3k_main_province_bohai	Bohai	false
provinces_onscreen_3k_main_province_xiangyang	Xiangyang	false
provinces_onscreen_3k_main_province_pingyuan	Pingyuan	false
provinces_onscreen_3k_main_province_kuaiji	Kuaiji	false
provinces_onscreen_3k_dlc06_province_jiameng	Jiameng Pass	false
provinces_onscreen_3k_main_province_jiaozhi	Jiaozhi	false
provinces_onscreen_3k_dlc06_province_san_pass	San Pass	false
provinces_onscreen_3k_main_province_donglai	Donglai	false
provinces_onscreen_3k_main_province_penchang	Pengcheng	false
provinces_onscreen_3k_main_province_baxi	Baxi	false
provinces_onscreen_3k_main_province_runan	Runan	false
provinces_onscreen_3k_main_province_wuwei	Wuwei	false
provinces_onscreen_3k_main_province_langye	Langya	false
provinces_onscreen_3k_main_province_guangling	Guangling	false
provinces_onscreen_3k_main_province_jincheng	Jincheng	false
provinces_onscreen_3k_main_province_poyang	Poyang	false
provinces_onscreen_3k_dlc06_province_qi_pass	Qi Pass	false
provinces_onscreen_3k_main_province_gaoliang	Gaoliang	false
provinces_onscreen_3k_main_province_yangzhou	Huainan	false
provinces_onscreen_3k_main_province_xindu	Xindu	false
