key	text	tooltip
#Loc;1;text/db/random_localisation_strings__.loc		
random_localisation_strings_string_ep_dyn_frontend_map_help_text_description	This lets you choose between one of three heroic battlefields. Choose your favourite location and make a stand!	false
random_localisation_strings_string_MILITARY_FORCE_FOOD_FACTOR_UNITS	Units	false
random_localisation_strings_string_network_error_incompatible_map_version	Incorrect version of map	false
random_localisation_strings_string_recharge_context_blocked	\\n\\n[[col:red]]Recharge blocked[[/col]]	false
random_localisation_strings_string_3k_dlc06_ceo_character_nanman_skills_water_cunning_shaman_rites_objective	{{tr:dlc06_nanman_skills_unlock_condition}} {{tr:dlc06_nanman_skills_shaman_rites_objective}}	false
random_localisation_strings_string_highlight_text_unit_upgrade_selection	New to Total War: WARHAMMER, some characters have a selection of mounts and upgrades available to them. Selecting these icons will assign the chosen mount and upgrades for the battle ahead.	false
random_localisation_strings_string_FACTION_PROVINCE_FOOD_FACTOR_TECHNOLOGIES	Technology	false
random_localisation_strings_string_art_active	Left-click to research this technology. 	false
random_localisation_strings_string_MILITARY_FORCE_FOOD_FACTOR_STANCE	Stance	false
random_localisation_strings_string_diplomacy_language_changed	Diplomacy language changed	false
random_localisation_strings_string_zdummy_undercover_character_target_faction_request_administrator_position_additional_action_cancel	Seems that there is some furore around this event. Let the dust settle for a moment.	false
random_localisation_strings_string_DX12	DX12 (BETA)	false
random_localisation_strings_string_fatigue_very_tired	Very tired	false
random_localisation_strings_string_3k_main_tutorial_mode_fe_timeline_description	From here you can filter characters and choose at which date you would like to start your campaign. \\n\\n  {{tr:tw_3k_mandate}} \\n {{tr:tw_3k_main}}  \\n {{tr:tw_3k_a_world_betrayed}}  \\n {{tr:tw_3k_fate_of_the_emperor}} \\n {{tr:tw_3k_eight_princes}}	false
random_localisation_strings_string_food_production	Production	false
random_localisation_strings_string_resource_value	Resource value: {{tr:icon_money}}	false
random_localisation_strings_string_tooltip_raise_lord_convalescence_cause_conversion	PLACEHOLDER	false
random_localisation_strings_string_3k_dlc05_tutorial_mode_spy_extraction_title	When one of your [[b]]spies[[/b]] is serving as a [[b]]general[[/b]]  in an [[b]]enemy army[[/b]]  and one of your armies engages them in the field, you may choose to [[b]]extract[[/b]]  the spy [[b]]before the battle[[/b]], thereby diminishing your opponent’s strength.Extracting your spy before a battle [[b]]costs money[[/b]] and requires that the spy possess a certain amount of [[b]]cover[[/b]] – and [[b]]undercover network[[/b]] – in the enemy faction.Simple [[b]]extraction[[/b]] will have your spy [[b]]disband[[/b]] their [[b]]retinue[[/b]] and [[b]]return to your faction[[/b]], diminishing the enemy’s strength.With [[b]]greater cover and undercover network[[/b]] at the spy’s disposal, you may order the spy to [[b]]extract and reinforce[[/b]], which orchestrates the [[b]]defection of their entire retinue[[/b]] to your cause, ready to [[b]]join you[[/b]] in the [[b]]upcoming battle[[/b]] and greatly disadvantaging the enemy!You may find that you would rather [[b]]wait[[/b]] for a more opportune moment and order your spy to [[b]]remain undercover[[/b]], or if you have misjudged the resources at your disposal you may not be able to afford to extract them; plan accordingly!	false
random_localisation_strings_string_ep_tutorial_mode_storybook_current_alignment_title	ph	false
random_localisation_strings_string_finances_tribute_expenditure_breakdown_faction	%S (turns remaining %d)	false
random_localisation_strings_string_ability_phase_mask_major_casualties	[[col:red]]Major Casualties[[/col]]	false
random_localisation_strings_string_description	Description	false
random_localisation_strings_string_3k_main_tutorial_mode_custombattle_infopanel_title	Information Panel	false
random_localisation_strings_string_ability_phase_mask_freeze_fatigue	[[col:green]]Stops fatigue gain[[/col]]	false
random_localisation_strings_string_pre_battle_siege_equipment_totals_tooltip	Constructing siege items: %d\\nConstructed siege items: %d	false
random_localisation_strings_string_trade_agreement_tooltip_sea_routes	A sea trade route will link your two capitals.	false
random_localisation_strings_string_3k_main_tutorial_mode_battle_duelbtn_description	This button allows you to initiate [[b]]duels[[/b]] with characters in an enemy alliance. Winning duels will have a significant impact on the morale of forces and can be a deciding factor in battle.\\n\\nPressing this button will show you a list of enemies you can [[b]]challenge[[/b]]. For a duel to occur, a challenge must be [[b]]accepted[[/b]], and in some cases, the enemy might [[b]]reject[[/b]] the challenge.\\n\\nFor each character you can challenge, the possible [[b]]outcome[[/b]] of the duel will be highlighted. Some duels are about life or death and will only conclude when one of the combatants falls, while others are merely concerned with demonstrating one's battle prowess, or about the honourable contest between duellists.\\n\\nBy default, other soldiers will respect a duel and will [[b]]not interfere[[/b]]. You can order units to attack the enemy duellist, but this will be seen as a [[b]]dishonourable[[/b]] act and will have a negative morale effect on your forces. However, it can be the only way to save your hero's life.\\n\\nYou can also [[b]]run away[[/b]] from an ongoing duel – an equally dishonourable act.\\n\\nBuffing your hero with other characters while a duel is ongoing is [[b]]not dishonourable[[/b]], however, and can be a strong strategy for improving your duellist.	false
random_localisation_strings_string_rebel_faction_name_override	Rebels	false
random_localisation_strings_string_your_ally	Your ally: 	false
random_localisation_strings_string_network_error_dropped	You have lost connection to the game. 	false
random_localisation_strings_string_effect_bundle_time	Seasons Remaining	false
random_localisation_strings_string_quit_game_main	You are about to quit the game. Are you sure?	false
random_localisation_strings_string_trade_route_tooltip_raid_value	Trade route raid value:	false
random_localisation_strings_string_year_format	%d CE	false
random_localisation_strings_string_tooltip_replenishment_cap	Every unit has limited hit point regeneration in battle	false
random_localisation_strings_string_unit_stat_bonus_melee_superior	Superior melee	false
random_localisation_strings_string_land_combatant_winning	Unit winning	false
random_localisation_strings_string_mp_ready_error_spectator	[[col:red]]Waiting on players to start battle.[[/col]]	false
random_localisation_strings_string_unit_concerned_general_fled_recently	General fled recently	false
random_localisation_strings_string_character_details_rank_2	Current rank: 2 (maximum 6)||A character's rank shows their overall level of skill, with each star representing one rank level.||New rank levels are achieved by gaining experience. With each new level you will be able to pick additional skills.	false
random_localisation_strings_string_round_id_early_may	Early May	false
random_localisation_strings_string_FACTION_PROVINCE_FOOD_FACTOR_CHARACTERS	Characters	false
random_localisation_strings_string_FACTION_FOOD_FACTOR_CHARACTERS	Characters	false
random_localisation_strings_string_June	text_rejected	false
random_localisation_strings_string_duration	Duration	false
random_localisation_strings_string_prebattle_popup_defection_02	Some of your armies have defected and will now oppose you on the battlefield!	false
random_localisation_strings_string_power_category_1	Terrifying	false
random_localisation_strings_string_land_combatant_losing_slightly	Unit losing slightly	false
random_localisation_strings_string_late	Late	false
random_localisation_strings_string_REGION_FOOD_FACTOR_RAIDING	Raiding	false
random_localisation_strings_string_fatigue_winded_undead	[[col:fatigue_winded]]Fading[[/col]]	false
random_localisation_strings_string_self	Self	false
random_localisation_strings_string_network_message_you_dropped	You have lost connection to the game. 	false
random_localisation_strings_string_finance_tooltip_taxes	Income from buildings.	false
random_localisation_strings_string_opponent_refuses_surrender_title	Surrender Refused	false
random_localisation_strings_string_unit_upgrade_incorrect_stance	You cannot upgrade this unit as your army is not in the correct stance.	false
random_localisation_strings_string_campaign_difficulty0	Easy	false
random_localisation_strings_string_military_force_legacy_name_rebel_army	Rebel Army	false
random_localisation_strings_string_ability_requires_friendly_target	Target own units or any allies	false
random_localisation_strings_string_campaign_difficulty1	Normal	false
random_localisation_strings_string_multiplayer_waiting_reconnect	Waiting for players...	false
random_localisation_strings_string_fe_recruitment_card_tooltip_command_clash_land	You cannot recruit this unit until you have a general in your army	false
random_localisation_strings_string_skill_locked_single_parent	\\n\\n[[col:red]]Available after unlocking "%S".[[/col]]	false
random_localisation_strings_string_3k_main_tutorial_mode_battle_destruction_description	This value shows the relative [[b]]destruction level[[/b]] of this settlement.\\n\\n[[img:help_mode_battle_destruction_level]][[/img]] [[b]]Destruction level[[/b]] increases when buildings are [[b]]set on fire[[/b]] and areas of the settlement are being [[b]]destroyed[[/b]].\\n\\nHigh levels of destruction will cause a [[b]]morale penalty[[/b]] for the defender.	false
random_localisation_strings_string_trade_status_tooltip_value_potential	\\nPotential value:	false
