key	text	tooltip
#Loc;1;text/db/regions__.loc		
regions_battle_name_3k_main_wuling_capital	Qianling	false
regions_onscreen_3k_main_jianan_resource_1	Jiangle	false
regions_onscreen_3k_main_hepu_resource_1	Xuwen	false
regions_name_with_icon_path_3k_dlc06_hangu_pass	/ui/skins/default/placeholder.png	false
regions_name_with_icon_path_3k_main_yuzhang_capital	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_lujiang_capital	Hefei	false
regions_onscreen_3k_main_zangke_resource_2	Wulian	false
regions_onscreen_3k_dlc06_yunnan_resource_1	Qingling	false
regions_battle_name_3k_main_nanhai_resource_2	Jieyang	false
regions_name_with_icon_path_3k_dlc06_tong_pass	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_nanhai_resource_3	Trade Port	false
regions_battle_name_3k_dlc06_gu_pass	Gu Pass	false
regions_battle_name_3k_main_bajun_capital	Jiangzhou	false
regions_name_with_icon_path_3k_main_riv_sea_yangtze_to_lujiang_resource_1	/ui/skins/default/placeholder.png	false
regions_name_with_icon_path_3k_main_sea_huang_to_donglai_resource_1	/ui/skins/default/placeholder.png	false
regions_battle_name_3k_dlc06_sea_nan_to_jiuzhen_resource_1	Nan Sea	false
regions_name_with_icon_path_3k_main_cangwu_capital	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_jianan_resource_2	Jianping	false
regions_battle_name_3k_main_chenjun_resource_3	Liangxian	false
regions_name_with_icon_path_3k_main_nanhai_resource_2	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_yangzhou_capital	Shouchun	false
regions_onscreen_3k_dlc06_yunnan_capital	Longdong	false
regions_name_with_icon_path_3k_main_sea_nan_hepu_capital	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_zangke_capital	Julan	false
regions_battle_name_3k_main_yu_resource_1	Liucheng	false
regions_name_with_icon_path_3k_main_cangwu_resource_1	/ui/skins/default/placeholder.png	false
regions_battle_name_3k_main_xiangyang_resource_1	linju	false
regions_battle_name_3k_main_sea_huang_to_pingyuan_resource_1	Huang Sea	false
regions_battle_name_3k_main_pingyuan_capital	Pingyuan	false
regions_onscreen_3k_main_tongan_resource_1	Shashu	false
regions_onscreen_3k_main_chengdu_capital	Chengdu	false
regions_onscreen_3k_main_sea_huang_to_langye_resource_1	Huang Sea	false
regions_battle_name_3k_main_jiangxia_resource_1	Xiyang	false
regions_onscreen_3k_main_pingyuan_resource_1	Leling	false
regions_battle_name_3k_main_riv_sea_yellow_to_jincheng_capital	Yellow River	false
regions_battle_name_3k_main_jingzhou_capital	Jiangling	false
regions_onscreen_3k_main_jingzhou_resource_1	Huarong	false
regions_name_with_icon_path_3k_main_anding_resource_3	/ui/skins/default/placeholder.png	false
regions_name_with_icon_path_3k_main_langye_resource_2	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_penchang_capital	Pengcheng	false
regions_battle_name_3k_main_yizhou_island_resource_1	Chiqian	false
regions_battle_name_3k_main_zangke_resource_1	Yelang	false
regions_onscreen_3k_main_sea_nan_jiaozhi_capital	Nan Sea	false
regions_name_with_icon_path_3k_main_xihe_resource_1	/ui/skins/default/placeholder.png	false
regions_battle_name_3k_dlc06_liaodong_capital	Xiangping	false
regions_battle_name_3k_dlc06_yunnan_resource_2	Yuexi	false
regions_onscreen_3k_main_poyang_resource_2	Guangchang	false
regions_onscreen_3k_main_sea_dong_to_kuaiji_resource_1	Dong Sea	false
regions_onscreen_3k_main_riv_sea_yangtze_to_shangyong_resource_2	Yangtze River	false
regions_battle_name_3k_main_shoufang_resource_3	Sheyan	false
regions_battle_name_3k_main_nanyang_resource_1	Xinye	false
regions_onscreen_3k_main_wuling_resource_2	Chancheng	false
regions_battle_name_3k_main_yangzhou_resource_2	Gushi	false
regions_battle_name_3k_main_tongan_resource_1	Shashu	false
regions_onscreen_3k_main_riv_sea_yangtze_to_lujiang_capital	Yangtze River	false
regions_onscreen_3k_main_cangwu_capital	Guangxin	false
regions_name_with_icon_path_3k_main_jiangyang_resource_1	/ui/skins/default/placeholder.png	false
regions_name_with_icon_path_3k_main_shoufang_resource_2	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_riv_sea_yangtze_to_lujiang_resource_1	Yangtze River	false
regions_onscreen_3k_main_jiangyang_resource_1	Wuyang	false
regions_onscreen_3k_main_henei_resource_1	Zhaoge	false
regions_onscreen_3k_main_luling_capital	Yudu	false
regions_name_with_icon_path_3k_main_wuling_resource_1	/ui/skins/default/placeholder.png	false
regions_onscreen_3k_main_sea_zhang_to_tongan_capital	Zhang Sea	false
regions_onscreen_3k_main_riv_sea_yangtze_to_xiangyang_resource_1	Yangtze River	false
regions_battle_name_3k_dlc06_qi_pass	Qi Pass	false
regions_name_with_icon_path_3k_main_chengdu_resource_3	/ui/skins/default/placeholder.png	false
regions_name_with_icon_path_3k_main_sea_zhang	/ui/skins/default/placeholder.png	false
regions_battle_name_3k_main_sea_huang	Huang Sea	false
regions_battle_name_3k_main_yuzhang_capital	Nanchang	false
regions_battle_name_3k_main_lingling_capital	Quanling	false
regions_battle_name_3k_main_sea_dong_to_dongou_resource_1	Dong Sea	false
regions_battle_name_3k_main_poyang_resource_3	Lean	false
