key	text	tooltip
#Loc;1;text/db/scripted_objectives__.loc		
scripted_objectives_localised_text_3k_main_battle_scripted_objective_duelist_2a	Your general has defeated his opponent in a duel!	false
scripted_objectives_localised_text_3k_main_battle_tutorial_deployment_place_unit	Place the selected unit at the marker	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_jiangdong_2	Crush the remaining enemy garrison force and conquer the settlement.	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_capture_point_defend_1	Defend your victory point!	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_fatigue_2	This unit is fatigued.	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_start_battle	Select 'Start Battle'	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_skirmish_1	This unit is able to skirmish.	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_attack_unit	Attack an enemy unit	false
scripted_objectives_localised_text_3k_main_battle_tutorial_deployment_deselect_unit	Deselect the unit by clicking on open ground	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_fatigue_1	This unit is fatigued.	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_select_any_unit	Select any unit	false
scripted_objectives_localised_text_3k_main_battle_objective_siege_victory_point_defend	Defend your victory point	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_wuzhang_plains_2	Lure the enemy cavalry away from the settlement until your reinforcements arrive.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_jing_province_2	Repel the enemy reinforcements.	false
scripted_objectives_localised_text_3k_main_battle_tutorial_deployment_select_unit	Select the highlighted unit	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_repeating_crossbows_1	This is a repeating crossbow unit.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_changban_2	Repel the attackers until Guan Yu's relief force arrives.	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_commanders_1	This is the commander of your force.	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_duelist_1	This general is able to challenge an enemy general to a duel.	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_commanders_2	This is the commanding general of your army.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_changban_3	Combine your forces and defeat the attackers.	false
scripted_objectives_localised_text_3k_main_battle_objective_normal_survive_until_timeout	Survive until the battle ends	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_wuzhang_plains_1	Attack the enemy patrol to trick the enemy cavalry into leaving the settlement.	false
scripted_objectives_localised_text_3k_main_battle_objective_siege_victory_point_capture	Capture the victory point	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_select_all_units	Select all units	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_charging_1	This unit is charging.	false
scripted_objectives_localised_text_3k_main_battle_tutorial_deployment_drag_select_multiple	Drag out units	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_duelist_2b	This general has been challenged to a duel!	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_special_abilities_1	This general has powerful special abilities at his disposal.	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_pause	Pausing gives you time to issue orders and survey the battlefield	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_xingyang_3	Defeat the remaining enemy forces.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_xingyang_2	Battle the enemy army until cavalry reinforcements arrive.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_xiapi_1	Defeat all enemy forces or capture the victory point. 	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_capture_point_1	Capture the victory point.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_gamescom_2	Defeat all enemy units.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_changban_1	Repel the attackers until Zhao Yun arrives.	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_morale_1_wavering	This unit is wavering!	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_gamescom_3	[[img:ping_move]][[/img]]Reach the other side of the river before reinforcements arrive.	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_gamescom_1	[[img:ping_default]][[/img]]Survive the ambush!	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_reinforcements_1	These are your reinforcements.	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_info_overlay_close	When finished, close the info overlay	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_archers_1	Protect this ranged unit from hostile melee units.	false
scripted_objectives_localised_text_3k_main_battle_objective_ambush_reach_extraction_point	Reach the extraction point	false
scripted_objectives_localised_text_3k_main_battle_historical_scripted_objective_xingyang_1	Battle the enemy army until infantry reinforcements arrive.	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_morale_1_routing	This unit is routing!	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_unpause	After you have issued orders, unpause the game	false
scripted_objectives_localised_text_3k_main_battle_tutorial_battle_info_overlay	Open the info overlay	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_flanking_4	This unit is currently successfully flanking.	false
scripted_objectives_localised_text_3k_main_battle_scripted_objective_being_charged_1	This unit is being charged.	false
