key	text	tooltip
#Loc;1;text/db/scripted_subtitles__.loc		
scripted_subtitles_localised_text_Play_3k_main_historical_battle_wuzhang_plains_sima_yi_06_1	Engage this force, draw them out, and hold them long enough for our reinforcements to arrive and wash them away.	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_changban_liu_bei_02_1	Our people flee from his oppression, but now his forces threaten them again - they must be defended!	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_xinyang_cao_cao_04_1	If we persevere, and if reinforcements arrive, then we may have hope.	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_wuzhang_plains_sima_yi_04_1	If we harass his scouting parties, the bulk of his army may be forced to investigate.	false
scripted_subtitles_localised_text_Play_Battle_Historical_Cao_Cao_Xia_Pi_06_1	Fire!	false
scripted_subtitles_localised_text_Play_Battle_Historical_Gamescom_Sun_Quan_02	Or, we could attempt to survive the ambush through force of arms.	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_jing_province_guan_yu_02_1	Lu Meng will attack from all angles, skulking in the woodlands. We must hold against this onslaught.	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_jing_province_guan_yu_04_1	If we fall here, so too will our flame be snuffed out forever. We must survive - for Lord Liu Bei, and for the Han!	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_jiangdong_sun_ce_01_1	So Wang Lang thinks he can stall my conquest? We shall see!	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_red_cliff_liu_bei_02_1	The ships approaching Cao Cao's navy are not surrendering, as he thought. Although he sees that, he cannot stop the events in motion now.	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_xinyang_cao_cao_05_1	Do not let it be said that Cao Cao did not try to hold back the chaos. 	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_red_cliff_liu_bei_05_1	Cao Cao must be stopped here, or his campaign of conquest will consume all of China. For the people, now, we will stop him!	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_red_cliff_liu_bei_06_1	My fleet may be ruined, and my armies scattered, but these traitors shall not have my head - not today!	false
scripted_subtitles_localised_text_Play_Battle_Historical_Cao_Cao_Xia_Pi_01_1	A cornered tiger is dangerous, but must be bound all the same.	false
scripted_subtitles_localised_text_Play_Battle_Historical_Gamescom_Sun_Quan_04	The choice is yours sister - I know you will lead us to glory!	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_changban_liu_bei_05_1	Fight well, my friend.	false
scripted_subtitles_localised_text_Play_Battle_Historical_Gamescom_Lady_Sun_02	“There – movement in the treeline!”	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_wuzhang_plains_sima_yi_05_1	I have reinforcements on the way, but we cannot allow an opportunity to pass by.	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_wuzhang_plains_sima_yi_02_1	If he is allowed to advance into the mountains, the entire kingdom of Wei will be vulnerable.	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_red_cliff_liu_bei_01_1	Zhuge Liang has predicted the wind would turn, and it has - the perfect time to strike is now! We must not waste this chance!	false
scripted_subtitles_localised_text_Play_3k_main_historical_battle_jiangdong_sun_ce_03_1	I have reinforcements, led by my uncle, arriving soon - they can provide a flanking force to sweep the city and crush this army.	false
