key	text	tooltip
#Loc;1;text/db/settlement_siege_action_option_tooltips__.loc		
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_vassalise	Vassalise	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_liberate	Liberate	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_colonise_cancel	Do nothing	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_occupy_yuan_shao	Secure & Occupy	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_aid_and_occupy	Occupy & Aid Wounded	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_integrate	Integrate	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_seize_control	Seize Control	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_loot_and_occupy	Loot & Occupy	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_integrate_emperor	Reappropriate	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_colonise	Establish Order	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_occupy_penalties	Occupy (Penalties)	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_gift_to_emperor	Gift to master	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_pacify	Occupy	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_raze	Raze	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_gift_to_mercenary_lord	Gift to mercenary lord	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_loot_and_occupy_penalties	Loot & Occupy (Penalties)	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_sack_and_withdraw	Sack & Withdraw	false
settlement_siege_action_option_tooltips_tooltip_tooltip_occupation_option_confederate	Confederate	false
