key	text	tooltip
#Loc;1;text/db/special_ability_invalid_usage_flags__.loc		
special_ability_invalid_usage_flags_flag_description_unit_is_routing	Routing	false
special_ability_invalid_usage_flags_flag_description_all_brothers_alive	All oathsworn alive	false
special_ability_invalid_usage_flags_alt_description_all_friends_dead	All friends alive	false
special_ability_invalid_usage_flags_alt_description_z[DONT_USE]mana_cost_too_much		false
special_ability_invalid_usage_flags_alt_description_unit_is_not_pre_murderous_prowess		false
special_ability_invalid_usage_flags_alt_description_morale_is_broken_or_lower	{{tr:morale}} is not broken	false
special_ability_invalid_usage_flags_alt_description_losing_melee_combat	Winning melee combat	false
special_ability_invalid_usage_flags_flag_description_unit_dead	Unit dead	false
special_ability_invalid_usage_flags_flag_description_all_brothers_dead	All oathsworn dead	false
special_ability_invalid_usage_flags_flag_description_health_below_50%	Health below  50%	false
special_ability_invalid_usage_flags_alt_description_climbing	Not climbing	false
special_ability_invalid_usage_flags_alt_description_winning_melee_combat	Losing melee combat	false
special_ability_invalid_usage_flags_flag_description_morale_is_lower_than_half_of_base_morale	{{tr:morale}} is lower than 50%	false
special_ability_invalid_usage_flags_flag_description_climbing_manning_eq_on_platform	Climbing or manning equipment or on a platform	false
special_ability_invalid_usage_flags_alt_description_manning_equipment	Not manning equipment	false
special_ability_invalid_usage_flags_alt_description_unit_has_murderous_prowess		false
special_ability_invalid_usage_flags_flag_description_manning_equipment	Manning equipment	false
special_ability_invalid_usage_flags_flag_description_flying_currently	Flying	false
special_ability_invalid_usage_flags_flag_description_undead_unit	Undead	false
special_ability_invalid_usage_flags_alt_description_other_abilities_at_least_one_on_wind_up	Casting	false
special_ability_invalid_usage_flags_flag_description_hp_replenish_cap_reached	HP replenishment cap reached	false
special_ability_invalid_usage_flags_flag_description_all_family_members_alive	All family members alive	false
special_ability_invalid_usage_flags_flag_description_health_above_50%_base	Health above  50% base	false
special_ability_invalid_usage_flags_flag_description_engaged_in_melee	Engaged in melee	false
special_ability_invalid_usage_flags_alt_description_health_below_50%	Health above  50%	false
special_ability_invalid_usage_flags_alt_description_has_no_family_relationship	Has family relationship	false
special_ability_invalid_usage_flags_alt_description_moving	Not moving	false
special_ability_invalid_usage_flags_flag_description_living_unit	Living	false
special_ability_invalid_usage_flags_alt_description_unit_not_in_combat_with_general	In combat with enemy general	false
special_ability_invalid_usage_flags_alt_description_all_rivals_dead	All rivals alive	false
special_ability_invalid_usage_flags_flag_description_morale_is_higher_than_wavering	{{tr:morale}} is high	false
special_ability_invalid_usage_flags_alt_description_unit_position_compromised		false
special_ability_invalid_usage_flags_flag_description_other_abilities_at_least_one_on_wind_up	Casting is Present	false
special_ability_invalid_usage_flags_flag_description_unit_is_under_fire	Under fire	false
special_ability_invalid_usage_flags_flag_description_morale_is_higher_than_half_of_base_morale	{{tr:morale}} is higher than 50%	false
special_ability_invalid_usage_flags_alt_description_enemies_in_intercept_range	No enemies in range	false
special_ability_invalid_usage_flags_flag_description_has_relationship_but_not_friend_rival_nemesis	Has no oathsworn	false
