key	text	tooltip
#Loc;1;text/db/technologies__.loc		
technologies_onscreen_name_3k_dlc05_tech_bandit_network_yi_bajun	Pirates of Ba	false
technologies_short_description_3k_dlc04_tech_yellow_turban_units_2_2	{{tr:3k_dlc04_text_replacement_tech_yellow_turban_units_2_2_short_desc}}	false
technologies_short_description_3k_dlc06_tech_nanman_mr3_2_lays_of_the_land_nanman	The people of the southern ravines know how to use the land against their enemies.	false
technologies_long_description_3k_ytr_tech_yellow_turban_heaven_1_1	Although those who serve the Will of Heaven will strive tirelessly, it is not through this effort that the Yellow Sky will rise. Rather, it is the inevitable that will see the old ways fall. Those who serve the Will of Heaven must be patient, yet certain of their purpose, and they will surely see their victory.	false
technologies_onscreen_name_3k_ytr_tech_yellow_turban_people_1_1	Subservience to the People	false
technologies_short_description_3k_main_tech_water_tier2_sino-roman_embassy	{{tr:3k_main_text_replacement_tech_water_tier2_sino-roman_embassy_short_description_key}}	false
technologies_short_description_3k_dlc04_tech_yellow_turban_units_1_3	{{tr:3k_dlc04_text_replacement_tech_yellow_turban_units_1_3_short_desc}}	false
technologies_onscreen_name_ep_tech_civic_4_2	Imperial Orders	false
technologies_onscreen_name_3k_ytr_tech_yellow_turban_land_2_5	Improve Irrigation Network	false
technologies_onscreen_name_3k_dlc06_tech_nanman_mb2c_established_infrastructure	Established Infrastructure	false
technologies_long_description_3k_ytr_tech_yellow_turban_heaven_5_1	Calmness, rationality and thoughtfulness are the keys to understanding the Tao and finding harmony. To over speak is to be boastful and overwrought, whilst to amass fortune is greedy and corrupt. You should always be creating for others, that they may be better. Your deeds may never been seen, as wealth is, but instead be understood by those it touches.	false
technologies_long_description_3k_dlc04_tech_yellow_turban_units_1_3	{{tr:3k_dlc04_text_replacement_tech_yellow_turban_units_1_3_long_desc}}	false
technologies_onscreen_name_3k_dlc05_tech_bandit_network_xu_guangling	Smugglers of Hancheng	false
technologies_onscreen_name_3k_main_tech_water_tier2_inns	{{tr:3k_main_text_replacement_tech_water_tier2_inns_name_key}}	false
technologies_onscreen_name_3k_ytr_tech_yellow_turban_heaven_1_2	Inner Reflection	false
technologies_long_description_3k_dlc04_tech_yellow_turban_army_0_2	{{tr:3k_dlc04_text_replacement_tech_yellow_turban_army_0_2_long_desc}}	false
technologies_onscreen_name_3k_dlc04_tech_yellow_turban_army_3_1	{{tr:3k_dlc04_text_replacement_tech_yellow_turban_army_3_1_title}}	false
technologies_onscreen_name_3k_main_tech_metal_tier2_mercantile_regulation	{{tr:3k_main_text_replacement_tech_metal_tier2_mercantile_regulation_name_key}}	false
technologies_long_description_3k_dlc06_tech_nanman_er1_2_ancestral_farmland_nanman	Though the south is known for its spectacular mountains and ravines, there is also good farming land here, in places where the ground is flat enough for cultivation, or can be made so using terraces. \\n\\nDespite the drawbacks of such rugged countryside, the essential relationship between the Nanman peasants and the land they farm is older than China itself. However, this does not mean change is unwelcome, be it iron tools or the use of oxen. 	false
