key	text	tooltip
#Loc;1;text/db/ui_ceo_node_overrides__.loc		
ui_ceo_node_overrides_description_3k_main_ancillary_giant_mace_unique3k_campaign_group_game_mode_historical	Devastating when it lands, ineffective if it misses.	false
ui_ceo_node_overrides_title_3k_main_ancillary_xiahou_duns_armour_unique3k_campaign_group_game_mode_historical	Xiahou Dun's Armour	false
ui_ceo_node_overrides_title_3k_main_ceo_node_wealth_013k_campaign_group_subtype_metal	Intendant	false
ui_ceo_node_overrides_description_3k_main_ancillary_green_dragon_crescent_blade3k_campaign_group_game_mode_historical	Visited by a green dragon whilst forging this lethal glaive, its maker believes the creature itself was incorporated into the steel.	false
ui_ceo_node_overrides_description_3k_main_ancillary_trident_halberd3k_campaign_group_game_mode_historical	Lü Bu and his favoured weapon fight as if they were one.	false
ui_ceo_node_overrides_title_3k_main_ancillary_green_dragon_crescent_blade3k_campaign_group_game_mode_historical	Green Dragon Crescent Blade	false
ui_ceo_node_overrides_title_3k_main_ancillary_serpent_spear3k_campaign_group_game_mode_historical	Serpent Spear	false
ui_ceo_node_overrides_description_3k_main_ceo_node_wealth_013k_campaign_group_subtype_wood	Poverty keeps one honest.	false
ui_ceo_node_overrides_title_3k_main_ancillary_trident_halberd3k_campaign_group_game_mode_historical	Sky Piercer	false
ui_ceo_node_overrides_title_3k_main_ancillary_giant_mace_unique3k_campaign_group_game_mode_historical	Giantbane	false
ui_ceo_node_overrides_description_3k_main_ceo_node_wealth_013k_campaign_group_subtype_metal	Poverty keeps one honest.	false
ui_ceo_node_overrides_description_3k_main_ceo_node_wealth_013k_campaign_group_subtype_water	Poverty keeps one honest.	false
ui_ceo_node_overrides_description_3k_main_ancillary_lu_bus_armour_unique3k_campaign_group_game_mode_historical	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ui_ceo_node_overrides_description_3k_main_ancillary_serpent_spear3k_campaign_group_game_mode_historical	Coils of the serpent unwind.	false
ui_ceo_node_overrides_title_3k_main_ceo_node_wealth_013k_campaign_group_subtype_water	Orator	false
ui_ceo_node_overrides_title_3k_main_ancillary_lu_bus_armour_unique3k_campaign_group_game_mode_historical	Lü Bu's Armour	false
ui_ceo_node_overrides_description_3k_main_ceo_node_wealth_013k_campaign_group_subtype_fire	Poverty keeps one honest.	false
ui_ceo_node_overrides_title_3k_main_ceo_node_wealth_013k_campaign_group_subtype_fire	Officer	false
ui_ceo_node_overrides_description_3k_main_ancillary_xiahou_duns_armour_unique3k_campaign_group_game_mode_historical	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ui_ceo_node_overrides_description_3k_main_ancillary_liu_beis_armour_unique3k_campaign_group_game_mode_historical	The perfect weight and fit, tailored for this warrior of class and distinction.	false
ui_ceo_node_overrides_title_3k_main_ancillary_liu_beis_armour_unique3k_campaign_group_game_mode_historical	Liu Bei's Armour	false
ui_ceo_node_overrides_title_3k_main_ceo_node_wealth_013k_campaign_group_subtype_wood	Provisioner	false
