key	text	tooltip
#Loc;1;text/db/ui_character_actions__.loc		
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_banish	Banishes the character and confiscates his wealth	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_adopt	Adopt this character	false
ui_character_actions_localised_title_3k_dlc05_political_action_ui_info_character_action_lu_bu_inspire	Inspire Loyalty	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_divorce	Divorce	false
ui_character_actions_localised_fallback_tooltip_dlc05_character_action_ui_info_sun_ce_court_experience	Instantly grant a large amount of experience points to a character	false
ui_character_actions_localised_fallback_tooltip_3k_dlc06_campaign_group_political_action_grant_independence_shi_xie	Test2	false
ui_character_actions_localised_description_ep_campaign_group_political_action_banish_sima_jiong	 	false
ui_character_actions_localised_title_ep_character_action_ui_info_sima_wei_gift	Present Gift	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_grant_independence	Grant Independence	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_marry	Marry this character to another	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_grant_independence	Test1	false
ui_character_actions_localised_fallback_tooltip_ep_campaign_group_political_action_banish_sima_jiong	Removes the character from the court and expels her or him from the faction. 	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_marry	Marry	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_adopt	 	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_wealth_decrease	 	false
ui_character_actions_localised_title_3k_dlc06_campaign_group_political_action_grant_independence_shi_xie	Grant Family Independence	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_undeploy	Recalls the character and his retinue from the map	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_arrange_marriage	 	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_wealth_increase	 	false
ui_character_actions_localised_description_ep_character_action_ui_info_sima_wei_gift	 	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_adopt	Adopt	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_wealth_decrease	Request Aid	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_release_from_service	Release from Service	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_undeploy	 	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_assign_as_heir	Make Heir	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_recall_assignment	Call back assignee	false
ui_character_actions_localised_fallback_tooltip_3k_dlc05_political_action_ui_info_character_action_lu_bu_inspire	Use your legend to inspire this character, improving their satisfaction.	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_seek_spouse	Seek Spouse	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_banish_dong_zhuo_execute	 	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_recall_assignment	This character will return back from his assignment	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_divorce	Divorce this character	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_unassign_from_post	Remove from office	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_wealth_decrease	Request financial support from this character to support your cause	false
ui_character_actions_localised_description_3k_dlc05_political_action_ui_info_character_action_lu_bu_inspire	 	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_divorce	 	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_banish	 	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_marry	Marry this character	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_assign_as_heir	Make this character your heir	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_assign_as_heir	 	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_unassign_from_post	Removes the character from his current office	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_seek_spouse	 	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_recall_assignment	 	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_release_from_service	 	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_grant_independence	Test2	false
ui_character_actions_localised_title_dlc05_character_action_ui_info_sun_ce_court_experience	Share Expertise	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_wealth_increase	Promote	false
ui_character_actions_localised_title_ep_campaign_group_political_action_banish_sima_jiong	Remove Opposition	false
ui_character_actions_localised_description_3k_dlc06_campaign_group_political_action_grant_independence_shi_xie	Test1	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_arrange_marriage	Arrange Marriage	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_release_from_service	Release this character from serving you and dismiss them from your faction	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_arrange_marriage	Arrange marriage with a suitable candidate.	false
ui_character_actions_localised_description_3k_main_campaign_group_political_action_unassign_from_post	 	false
ui_character_actions_localised_fallback_tooltip_ep_character_action_ui_info_sima_wei_gift	A gift of generosity, presented in gratitude.	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_banish	Banish	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_wealth_increase	This will increase the satisfaction of this character and raise his salary too	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_seek_spouse	A suitable spouse will be found amongst your loyal followers	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_undeploy	Call back general	false
ui_character_actions_localised_description_dlc05_character_action_ui_info_sun_ce_court_experience	 	false
ui_character_actions_localised_fallback_tooltip_3k_main_campaign_group_political_action_banish_dong_zhuo_execute	Kill this character	false
ui_character_actions_localised_title_3k_main_campaign_group_political_action_banish_dong_zhuo_execute	Execute	false
