key	text	tooltip
#Loc;1;text/db/ui_character_assignments__.loc		
ui_character_assignments_localised_title_3k_main_assignment_ui_info_industrial_exploitation	Industrial Exploitation	false
ui_character_assignments_localised_title_3k_main_assignment_ui_info_market_stimulation	Stimulate Markets	false
ui_character_assignments_localised_description_3k_ytr_assignment_ui_info_attract_talent	Your attendant will seek men of talent to support our cause. Mastery and understanding of the concepts of the way are identified through conversation, and through careful monitoring of a man's deeds.	false
ui_character_assignments_localised_description_3k_ytr_assignment_ui_info_instill_heroism	Warriors of great strength and prowess are easily manipulated by their pride; it will take heroes of compassion, humility and frugality to purge this tyranny from the land. You will travel to the commandery to find such characters.	false
ui_character_assignments_localised_title_3k_main_assignment_ui_info_liu_bei_wood	Farm Development	false
ui_character_assignments_localised_description_3k_ytr_assignment_ui_info_healing_rituals	Your attendant will hold daily meditation and chanting rituals available to all, so that all can learn how to bring their qi into balance and banish sickness.	false
ui_character_assignments_localised_title_3k_ytr_assignment_ui_info_rally_sympathisers	Rally Sympathisers	false
ui_character_assignments_localised_description_3k_main_assignment_ui_info_support_espionage_network	Your attendant will lend assistance to our spy defence networks, bolstering our counter-espionage infrastructure to hinder any enemy efforts to undermine us from within.	false
ui_character_assignments_localised_title_3k_main_assignment_ui_info_re-settlement_programme	Agricultural Exploitation	false
ui_character_assignments_localised_description_ep_assignment_ui_info_sima_ai_restructure_commandery_administration	Your attendant will see to the reformation and restructuring of the local administration and of the commandery government.	false
ui_character_assignments_localised_description_3k_main_assignment_ui_info_black_market_investigation	Your attendant will probe the black market within the commandery, interrogating and bribing informants to reveal the whereabouts of armaments, accessories, mounts, or followers that might be of interest to you.	false
ui_character_assignments_localised_title_3k_main_assignment_ui_info_bandit_patrols	Bandit Patrols	false
ui_character_assignments_localised_title_3k_main_assignment_ui_info_wood_surplus_distribution	Surplus Distribution	false
ui_character_assignments_localised_title_3k_ytr_assignment_ui_info_inspire_populace	Inspire Populace	false
ui_character_assignments_localised_description_3k_main_assignment_ui_info_bandit_patrols	Your attendant will oversee the formation of patrol groups to operate within the commandery, recruiting from the peasantry to overwhelm local bandits with superior numbers.	false
ui_character_assignments_localised_title_3k_dlc04_assignment_ui_info_emperor_political_influence	Reward Officials	false
ui_character_assignments_localised_title_3k_main_assignment_ui_info_organise_guerilla	Organise Guerrillas	false
