key	text	tooltip
#Loc;1;text/db/ui_diplomacy_treaty_components__.loc		
ui_diplomacy_treaty_components_localised_active_recipient_string_ui_treaty_components_vassal_liberation_demand	HIDDEN	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_faction_to_alliance_war	Declare war between yourself, this faction and each of their alliance members.	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_forced_end_personal_feud_generic	Force this subject to end their feud with another.	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_confederate_recipient	Absorb this faction's assets and lands into your own, destroying their faction. The characters of this faction will seek employment under new lords.	false
ui_diplomacy_treaty_components_localised_active_proposer_string_ui_treaty_components_coalition_to_empire_white_tiger	HIDDEN	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_recipient_declares_war_against_target	Request military support from {#recipientsfaction#}	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_create_alliance_yuan_shu	Alliance formed between %S and	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_create_military_alliance	A binding military agreement between all members of the alliance; all members of a military alliance vote on war declarations and other pertinent negotiations, and are obliged to accept the result of all votes.	false
ui_diplomacy_treaty_components_localised_title_ui_treaty_components_sima_lun_coercion	Deceive	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_alliance_to_faction_war	The alliance of {#proposersalliance#} has declared war on you	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_invite_coalition	{{CcoEvent:ProposerName}} invited {{CcoEvent:RecipientName}} into their coalition	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_war_declared_proposer_in_military_alliance_recipient_in_empire	We are proposing an alliance war against the empire of {#recipientsalliance#}	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_payment_regular_offer_twenty_turns	Regular Payment Offered	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_create_empire_counter_offer	{{CcoEvent:ProposerName}} formed an empire with {{CcoEvent:RecipientName}}	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_personal_feud	We are declaring a feud against {#recipientsfaction#}	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_guarentee_autonomy	Autonomy guaranteed by %S	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_invite_coalition	Invite this faction to join your coalition. All coalition members must vote to approve membership.\\n[[col:yellow]]Peace treaties will automatically be signed by any members of the joining faction.[[/col]]	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_war_participant_vassalised_resolve_war_with_master	Negotiate peace between {#recipientsfaction#} and {#param#}	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_payment_offer	Make payment	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_compoents_take_tribute	HIDDEN	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_dissolve_empire	{{CcoEvent:ProposerName}} dissolved their empire	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_sima_lun_coercion	We will deceive {#recipientsfaction#}, giving us greater diplomatic leverage	false
ui_diplomacy_treaty_components_localised_active_recipient_string_ui_treaty_component_war_declared_both_in_coalition	HIDDEN	false
ui_diplomacy_treaty_components_localised_active_recipient_string_ui_treaty_components_quit_empire_no_treachery	HIDDEN	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_recent_annexation	HIDDEN	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_vassal_demands_protection_group_war	{{CcoEvent:ProposerName}} demanded aid from their vassal master {{CcoEvent:RecipientName}}	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_component_war_declared_proposer_in_coalition	Ask your allies to declare war on this faction.	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_create_coalition_yuan_shao_counter_offer	{{CcoEvent:ProposerName}} formed a coalition with {{CcoEvent:RecipientName}}	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_sima_lun_coercion	Expend {#pooled_resource#} to trick this faction to co-operate.	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_marriage_join_faction_ai	{#proposersfaction#} offers you a marriage, our character will join their faction	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_lu_bu_coercion	Coerce	false
ui_diplomacy_treaty_components_localised_active_proposer_string_ui_treaty_components_war_negative_trustworthiness	We are at war with  {#recipientsfaction#}	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_marriage_join_faction	Receive marriage	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_confederate_proposer	Join Confederaton	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_create_coalition_white_tiger	Coalition created between %S and	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_ancillary	Ancillary trade requested by {#proposersfaction#}	false
ui_diplomacy_treaty_components_localised_event_feed_subheader_ui_treaty_components_coalition_alliance_vote_kick	%S Kicked from coalition by	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_offer_autonomy	{#proposersfaction#} will guarantee our autonomy	false
ui_diplomacy_treaty_components_localised_title_ui_treaty_components_call_allies_to_arms	Join war against faction	false
ui_diplomacy_treaty_components_localised_active_proposer_string_ui_treaty_components_guarentee_autonomy	We are guaranteeing the autonomy of {#recipientsfaction#}	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_components_confederate_recipient_no_conditions	{{CcoEvent:ProposerName}} confederated {{CcoEvent:RecipientName}}	false
ui_diplomacy_treaty_components_localised_recipient_string_ui_treaty_components_vassal_han_empire_demands_protection	{#proposersfaction#} is asking us, as their vassal master, to defend them against {#param#}. Rejecting will result in the vassal's independence	false
ui_diplomacy_treaty_components_localised_active_proposer_string_ui_treaty_components_coalition_split_vote	HIDDEN	false
ui_diplomacy_treaty_components_localised_proposer_string_ui_treaty_components_mandated_powers_offer	{#proposersfaction#} is requesting to grant {#recipientsfaction#} mandated powers	false
ui_diplomacy_treaty_components_localised_tooltip_ui_treaty_components_mercenary_contract_proposer_declares_war_against_target	Offer your assistance in an ongoing war for a limited time, granting you access to their lands and shared line of sight. Instead of occupying enemy settlements, you can gift the land to your employer for an increased price.\\n[[col:red]]Any wars targeting a vassal master or vassal subject will result in retaliation from both parties. \\nWars targeting members of coalitions or alliances can lead to war escalation, potentially involving all their allies.[[/col]]	false
ui_diplomacy_treaty_components_localised_action_ui_treaty_components_coalition_to_alliance_yuan_shao	Transition your coalition to a military alliance	false
ui_diplomacy_treaty_components_localised_event_feed_header_ui_treaty_components_mercenary_counter_contract_recipient_declares_war_against_target	{{CcoEvent:ProposerName}} turned {{CcoEvent:RecipientName}} against their former contractor	false
ui_diplomacy_treaty_components_localised_active_recipient_string_ui_treaty_components_quit_coalition_alliance_no_treachery	HIDDEN	false
