key	text	tooltip
#Loc;1;text/db/ui_dynamic_loading_screen_events__.loc		
ui_dynamic_loading_screen_events_localised_title_ui_player_spy_becomes_faction_leaderplayer_spy_becomes_faction_leader	The Great Infiltrator	false
ui_dynamic_loading_screen_events_localised_title_ui_diplomacy_player_alliance_broken_militaryplayer_alliance_broken_military	Broken Promises	false
ui_dynamic_loading_screen_events_localised_title_ui_campaign_begins_2campaign_begins_2	The Rise of Dong Zhuo	false
ui_dynamic_loading_screen_events_localised_text_ui_player_province_food_shortage_pendingplayer_province_food_shortage_pending	A leader has many mouths to feed, and the able one will provide for them all. Food supplies are beginning to vanish in your regions - steps must be taken to address the situation, for a ruler of corpses is no ruler at all…	false
ui_dynamic_loading_screen_events_localised_text_ui_diplomacy_player_alliance_broken_militaryplayer_alliance_broken_military	Not all things are built to last. Like the tide, all that washes ashore must be reclaimed by the receding waters. Your alliance has collapsed - you must look now to a future without your former ally and find strength in your own courage.	false
ui_dynamic_loading_screen_events_localised_title_ui_war_player_under_siegeplayer_under_siege	At the Gates	false
ui_dynamic_loading_screen_events_localised_text_ui_emperor_declared_other_faction_oneemperor_declared_other_faction_one	China can be ruled by only one; so the Mandate of Heaven passes. Some usurper has tried to claim it and declare themselves emperor. Though they have strength, they do not speak honestly. They must be deposed, if you are to ascend as China's champion!	false
ui_dynamic_loading_screen_events_localised_text_ui_war_declared_recentlywar_declared_recently	You have lit the flames of war, and now the fire rises to consume your enemies. Men will shed their blood in the name of their ideals, and their country. You must make the decisions that will shape destiny!	false
ui_dynamic_loading_screen_events_localised_text_ui_player_province_rebellion_yellow_turbanrebellion_in_player_province	Though you have fought hard to liberate the people, change can come too suddenly. The people, unused to such seismic shifts, clamour for their old oppressors, violently rejecting your righteous liberation.	false
ui_dynamic_loading_screen_events_localised_text_ui_war_player_performing_siegeplayer_performing_siege	Your war has brought you to the very gates of your enemy. Behind their walls, they steel themselves against your armies. They cannot hold out forever, yet an assault may be costly, if not swift. Yet wait too long and reinforcements may arrive to relieve their embattled comrades.	false
ui_dynamic_loading_screen_events_localised_title_ui_player_spy_becomes_court_nobleplayer_spy_becomes_court_noble	A Foot in the Door	false
ui_dynamic_loading_screen_events_localised_title_ui_war_settlement_razedsettlement_razed	In Flames	false
ui_dynamic_loading_screen_events_localised_title_3k_dlc06_ui_campaign_begins_190_13k_dlc06_campaign_begins_190_nanman_1	The Old Orders	false
ui_dynamic_loading_screen_events_localised_text_ui_campaign_begins_ep_4ep_campaign_begins_4	It is now summer, 291 CE, and the eight great Sima princes now look to their own ambitions. Infirm alliances, doomed to break, are forged as each prince strives to free the emperor from the yoke of the empress and establish themselves as the rightful regent. A dynasty trembles on the very brink...	false
ui_dynamic_loading_screen_events_localised_title_ui_campaign_begins_1campaign_begins_1	The Yellow Turban Rebellion	false
ui_dynamic_loading_screen_events_localised_text_ui_player_faction_rank_2_yellow_turbanplayer_faction_rank_2_yellow_turban	"The wise man, trusting in goodness, always saves men." You have continued to grow in understanding, recognising that China and its people must be healed, and you must be the physician.	false
