key	text	tooltip
#Loc;1;text/db/ui_unit_bullet_point_enums__.loc		
ui_unit_bullet_point_enums_onscreen_name_weakness_poor_melee	Poor in melee	false
ui_unit_bullet_point_enums_onscreen_name_battlefield_role_flank_defence	Role: anti-cavalry	false
ui_unit_bullet_point_enums_onscreen_name_strength_splash_attacks	Splash attacks	false
ui_unit_bullet_point_enums_onscreen_name_strength_fire_damage	Deals fire damage	false
ui_unit_bullet_point_enums_onscreen_name_strength_ignores_ground	Crosses all terrain	false
ui_unit_bullet_point_enums_tooltip_weakness_poor_melee	This unit is poor when fighting hand-to-hand. Try to keep it away from enemy formations.	false
ui_unit_bullet_point_enums_tooltip_strength_blocks_melee	This unit is highly skilled in parrying and dodging incoming melee attacks.	false
ui_unit_bullet_point_enums_tooltip_strength_bonus_vs_shield	This unit causes extra damage against shielded enemies.	false
ui_unit_bullet_point_enums_tooltip_strength_slayer_of_heroes	When fighting against heroes on the battlefield they will find their skills and prowess much improved.	false
ui_unit_bullet_point_enums_tooltip_weakness_missile_defence	This unit is unshielded and therefore has little defence against missile attacks.	false
ui_unit_bullet_point_enums_onscreen_name_strength_encourage	Encourages allies	false
ui_unit_bullet_point_enums_tooltip_strength_movement_ranged_cavalry	Mounted archers use their impressive speed and manoeuvrability to stay out of reach of the enemy and encircle unprotected units.	false
ui_unit_bullet_point_enums_onscreen_name_strength_charge_infantry	Good charge	false
ui_unit_bullet_point_enums_tooltip_strength_missile_defence_weapon	This unit's training has reached a level where they can even deflect missiles without a shield!	false
ui_unit_bullet_point_enums_onscreen_name_weakness_armour_piercing	Vulnerable to piercing damage	false
ui_unit_bullet_point_enums_tooltip_strength_armour_piercing_ranged	This unit's missiles are heavily tipped to drill through the strongest armour, but will still be deflected by shields.	false
ui_unit_bullet_point_enums_tooltip_strength_poison_attacks	The weapons of this unit are coated in poison, inflicting lingering armour-ignoring damage on foes that are hit.	false
ui_unit_bullet_point_enums_onscreen_name_strength_elephants	Elephant unit	false
