key	text	tooltip
#Loc;1;text/db/ui_unit_group_parents__.loc		
ui_unit_group_parents_onscreen_name_3k_ytr_hero_veteran	Veteran	false
ui_unit_group_parents_onscreen_name_3k_main_unit_mounted_water	Ranged Cavalry	false
ui_unit_group_parents_onscreen_name_3k_main_unit_artillery_water	Ranged Artillery	false
ui_unit_group_parents_onscreen_name_3k_dlc06_hero_nanman	Nanman	false
ui_unit_group_parents_onscreen_name_3k_main_unit_fire	Shock Cavalry	false
ui_unit_group_parents_onscreen_name_3k_ytr_hero_scholar	Scholar	false
ui_unit_group_parents_onscreen_name_3k_main_unit_water	Ranged Infantry	false
ui_unit_group_parents_onscreen_name_3k_main_hero_earth	Commander	false
ui_unit_group_parents_onscreen_name_3k_main_hero_wood	Champion	false
ui_unit_group_parents_onscreen_name_3k_main_unit_earth	Melee Cavalry	false
ui_unit_group_parents_onscreen_name_3k_main_unit_wood	Polearm Infantry	false
ui_unit_group_parents_onscreen_name_3k_ytr_hero_healer	Healer	false
ui_unit_group_parents_onscreen_name_3k_main_unit_metal	Melee Infantry	false
ui_unit_group_parents_onscreen_name_3k_dlc06_unit_elephant_fire	Elephants	false
ui_unit_group_parents_onscreen_name_3k_main_hero_strategist_water	Strategist	false
ui_unit_group_parents_onscreen_name_3k_main_hero_fire	Vanguard	false
ui_unit_group_parents_onscreen_name_3k_main_hero_metal	Sentinel	false
