key	text	tooltip
#Loc;1;text/db/uied_component_texts__.loc		
uied_component_texts_localised_string_label_tx_NewState_Text_14006f	60 Minutes	false
uied_component_texts_localised_string_button_sort_Tooltip_29003fca	Sort by occupation	false
uied_component_texts_localised_string_status_selected_inactive_Text_530047	STATUS	false
uied_component_texts_localised_string_header_label_NewState_Text_1f0024	CAMPAIGN SETTINGS	false
uied_component_texts_localised_string_label_character_role_NewState_Text_410031	Outcome:	false
uied_component_texts_localised_string_icon_level_2_Tooltip_62003e	Village	false
uied_component_texts_localised_string_copy_of_graph_label_NewState_Text_500015	FPS	false
uied_component_texts_localised_string_heading_tx_NewState_Text_4d0033	Effects:	false
uied_component_texts_localised_string_quick_save_default_Text_320056	Quick save	false
uied_component_texts_localised_string_template_transfer_inactive_Text_520078	They receive {{CcoCampaignDiplomacyTreatyComponentIncomeTransferEffectRecord:RoundFloat(PercentageOfVaryingRegularIncome)}}% of our regular net income (after expenditure) up to {{CcoCampaignDiplomacyTreatyComponentIncomeTransferEffectRecord:MaximumIncomeTransferred}}[[img:icon_money]][[/img]]	false
uied_component_texts_localised_string_heading_txt_load_Text_61002a	Load Battle Setup	false
uied_component_texts_localised_string_button_resume_active_Text_55004c	RESUME	false
uied_component_texts_localised_string_button_tab_ancillaries_down_Text_5c0015	ANCILLARIES	false
uied_component_texts_localised_string_title_default_Text_380046	CHARACTER NAME	false
uied_component_texts_localised_string_faction_label_2_NewState_Text_420073	GUAN YU	false
uied_component_texts_localised_string_lock_Tooltip_440054	You do not have high enough rank to access this unit.	false
uied_component_texts_localised_string_host_Tooltip_420063	Sort by host	false
uied_component_texts_localised_string_tier_1_icon_active_Tooltip_5b0041	Faction rank Minor Prince	false
uied_component_texts_localised_string_button_enable_recruitment_mode_script_locked_Tooltip_2f0056iykvnlhfdytecgxpupw	Unit recruitment unlocks next turn.[[i]]Recruitment is disabled on turn 1[[/i]]	false
uied_component_texts_localised_string_faction_inactive_Text_5a0002	FACTION	false
uied_component_texts_localised_string_build_info_holder_older_build_Tooltip_2b001b	This save does not match your current game version	false
uied_component_texts_localised_string_title_NewState_Text_2e0059	TRADE-OFFS	false
uied_component_texts_localised_string_title_NewState_Text_66005b	MINISTERIAL POSITIONS	false
uied_component_texts_localised_string_checkbox_mouse_scroll_Tooltip_70011	When enabled, moving your mouse cursor to the edge of the screen will scroll the camera in that direction	false
uied_component_texts_localised_string_status_selected_down_Text_530047	STATUS	false
uied_component_texts_localised_string_button_tab_captains_down_Text_f001c	CAPTAINS	false
uied_component_texts_localised_string_bullet_point_3_NewState_Text_5d0041	Splendour is mainly used for the purchasing of [[b]]Tribute Chests.[[/b]]	false
uied_component_texts_localised_string_bullet_point_3_NewState_Text_730006rx	[[b]]Personal Chests[[/b]] – can provide bonuses to character experience, attributes and satisfaction, or their retinue.	false
uied_component_texts_localised_string_button_show_details_hover_Tooltip_f002d	costs: {{CcoScriptObject:Floor(NumericValue)}} splendour	false
uied_component_texts_localised_string_main_text_2_NewState_Text_24006c	Every third wave contains powerful enemy characters	false
uied_component_texts_localised_string_growth_header_text_NewState_Text_4d005c	GROWTH	false
uied_component_texts_localised_string_status_inactive_Text_530047	STATUS	false
uied_component_texts_localised_string_button_txt_active_Text_42004b	INVITE	false
uied_component_texts_localised_string_battle_resolve_mode_selected_inactive_Text_51000c	BATTLE RESOLVE MODE	false
uied_component_texts_localised_string_salary_change_text_NewState_Text_120029	Salary change for post: {{CcoCampaignCharacterPost:SalaryForCharacter(StoredContext("CcoCampaignCharacter"))}}	false
uied_component_texts_localised_string_wc_icon_available_Tooltip_6c0017svjtx	War co-ordination target available. Start a negotiation with this faction and assign a war target using the war co-ordination options.	false
uied_component_texts_localised_string_convalescing_post_battle_Tooltip_2c003a	This unit has been destroyed in battle.	false
uied_component_texts_localised_string_template_recruit_unit_Tooltip_370022ijgy	Left-click to recruit \\n Right-click to compare units	false
uied_component_texts_localised_string_button_tab_aspiration_down_Text_5c0058	ASPIRATION	false
uied_component_texts_localised_string_button_tab_abilities_selected_Text_1f005b	ABILITIES	false
uied_component_texts_localised_string_label_first_character_name_NewState_Text_61001f	LIU HONG	false
uied_component_texts_localised_string_button_tab_effects_selected_down_Text_570013	RELATIONS	false
uied_component_texts_localised_string_button_add_Tooltip_570028	Recruitment mode	false
uied_component_texts_localised_string_sort_by_satisfaction_selected_descending_down_Tooltip_1d0007	Sort by satisfaction (descending)	false
uied_component_texts_localised_string_network_points_NewState_Tooltip_5e0021k	Network Points	false
uied_component_texts_localised_string_button_administrator_Tooltip_5a006c	Administrator actions	false
uied_component_texts_localised_string_bullet_point_1_NewState_Text_80020	War is coming as the Yellow Turban rebellion grows. When it comes to a head be on the lookout for the balance of power bar, which will track the status of the war.	false
uied_component_texts_localised_string_treachery_warning_NewState_Text_140027	Annexing the territory of your subjects is an act of [[col:red]]treachery[[/col]] condemned by everyone!	false
uied_component_texts_localised_string_label_name_NewState_Text_46001a	ENEMIES	false
uied_component_texts_localised_string_label_climate_name_NewState_Text_42q	Climate name	false
uied_component_texts_localised_string_button_enable_recruitment_mode_script_locked_Tooltip_2f0056iykvnlhfdytecgx	Unit recruitment unlocks next turn.[[i]]Recruitment is disabled on turn 1[[/i]]	false
