key	text	tooltip
#Loc;1;text/db/unit_abilities__.loc		
unit_abilities_tooltip_text_3k_dlc04_way_of_war	The Way ensures that all nearby allies gain improved defence and armour, thereby deflecting blows with increased alacrity. 	false
unit_abilities_onscreen_name_3k_main_formation_diamond	Diamond	false
unit_abilities_tooltip_text_3k_dlc04_formation_circle_imperial	The unit forms into a tight circle, presenting a defensive front from any angle.	false
unit_abilities_onscreen_name_3k_dlc06_ability_rending_strike	Rending Strike	false
unit_abilities_onscreen_name_ep_dyn_ability_blade_breaker	Blade Breaker	false
unit_abilities_onscreen_name_3k_main_ability_cry_of_the_forest	Cry of the Forest	false
unit_abilities_onscreen_name_3k_dlc06_ability_blood_price	Blood Price	false
unit_abilities_onscreen_name_3k_ytr_ability_recovery	Recovery	false
unit_abilities_onscreen_name_3k_dlc05_ability_scattering_blows	Scattering Blows	false
unit_abilities_tooltip_text_3k_main_ability_swift_fingers	Recalling their training, these generals reload with startling quickness.	false
unit_abilities_onscreen_name_ep_dyn_ability_clear_a_path	Clear a Path	false
unit_abilities_tooltip_text_3k_dlc05_ability_tactical_withdrawal	There is a time, dishonourable though it may appear in the moment, when living to fight again another day is by far the most sensible option.	false
unit_abilities_tooltip_text_3k_main_formation_wedge	The unit forms into a spear-tip, best for driving directly through enemy lines.	false
unit_abilities_tooltip_text_3k_dlc04_ability_heavenly_grace	Diaochan stuns all those around her.	false
unit_abilities_onscreen_name_ep_dyn_ability_nature_s_ally	Nature's Ally	false
unit_abilities_onscreen_name_ep_dyn_ability_flaming_fury	Flaming Fury	false
unit_abilities_onscreen_name_3k_main_ability_god_of_war	God of War	false
unit_abilities_tooltip_text_3k_dlc06_ability_desperate_rage	When all else fails, great strength is found in the last-ditch desperation of man.	false
unit_abilities_onscreen_name_ep_dyn_ability_protectors_aegis	Protector's Aegis	false
unit_abilities_onscreen_name_3k_main_ability_warning_shot	Warning Shot	false
unit_abilities_tooltip_text_3k_ytr_ability_judgement	A warrior will only fight at their best when they are sure-footed.	false
unit_abilities_onscreen_name_3k_dlc06_ability_southern_wrath	Southern Wrath	false
unit_abilities_onscreen_name_3k_main_formation_spear_wall	Shield Wall (Spear)	false
unit_abilities_tooltip_text_3k_dlc05_ability_exemplar	A shining, typical, and above all appropriate model of how one should be.	false
unit_abilities_onscreen_name_3k_main_test3	TEST ATTACK 3	false
unit_abilities_tooltip_text_3k_main_ability_stalwart_defender	Born to hold the line, Xu Chu shrugs off attacks as if they were nothing!	false
unit_abilities_tooltip_text_3k_dlc04_formation_spear_wall_imperial	The unit presents a wall of shields to the enemy - an offensive formation best used to push forward under arrow fire.	false
unit_abilities_tooltip_text_3k_dlc05_ability_guard	Everyone is safe when this one is present. It's the one thing you can rely upon when all else is bogged down in murky politics.	false
unit_abilities_onscreen_name_3k_dlc05_ability_exemplar	Exemplar	false
unit_abilities_tooltip_text_3k_dlc06_ability_blow_for_blow	That which is a dealt to the enemy must also be felt in return. This is the exchange.	false
unit_abilities_onscreen_name_3k_main_ability_nature_s_ally	Nature's Ally	false
unit_abilities_tooltip_text_ep_dyn_ability_restoration	Purchase this to heal this hero to full, at the cost of a permanent upgrade. Purchaseable multiple times.	false
unit_abilities_tooltip_text_ep_dyn_ability_sweeping_arc	Deliver a sweeping attack that damages nearby opponents in an arc.	false
unit_abilities_tooltip_text_3k_main_test1	TEST ATTACK 1	false
unit_abilities_onscreen_name_3k_dlc04_way_of_great_peace	Way of Great Peace	false
unit_abilities_tooltip_text_3k_main_formation_loose	The unit spreads apart, making it more difficult for arrows to hit them.	false
unit_abilities_onscreen_name_3k_dlc04_defense_mastery_ranged	Mastery of Ranged Defence	false
unit_abilities_tooltip_text_3k_main_ability_sundering_strike	With a mighty cleave, Zhang Fei rends his foes' defences.	false
unit_abilities_onscreen_name_3k_main_hero_relationship_effect_nemesis_present	Nemesis	false
unit_abilities_tooltip_text_ep_dyn_ability_strength_of_the_mountain	The mountain seems invulnerable - but all things can be worn down with time.	false
unit_abilities_onscreen_name_3k_dlc05_ability_guard	Guard	false
unit_abilities_onscreen_name_3k_dlc07_ability_mock	Mock	false
unit_abilities_onscreen_name_3k_dlc04_formation_mixed_ranged_imperial	Mixed Missile	false
unit_abilities_onscreen_name_3k_main_ability_imperious_presence	Imperious Presence	false
unit_abilities_tooltip_text_3k_dlc04_lord_of_the_people	When nearing defeat, a cry of ragged determination boosts the morale and armour of those allies close by.	false
unit_abilities_onscreen_name_3k_ytr_ability_preach	Preach	false
unit_abilities_onscreen_name_3k_ytr_ability_favourable_skies	Favourable Skies	false
unit_abilities_tooltip_text_ep_dyn_ability_sheltering_boughs	The forest provides shelter from the storm.	false
unit_abilities_onscreen_name_ep_dyn_ability_tripleshot	Triple Shot	false
unit_abilities_tooltip_text_3k_dlc06_ability_natures_protection	The land gives protection to those who would offer themselves in its defence.	false
unit_abilities_tooltip_text_3k_dlc06_ability_flying_daggers	These daggers are said never to miss. Not once. Ever.	false
unit_abilities_onscreen_name_3k_dlc06_ability_stomp	Stomp	false
unit_abilities_onscreen_name_3k_main_test2	TEST ATTACK 2	false
unit_abilities_tooltip_text_3k_dlc04_defense_mastery_melee	When the fight is brought to them, they will hold whilst in melee much better than before.	false
unit_abilities_tooltip_text_3k_dlc04_formation_shield_wall_imperial	The unit presents a wall of shields to the enemy - an offensive formation best used to push forward under arrow fire. However the formation cannot be maintained in melee combat.	false
