key	text	tooltip
#Loc;1;text/db/unit_description_short_texts__.loc		
unit_description_short_texts_text_3k_ytr_unit_wood_yellow_turban_spearmen	Protected by leather armour and a small shield, these former bandits brace for impact against cavalry charges.	false
unit_description_short_texts_text_3k_dlc07_unit_wood_northern_ji_infantry_captain	"Let our enemies know that we do not fear, and we do not falter."	false
unit_description_short_texts_text_3k_dlc05_unit_fire_bandit_raiders	These cavalry roll in like storm clouds, and strike with the force of lightning.	false
unit_description_short_texts_text_ep_unit_archers_of_jing	It takes a very steady hand, supreme patience, and expert timing to land a shot as accurately as these bowmen.	false
unit_description_short_texts_text_3k_main_unit_fire_jade_dragons	Hand-picked by the general, these seasoned shock-troops relentlessly batter enemy lines with all the fury of their namesake.	false
unit_description_short_texts_text_ep_unit_dao_swordguard	The dao is an elegant weapon. Simply made, for a simple purpose: death.	false
unit_description_short_texts_text_3k_main_unit_water_crossbowmen	Soldiers armed with long-range crossbows powerful enough to pierce enemy armour and defences.	false
unit_description_short_texts_text_3k_main_unit_water_yi_marksmen	Highly-trained archers outfitted with leather armour and armed with zhibeidao swords to defend against infantry attacks.	false
unit_description_short_texts_text_3k_dlc06_unit_metal_wuling_fighters	Fighting on to the last, unafraid of any enemy, these warriors are the bane of presumptuous heroes.	false
unit_description_short_texts_text_3k_main_unit_wood_black_mountain_outlaws	Fearless bandits unafraid to brace themselves against heavy cavalry and pierce horses’ armour with their long qiang spears.	false
unit_description_short_texts_text_3k_dlc07_unit_wood_quingzhou_spears	To live, for these warriors, is to fight, even though the cause is long past.	false
unit_description_short_texts_text_3k_dlc07_unit_water_ye_vanguard_crossbows	It is often the thud of crossbow bolts into the enemy that signals the onset of battle.	false
unit_description_short_texts_text_3k_main_unit_wood_peasant_band	Leaving behind the fields to swell the ranks, these peasants are armed with long spears to defend against cavalry charges.	false
unit_description_short_texts_text_3k_dlc06_unit_water_hidden_vipers	Foes may survive the blowpipe attack only to fall under the blades of the machetes.	false
unit_description_short_texts_text_3k_dlc04_unit_water_imperial_palace_cavalry	The vast imperial palatial grounds are defended by many warriors and none more fearsome than the sword-wielding cavalry guard.	false
unit_description_short_texts_text_3k_dlc06_unit_water_juggernaut	Sometimes brute strength and relentless force will win the day.	false
unit_description_short_texts_text_3k_ytr_unit_wood_militia_of_virtue	Martial arts training has given these warriors unmatched stamina and made them experts users of the staff for attacking and defending.	false
unit_description_short_texts_text_3k_dlc07_unit_earth_tiger_cubs	Though not yet as potent as their elite cousins, the cubs are no less powerful in themselves.	false
unit_description_short_texts_text_3k_main_unit_water_archer_militia	Archers equipped with composite bows for long-range harassment of enemies and basic zhibeidao swords for close combat defence.	false
unit_description_short_texts_text_3k_dlc05_unit_wood_tiger_guard	All will fight in the defence of their leader, but others will fight all the more fiercely to avenge them.	false
unit_description_short_texts_text_3k_dlc04_unit_wood_ji_defectors	The oppressed, although coerced into service by the Han dynasty, will gladly turn their weapons back on their former masters.	false
