key	text	tooltip
#Loc;1;text/db/unit_description_strengths_weaknesses_texts__.loc		
unit_description_strengths_weaknesses_texts_text_3k_main_unit_metal_fists_of_the_bandit_queen	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc06_unit_water_sanjiang_poison_darts	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc04_unit_metal_bringers_of_peace	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc04_unit_fire_destroyer_of_traitors	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc04_unit_water_poachers	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc04_unit_fire_mounted_lancer_defectors	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_ytr_unit_earth_virtuous_noblemen	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc04_unit_wood_spearmen_gang	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc05_unit_metal_bandit_warriors	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_earth_jian_swordguard_cavalry	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc04_unit_earth_jaizi_raiders	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_earth_jian_cavalry_captain	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc06_unit_water_juggernaut	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc06_unit_wood_nanzhong_spearmen	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_wood_black_mountain_outlaws	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc06_unit_metal_ravine_warriors	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_wood_infantry_of_jing	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_ytr_unit_water_men_of_the_forest	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc06_unit_metal_wugou_axe_throwers	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_water_onyx_dragons	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_metal_hidden_axes	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_fire_mercenary_cavalry	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc04_unit_metal_exemplars_of_the_tao	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_ytr_unit_wood_militia_of_virtue	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_ytr_unit_metal_peoples_warband	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_ytr_unit_metal_scholar_warriors	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_ytr_unit_fire_white_wave_horsemen	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_wood_peasant_band	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_metal_axe_band	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_main_unit_earth_sabre_cavalry	Not Used	false
unit_description_strengths_weaknesses_texts_text_3k_dlc06_unit_water_wuling_slingers	Not Used	false
