key	text	tooltip
#Loc;1;text/db/unit_stat_localisations__.loc		
unit_stat_localisations_onscreen_name_stat_effective_melee_health	Melee Toughness	false
unit_stat_localisations_onscreen_name_stat_spotting_forest	Forest Spotting	false
unit_stat_localisations_onscreen_name_scalar_splash_attack_power	Splash Attack Power	false
unit_stat_localisations_onscreen_name_scalar_missile_damage_ap	Ranged Damage - Armour-piercing	false
unit_stat_localisations_abbreviated_name_stat_num_uses_additional	NUM A	false
unit_stat_localisations_abbreviated_name_stat_bonus_vs_large	BVL	false
unit_stat_localisations_tooltip_text_stat_missile_block_chance	[[b]]RANGED BLOCK CHANCE[[/b]]\\n\\n Increases the chance of evading damage from non-artillery projectiles.	false
unit_stat_localisations_tooltip_text_stat_spotting_forest	n/a	false
unit_stat_localisations_abbreviated_name_stat_melee_attack_interval	ROA	false
unit_stat_localisations_abbreviated_name_scalar_miscast_chance	MIS	false
unit_stat_localisations_tooltip_text_stat_charge_bonus	[[b]]MELEE CHARGE BONUS[[/b]]\\n\\n Increases a unit's hit chance and damage when charging. Fades over time after the initial charge.	false
unit_stat_localisations_abbreviated_name_scalar_missile_explosion_damage_ap	RE-AP	false
unit_stat_localisations_onscreen_name_stat_missile_block_chance	Ranged Block Chance	false
unit_stat_localisations_onscreen_name_stat_ship_move_speed	Ship Speed	false
unit_stat_localisations_tooltip_text_stat_morale	[[b]]MORALE[[/b]]\\n\\n Determines this unit's resilience to routing. When the general is dead, units cannot rally.	false
unit_stat_localisations_onscreen_name_scalar_missile_explosion_damage_ap	Ranged Explosion - Armour-piercing	false
unit_stat_localisations_tooltip_text_stat_armour_base	[[b]]ARMOUR - BASE[[/b]]\\n\\n Decreases standard melee, ranged and explosion damages. Doesn't help against armour-piercing damage.	false
unit_stat_localisations_abbreviated_name_stat_resistance_physical	PR	false
unit_stat_localisations_abbreviated_name_scalar_entity_acceleration_modifier	ACC	false
unit_stat_localisations_abbreviated_name_stat_melee_attack	HC	false
unit_stat_localisations_tooltip_text_stat_bonus_vs_large	n/a	false
unit_stat_localisations_abbreviated_name_stat_ship_move_speed	SS	false
unit_stat_localisations_onscreen_name_scalar_speed	Speed	false
unit_stat_localisations_onscreen_name_stat_bonus_vs_cavalry	Bonus vs. Cavalry	false
unit_stat_localisations_onscreen_name_stat_accuracy	Accuracy	false
unit_stat_localisations_abbreviated_name_stat_effective_ranged_health	RT	false
unit_stat_localisations_tooltip_text_stat_weapon_damage_over_time	[[b]]MELEE POWER[[/b]]\\n\\n Determines how much damage a unit can cause in melee.\\n\\n Defined by:\\n  - Melee Attack Rate\\n  - Melee Damage - Base\\n  - Melee Damage - Armour-piercing\\n  - Melee Charge Bonus	false
unit_stat_localisations_tooltip_text_stat_effective_melee_health	[[b]]MELEE TOUGHNESS[[/b]]\\n\\n Determines how resistant a unit is against melee attacks.\\n\\n Defined by:\\n - Hit Points\\n - Armour - Base\\n - Armour - Shield\\n - Melee Evasion - Base\\n - Melee Evasion - Shield	false
unit_stat_localisations_abbreviated_name_stat_health	Health	false
unit_stat_localisations_onscreen_name_scalar_entity_acceleration_modifier	Acceleration	false
unit_stat_localisations_tooltip_text_stat_weakness_flame	Flame weakness	false
unit_stat_localisations_onscreen_name_scalar_missile_damage_base	Ranged Damage - Base	false
unit_stat_localisations_tooltip_text_stat_resistance_all	Damage resistance 	false
unit_stat_localisations_abbreviated_name_stat_mana	MANA	false
unit_stat_localisations_abbreviated_name_stat_melee_defence_base	ME-B	false
unit_stat_localisations_tooltip_text_stat_num_melee_attack_over_time	[[b]]MELEE ATTACK RATE[[/b]]\\n\\n Determines how many times a unit can attack over a minute.	false
unit_stat_localisations_abbreviated_name_stat_num_melee_attack_over_time	MAR	false
unit_stat_localisations_abbreviated_name_stat_spotting_range_min_modifier	MSR	false
unit_stat_localisations_tooltip_text_stat_ship_health	n/a	false
unit_stat_localisations_onscreen_name_stat_resistance_missile	Ranged Resistance	false
unit_stat_localisations_tooltip_text_stat_bonus_vs_infantry	n/a	false
unit_stat_localisations_abbreviated_name_stat_melee_damage_ap	MD-AP	false
unit_stat_localisations_abbreviated_name_scalar_bracing	CR	false
