File,eng,zh-cn,zh-tw
!hv_TEXT_system.loc.tsv,Mud,泥地,泥地
!hv_TEXT_system.loc.tsv,Mud makes the movement and combat of all units inefficient.,泥地会使所有部队的移动与战斗效率低下。,泥地會使所有部隊的移動與戰鬥效率低下。
!hv_TEXT_system.loc.tsv,"Once a governor faction leader has earned enough prestige to be named king, the three strongest warlords will proclaim themselves emperor, which will make their capitals seats of great power.\\n\\n[[b]]Victory Condition[[/b]]\\nUnite China by bringing all emperor seats under your control.\\n\\n[[b]]Victory Types[[/b]]\\nStandard: become emperor and eliminate all other emperors by taking their seats of power.\\n\\nCo-operative: combine your strength by signing a shared mandate diplomatic deal.\\n\\nHead-to-Head: destroy the other player, or compete with one another to be the first to meet the victory conditions.",一旦某个朝廷派系有了足够的声望成王，那么最强的三家诸侯就会自行称帝，他们的都城就会成为皇位的所在。\\n\\n[[b]]胜利条件[[/b]]\\n控制所有的皇位，从而统一中国。\\n\\n[[b]]胜利类型[[/b]]\\n标准：成为皇帝并通过夺取皇位消灭其他的所有皇帝\\n\\n合作：签署共承天命协定\\n\\n对抗：消灭其他的玩家，或第一个达到胜利条件,一旦有一支太守勢力的領袖獲得足以稱王的威望，群雄中最強的三家便會稱帝，使其都城成為握有龐大權力的皇城。\\n\\n[[b]]勝利條件[[/b]]\\n奪佔所有皇城，即能一統天下。\\n\\n[[b]]勝利類型：[[/b]]\\n標準：稱帝，並透過奪取其他稱帝者的皇城，消滅其他所有稱帝者。\\n\\n合作：可以簽訂同享天命的外交條約來集結力量。\\n\\n對決戰役：消滅對方玩家，或是與其他玩家角逐，成為第一位達成勝利條件的玩家。
!hv_TEXT_system.loc.tsv,"Once a governor faction leader has earned enough prestige to be named king, the three strongest warlords will proclaim themselves emperor, which will make their capitals seats of great power.\\n\\n[[b]]Victory condition[[/b]]: Unite China by bringing all emperor seats under your control and by owning {{tr:victory_condition_regions_count}} {{tr:map_regions}}.",一旦某个朝廷派系有了足够的声望成王，那么最强的三家诸侯就会自行称帝，他们的都城就会成为皇位的所在。\\n\\n[[b]]胜利条件[[/b]]：控制所有的皇位并拥有{{tr:victory_condition_regions_count}}个{{tr:map_regions}}，从而统一天下。,一旦有一支太守勢力的領袖獲得足以稱王的威望，群雄中最強的三家便會稱帝，使其都城成為握有龐大權力的皇城。太守勢力無法自行稱帝，但可以透過佔領這些皇城來證明自己的影響力，進而登基為帝。\\n\\n[[b]]勝利條件[[/b]]：奪佔所有皇城並擁有{{tr:victory_condition_regions_count}}個{{tr:map_regions}}，即能一統天下。
!hv_TEXT_system.loc.tsv,The first three warlords to be named king will proclaim themselves emperor.,最强的三家诸侯会自行称帝。,群雄中最強的三家會稱帝。
!hv_TEXT_system.loc.tsv,Unit List,部队列表,單位清單
!hv_TEXT_system.loc.tsv,Win a battle where one of your generals personally kills 300 or more soldiers,赢得一场你的一名将领亲自杀敌三百人的战斗,贏得一場您的一名將領親自殺敵三百人的戰鬥
!hv_TEXT_system.loc.tsv,You do not have the prerequisite: %S.,你没有所需的：%S。,您沒有所需的：%S。
!hv_TEXT_system.loc.tsv,[[col:green]]Immune to Fear and Terror[[/col]],[[col:green]]免疫惊吓和惊骇[[/col]],[[col:green]]驚嚇和驚駭免疫[[/col]]
[01]__MTU_generals__Fire_vanguard.loc.tsv,Commandant,别部司马,都尉
[01]__MTU_generals__Water_strategist.loc.tsv,Advisor,军师,謀士
[01]__MTU_generals__Water_strategist.loc.tsv,Warlord,诸侯,諸侯
[01]__MTU_generals__Wood_champion.loc.tsv,Elite General,良将,良將
[05]__MTU_sys__Frontend_ui_description.loc.tsv,"[[b]]Wu Anguo[[/b]]\\nOne Armed Bear\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Although he lost one hand, he was one of the few who survived from duel with Lubu.[[/col]][[/i]]",[[b]]武安国[[/b]]\\n独臂虎熊\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]虽然武安国痛失一臂，但却是少数几个与吕布决斗后幸存下来的人之一。[[/col]][[/i]],[[b]]武安国[[/b]]\\n独臂虎熊\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]雖然武安國痛失一臂，但卻是少數幾個與呂布決鬥後倖存下來的人之一。[[/col]][[/i]]
[05]__MTU_sys__Names.loc.tsv,Anguo,安国,安國
[05]__MTU_sys__Names.loc.tsv,安國,安国,安國
[dummy]__MTU_dummy.loc.tsv,Diao Chan's beauty is enough to destroy a country in a moment.,貂蝉之美足以覆国。,貂蟬之美足以覆國。
[dummy]__MTU_dummy.loc.tsv,Femme Fatale,倾国美人,傾國美人
[dummy]__MTU_dummy.loc.tsv,Forgive him,不計前嫌,不计前嫌
[dummy]__MTU_dummy.loc.tsv,"Instead of sending Xun Yu the ""gift"", you chose to admit your wrong. With him, you swore to take the right path.",你听从荀彧的谏言，立志辅佐汉室。,你聽從荀彧的諫言，立志輔佐漢室。
[dummy]__MTU_dummy.loc.tsv,Lady,夫人,夫人
[dummy]__MTU_dummy.loc.tsv,Li Jue and Guo Si came to the capital with a huge army. They want avenge for their fallen master. The only thing they want is the neck of the killer.,李傕、郭汜带着大军杀到长安，要为死去的主公报仇，不取仇家的首级誓不罢休。,李傕、郭汜帶著大軍殺到長安，要為死去的主公報仇，不取仇家的首級誓言不罷休。
[dummy]__MTU_dummy.loc.tsv,Queen,女杰,女王
[dummy]__MTU_dummy.loc.tsv,Rebellion of Li Jue and Guo Si,李郭之乱,李郭之亂
[dummy]__MTU_dummy.loc.tsv,Refuse their demands,拒不交人,拒不交人
[dummy]__MTU_dummy.loc.tsv,"Send The ""Gift""",送他一个空食盒,送他一個空食盒
[dummy]__MTU_dummy.loc.tsv,Send Wang Yun to them,交出王允,交出王允
