eng,zh-cn,zh-tw
Assault Cavalry,突击骑兵,突擊騎兵
Assaults,冲锋手,衝鋒兵
Axe Defectors,变节斧手,叛逃斧兵
Axemen,斧手,斧兵
Barn Swallows,燕子兵,燕子兵
Blood Seekers,嗜血兵,嗜血兵
Blue Turbans,青巾兵,青巾兵
Bomb Slingers,爆弹兵,爆彈兵
Buqu of the Left General,左将军部曲,左將軍部曲
Caltrop Throwers,蒺藜手,蒺藜兵
Captain of Yuan House,袁氏伯长,袁氏校尉
Captain,伯长,校尉
Cavalry Defectors,变节骑兵,叛逃騎兵
Cavalry,骑兵,騎兵
Children of the forest,森林之子,森林之子
Crossbow Defectors,变节弩手,叛逃弩兵
Crossbow Defenders,弩卫,弩衛
Crossbow Peacekeepers,泰平弩卫,衛平弩兵
Cunning Monkeys,狡猴兵,狡猴兵
Dragon units,五龙军,五龍軍
Dragonlings,少龙兵,少龍兵
Drifting Warmongers,漂流战贩,漂流戰販
Elite Guards of the Eight Talents,八才剑卫,八才劍衛
Fanatics,狂信徒,狂信徒
Fire Fiends,火煞兵,火煞兵
Freemen,自由之民,鄉野游勇
Goshawk Cavalry,苍鹰突骑,蒼鷹突騎
Guardsmen,卫士,衛兵
Halberd Peacekeepers,泰平戟卫,衛平戟兵
Hand-Ji Infantry,手戟兵,手戟兵
Handmaid Guards,护卫侍女,護衛侍女
Heroic Outlaws,英勇匪徒,英勇匪徒
Hidden Assaults,隐秘突击兵,隱秘突擊兵
Hidden Snakes,隐蛇兵,隱蛇兵
Hidden Spear Assaults,隐枪突击兵,隱槍突擊兵
Household Ji Guards of Yuan,袁氏家族戟卫,袁氏家族戟衛
Imperial Sword Guards,禁军佩剑守卫,禁軍劍衛
Iron Walls,铁壁兵,鐵壁兵
Jaizi Raiders,甲子劫匪,甲子劫匪
Javelineer,投枪手,擲鋋兵
Javelineers,投枪手,擲鋋兵
Ji Cavalry,戟骑兵,戟騎兵
Ji Guards of the Eight Talents,八才戟卫,八才戟衛
Jianan Elite Vigilante,建安精锐巡守,建安精銳巡守
Jie Fan Infantry,解烦兵,解煩兵
Lancer Cataphracts,长枪铁骑,長槍鐵甲騎兵
Lancer Cavalry,戟骑兵,槍騎
Long Axe Infantry,长斧步兵,長斧步兵
Long Axemen,长斧手,長斧兵
Long Spear Defectors,变节长矛兵,叛逃長槍兵
Long Spearmen,长矛兵,長槍兵
Marksmen,射声士,射手
Men of Thunder,雷霆军,雷霆軍
Mounted Rangers,游骑兵,游騎兵
Mounted Warriors,骑乘勇士,騎馬戰士
Nomad Gang,游牧马贼,游牧馬賊
Oath Fellows,结义弟兄,結義弟兄
Outlaws of Black Mountain,黑山匪徒,黑山匪徒
Palace Guards,宫廷侍卫,宮廷侍衛
Porcupine Crossbowmen,豪彘弩兵,豪彘弩兵
Raiders,劫匪,劫匪
Rangers,游击兵,游擊兵
Remnants,余党,殘黨
Ren Xia,任侠,任俠
Repeating Crossbow Defenders,连弩卫,連弩衛
Riders,骑手,騎兵
Royal Guard Cavalry,羽林骑,羽林騎
Scholar Warriors,学霸勇士,學霸勇士
Shield Bearers,持盾者,持盾者
Spear Defenders,持矛卫士,槍衛
Spear Gang,矛兵团,槍兵團
Spearmen,矛兵,長槍兵
Spice Guards,香料护卫,香料護衛
Strays,流浪兵,流浪兵
Swordsmen of Yuan,袁氏剑兵,袁氏劍兵
Swordsmen,剑兵,劍兵
Taishan Batters,泰山连击兵,泰山連擊兵
Taishan Phantoms,泰山魅影兵,泰山魅影兵
Taishan Poison Wind Archers,泰山毒风弓兵,泰山毒風弓兵
Tamers,驯兽师,馴獸師
Two Blades,双刃兵,雙刃兵
Vanguards,先锋,先鋒
Veterans,宿卫,老兵
Virtous Noblemen,名门贤士,名門賢士
Wandering Artisans,游方艺匠,游方藝匠
Warrior Monks,武僧,武僧
Warriors,勇士,戰士
White Feathers,白毦兵,白毦兵
Ye Overwatch Vanguards,邺城守望先锋,鄴城守望先鋒
Ye Shock Vanguards,邺城突击先锋,鄴城突擊先鋒
You Shi,游师骑兵,游師騎兵
Zhong Royal Guard Cavalry,仲氏羽林骑,仲氏羽林騎
