eng,zh-cn,zh-tw
"Hidden Sankes, Rapid Tigers",隐蛇兵与虎捷军,隱蛇兵與虎賁軍
Bandit,山贼,盜賊
Bandits,山贼,盜賊
Black Mountain Bandits,黑山匪徒,黑山匪徒
Buqu,部曲,部曲
Captain,伯长,校尉
Chen,陈国,陳國
Combined Weapons Infantry,复合武器步兵,複合武器步兵
Common,普通,普通
Danyang,丹阳,丹陽
Dongzhoubing,东洲,東州兵
Dual Wield Hafted Weapon Cavalry,双斧骑兵,雙斧騎兵
Dual Wield Hafted Weapon Infantry,双斧步兵,雙斧步兵
Dual Wield Hand-Ji Infantry,双戟步兵,雙戟步兵
Dual Wield Sword Cavalry,双剑骑兵,雙劍騎兵
Dual Wield Sword Infantry,双剑步兵,雙劍步兵
Elite,精锐,精銳
Enforcer Troop,捕掾队,捕掾隊
Enforcer troops,捕掾队,捕掾隊
Enforcer,捕掾队,捕掾隊
Frontier,北疆,北疆
Fury of Beihai,北海之怒,北海之怒
Guanxibing,关西,關西
Gunpowder Infantry,火器步兵,火器步兵
Hafted Weapon Cavalry,持斧骑兵,持斧騎兵
Hafted Weapon Infantry,持斧步兵,持斧步兵
Han Provincial,州属,州屬
Hand-Ji Infantry,手戟步兵,手戟步兵
Hebei,河北,河北
Hidden Snakes and Rapid Tigers,隐蛇兵与虎捷军,隱蛇兵與虎賁軍
House Servant and Local Noble,仆从与豪强,家僕及豪族
House Servant,家仆,家僕
Ironfist Cavalry,铁拳骑兵,鐵拳騎兵
Ironfist,铁拳,鐵拳
Javelin Throwers,投枪手,擲鋋兵
Ji Cavalry,持戟骑兵,持戟騎兵
Ji Infantry,持戟步兵,持戟步兵
Jianan Vigilante,建安巡守,建安巡守
Jingchu,荆楚,荊楚
Jiuzhen,九真,九真
Juggernaut,木兽,火獸車
Local Noble,士族,士族
Long Spear Infantry,长矛骑兵,長槍步兵
Long Sword Infantry,长剑步兵,長劍步兵
Mercenary,雇佣,僱傭
Militia,民兵,義勇
Mob,暴民,暴民
Northern Army Buqu,北军部曲,北軍部曲
Northern Army Elite,北军精锐,北軍精銳
Mounted Archer,骑射手,弓騎兵
Nanman,南蛮,南蠻
Nomad,游牧,游牧
Northern,北军,北軍
Peasant,农人,農民
Qiang,羌族,羌族
Qingzhou,青州,青州
Royal Guard,禁卫,禁衛
Shanyue,山越,山越
Sogd,粟特,粟特
Southern Foreign,南方外族,南方外族
Staff Infantry,持杖步兵,持杖步兵
Tiger & Leopard,虎豹,虎豹
Veteran,宿卫,老練
White Tiger,白虎,白虎
Wuhuan,乌桓,烏桓
Xianbei,鲜卑,鮮卑
Xianchenying,陷阵营,陷陣營
Xiliang Army,西凉军,西涼軍
Xiliang Army Buqu,西凉军部曲,西涼軍部曲
Xiliang Army Elite,西凉军精锐,西涼軍精銳
Xiliang,西凉,西涼
Xiongnu,匈奴,匈奴
Yellow Turbans,黄巾军,黃巾軍
Yuan Rong,元戎,元戎
Yue,山越,越族
all cavalry,所有骑兵,所有騎兵
all characters,所有人物,所有人物
black mountain bandit,黑山匪徒,黑山匪徒
captain retinues,伯长部曲,校尉部曲
cavalry,骑兵,騎兵
characters,人物,人物
heavy infantry,重装步兵,重型步兵
infantry,步兵,步兵
light Infantry,轻装步兵,輕型步兵
melee cavalry,近战骑兵,近戰騎兵
melee infantry,近战步兵,近戰步兵
polearm infantry,长柄武器步兵,長兵器步兵
ranged,远程,遠程
shock cavalry,冲击骑兵,突擊騎兵
spear,矛兵,槍兵
the Northern Army,北军,北軍
the northern army,北军,北軍
