Key,Text,Tooltip,File
building_chains_chain_tooltip_hv_subtown_confucius,Confucius Institute,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_danyang,Danyang Troop Post,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison,Vigilante ,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]Local Noble's Estate[[/col]],True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_han_small_farm,Supply Management,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman,Hunting Area,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_qiang,Qiang Tribe,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_shanyue,Shanyue Tribe,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_wuhuan,Wuhuan Tribe,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_xiongnu,Xiongnu Tribe,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_ytr,Yellow Turban Cult,False,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_confucius,Confucius Institute,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_danyang,Danyang Troop Post,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison,Vigilante ,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,Local Noble's Estate,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_han_small_farm,Supply Management,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman,Hunting Area,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_qiang,Qiang Tribe,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_shanyue,Shanyue Tribe,True,hv_TEXT_building.loc.tsv
