,Key,Short Key,Text,Tooltip
0,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,,附加发展,True
1,building_description_texts_long_description_hv_subtown_control,,长描述,True
2,building_short_description_texts_short_description_hv_subtown_control,,短描述,True
3,building_culture_variants_name_hv_subtown_qiang_00,,羌人散户,True
4,building_culture_variants_name_hv_subtown_qiang_01,,羌人聚落,True
5,building_culture_variants_name_hv_subtown_qiang_02,,羌人村庄,True
6,building_culture_variants_name_hv_subtown_qiang_03,,羌人集镇,True
7,building_culture_variants_name_hv_subtown_qiang_control_01,,部落控制,True
8,building_chains_chain_tooltip_hv_subtown_qiang,,羌人部落,True
9,building_chains_encyclopedia_name_hv_subtown_qiang,,羌人部落,True
10,building_chains_override_description_hv_subtown_qiang,,这些部落不愿归化，但愿意提供军事援助。,True
11,building_description_texts_long_description_hv_subtown_qiang_01,,长描述,True
12,building_description_texts_long_description_hv_subtown_qiang_02,,长描述,True
13,building_description_texts_long_description_hv_subtown_qiang_03,,长描述,True
14,building_short_description_texts_short_description_hv_subtown_qiang_01,,短描述,True
15,building_short_description_texts_short_description_hv_subtown_qiang_02,,短描述,True
16,building_short_description_texts_short_description_hv_subtown_qiang_03,,短描述,True
17,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,,羌人部落,True
18,building_ui_groups_onscreen_name_hv_ui_building_group_qiang,,游牧民族,True
19,building_culture_variants_name_hv_subtown_wuhuan_00,,乌桓散户,True
20,building_culture_variants_name_hv_subtown_wuhuan_01,,乌桓聚落,True
21,building_culture_variants_name_hv_subtown_wuhuan_02,,乌桓村庄,True
22,building_culture_variants_name_hv_subtown_wuhuan_03,,乌桓集镇,True
23,building_culture_variants_name_hv_subtown_wuhuan_control_01,,部落控制,True
24,building_chains_chain_tooltip_hv_subtown_wuhuan,,乌桓部落,True
25,building_chains_encyclopedia_name_hv_subtown_wuhuan,,乌桓部落,True
26,building_chains_override_description_hv_subtown_wuhuan,,这些部落不愿归化，但愿意提供军事援助。,True
27,building_description_texts_long_description_hv_subtown_wuhuan_01,,长描述,True
28,building_description_texts_long_description_hv_subtown_wuhuan_02,,长描述,True
29,building_description_texts_long_description_hv_subtown_wuhuan_03,,长描述,True
30,building_short_description_texts_short_description_hv_subtown_wuhuan_01,,短描述,True
31,building_short_description_texts_short_description_hv_subtown_wuhuan_02,,短描述,True
32,building_short_description_texts_short_description_hv_subtown_wuhuan_03,,短描述,True
33,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,,乌桓部落,True
34,building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,,游牧民族,True
35,building_culture_variants_name_hv_subtown_xiongnu_00,,匈奴散户,True
36,building_culture_variants_name_hv_subtown_xiongnu_01,,匈奴聚落,True
37,building_culture_variants_name_hv_subtown_xiongnu_02,,匈奴村庄,True
38,building_culture_variants_name_hv_subtown_xiongnu_03,,匈奴集镇,True
39,building_culture_variants_name_hv_subtown_xiongnu_control_01,,部落控制,True
40,building_chains_chain_tooltip_hv_subtown_xiongnu,,匈奴部落,True
41,building_chains_encyclopedia_name_hv_subtown_xiongnu,,匈奴部落,True
42,building_chains_override_description_hv_subtown_xiongnu,,这些部落不愿归化，但愿意提供军事援助。,True
43,building_description_texts_long_description_hv_subtown_xiongnu_01,,长描述,True
