,Key,Short Key,Text,Tooltip,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,,附加發展,True,,,
1,building_description_texts_long_description_hv_subtown_control,,長描述,True,,,
2,building_short_description_texts_short_description_hv_subtown_control,,短描述,True,,,
3,building_culture_variants_name_hv_subtown_qiang_00,,零散羌人區,True,,,
4,building_culture_variants_name_hv_subtown_qiang_01,,羌人部落營,True,,,
5,building_culture_variants_name_hv_subtown_qiang_02,,羌人部落群,True,,,
6,building_culture_variants_name_hv_subtown_qiang_03,,羌人部落鎮,True,,,
7,building_culture_variants_name_hv_subtown_qiang_control_01,,部落控制,True,,,
8,building_chains_chain_tooltip_hv_subtown_qiang,,羌人部落,True,,,
9,building_chains_encyclopedia_name_hv_subtown_qiang,,羌人部落,True,,,
10,building_chains_override_description_hv_subtown_qiang,,這些部落不願歸化，但願意提供軍事援助。,True,,,
11,building_description_texts_long_description_hv_subtown_qiang_01,,長描述,True,,,
12,building_description_texts_long_description_hv_subtown_qiang_02,,長描述,True,,,
13,building_description_texts_long_description_hv_subtown_qiang_03,,長描述,True,,,
14,building_short_description_texts_short_description_hv_subtown_qiang_01,,短描述,True,,,
15,building_short_description_texts_short_description_hv_subtown_qiang_02,,短描述,True,,,
16,building_short_description_texts_short_description_hv_subtown_qiang_03,,短描述,True,,,
17,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,,羌人部落,True,,,
18,building_ui_groups_onscreen_name_hv_ui_building_group_qiang,,遊牧民族,True,,,
19,building_culture_variants_name_hv_subtown_wuhuan_00,,零散烏桓區,True,,,
20,building_culture_variants_name_hv_subtown_wuhuan_01,,烏桓部落營,True,,,
21,building_culture_variants_name_hv_subtown_wuhuan_02,,烏桓部落群,True,,,
22,building_culture_variants_name_hv_subtown_wuhuan_03,,烏桓部落鎮,True,,,
23,building_culture_variants_name_hv_subtown_wuhuan_control_01,,部落控制,True,,,
24,building_chains_chain_tooltip_hv_subtown_wuhuan,,烏桓部落,True,,,
25,building_chains_encyclopedia_name_hv_subtown_wuhuan,,烏桓部落,True,,,
26,building_chains_override_description_hv_subtown_wuhuan,,這些部落不願歸化，但願意提供軍事援助。,True,,,
27,building_description_texts_long_description_hv_subtown_wuhuan_01,,長描述,True,,,
28,building_description_texts_long_description_hv_subtown_wuhuan_02,,長描述,True,,,
29,building_description_texts_long_description_hv_subtown_wuhuan_03,,長描述,True,,,
30,building_short_description_texts_short_description_hv_subtown_wuhuan_01,,短描述,True,,,
31,building_short_description_texts_short_description_hv_subtown_wuhuan_02,,短描述,True,,,
32,building_short_description_texts_short_description_hv_subtown_wuhuan_03,,短描述,True,,,
33,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,,烏桓部落,True,,,
34,building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,,遊牧民族,True,,,
35,building_culture_variants_name_hv_subtown_xiongnu_00,,零散匈奴區,True,,,
36,building_culture_variants_name_hv_subtown_xiongnu_01,,匈奴部落營,True,,,
37,building_culture_variants_name_hv_subtown_xiongnu_02,,匈奴部落群,True,,,
38,building_culture_variants_name_hv_subtown_xiongnu_03,,匈奴部落鎮,True,,,
39,building_culture_variants_name_hv_subtown_xiongnu_control_01,,部落控制,True,,,
40,building_chains_chain_tooltip_hv_subtown_xiongnu,,匈奴部落,True,,,
41,building_chains_encyclopedia_name_hv_subtown_xiongnu,,匈奴部落,True,,,
42,building_chains_override_description_hv_subtown_xiongnu,,這些部落不願歸化，但願意提供軍事援助。,True,,,
43,building_description_texts_long_description_hv_subtown_xiongnu_01,,長描述,True,,,
