Key,Text,Tooltip,English,Override by key,Mapped by text,Vanilla,Exact,Eng-short,Source,Short Key,File
uied_component_texts_localised_string_header_label_NewState_Text_16002f,自定義戰鬥（WIP）,False,CUSTOM BATTLE (WIP),,自定義戰鬥（WIP）,,,,Mapped by text,uied_component_texts_localised_string_header_label_NewState_Text,!hv_TEXT_system.loc
campaign_localised_strings_string_unit_locked_ceo,您沒有所需的：%S。,False,You do not have the prerequisite: %S.,,您沒有所需的：%S。,,,,Mapped by text,campaign_localised_strings_string_unit_locked,!hv_TEXT_system.loc
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_01,贏得一場您的一名將領親自殺敵三百人的戰鬥,False,Win a battle where one of your generals personally kills 300 or more soldiers,,贏得一場您的一名將領親自殺敵三百人的戰鬥,,,,Mapped by text,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon,!hv_TEXT_system.loc
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked_00,贏得一場您的一名將領親自殺敵三百人的戰鬥,False,Win a battle where one of your generals personally kills 300 or more soldiers,,贏得一場您的一名將領親自殺敵三百人的戰鬥,,,,Mapped by text,ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked,!hv_TEXT_system.loc
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,南蠻填地開發,False,Nanman Infill Development ,,南蠻填地開發,,,,Mapped by text,building_ui_groups_onscreen_name_hv_ui_building_group,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,填地開發,True,Infill Development ,,填地開發,,附加發展,,Mapped by text,building_ui_groups_onscreen_name_hv_ui_building_group_subtown,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,孔子學院,True,Confucius Institute,,孔子學院,,,,Mapped by text,building_ui_groups_onscreen_name_hv_ui_building_group_subtown,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,劫盜,True,Banditry,,,劫盜,,,Vanilla,building_ui_groups_onscreen_name_hv_ui_building_group_subtown,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_00,零散羌人區,True,Scattered Qiang Community,,,,零散羌人區,,Exact,building_culture_variants_name_hv_subtown_qiang,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_01,羌人部落營,True,Qiang Tribal Camp,,,,羌人部落營,,Exact,building_culture_variants_name_hv_subtown_qiang,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_qiang_02,羌人部落群,True,Qiang Tribal Herd,,,,羌人部落群,,Exact,building_culture_variants_name_hv_subtown_qiang,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落,True,Qiang Tribe,,,,羌人部落,,Exact,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落,True,Qiang Tribe,,,,羌人部落,,Exact,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_qiang,這些部落不願歸化，但願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,這些部落不願歸化，但願意提供軍事援助。,,Exact,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_qiang_01,長描述,True,qiang_01_long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_qiang,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_qiang_02,長描述,True,qiang_02_long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_qiang,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_qiang_01,短描述,True,qiang_01_short_description,,,,短描述,,Exact,building_short_description_texts_short_description_hv_subtown_qiang,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_qiang_02,短描述,True,qiang_02_short_description,,,,短描述,,Exact,building_short_description_texts_short_description_hv_subtown_qiang,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,羌人部落,True,Qiang Tribe,,,,羌人部落,,Exact,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,遊牧民族,True,Nomad,,,,遊牧民族,,Exact,building_ui_groups_onscreen_name_hv_ui_building_group,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_00,零散烏桓區,True,Scattered Wuhuan Community,,,,零散烏桓區,,Exact,building_culture_variants_name_hv_subtown_wuhuan,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_01,烏桓部落營,True,Wuhuan Tribal Camp,,,,烏桓部落營,,Exact,building_culture_variants_name_hv_subtown_wuhuan,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_wuhuan_02,烏桓部落群,True,Wuhuan Tribal Herd,,,,烏桓部落群,,Exact,building_culture_variants_name_hv_subtown_wuhuan,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_wuhuan,烏桓部落,True,Wuhuan Tribe,,,,烏桓部落,,Exact,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_wuhuan,烏桓部落,True,Wuhuan Tribe,,,,烏桓部落,,Exact,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_wuhuan,這些部落不願歸化，但願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,這些部落不願歸化，但願意提供軍事援助。,,Exact,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_wuhuan_01,長描述,True,wuhuan_01_long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_wuhuan,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_wuhuan_02,長描述,True,wuhuan_02_long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_wuhuan,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_wuhuan_01,短描述,True,wuhuan_01_short_description,,,,短描述,,Exact,building_short_description_texts_short_description_hv_subtown_wuhuan,hv_TEXT_building.loc
building_short_description_texts_short_description_hv_subtown_wuhuan_02,短描述,True,wuhuan_02_short_description,,,,短描述,,Exact,building_short_description_texts_short_description_hv_subtown_wuhuan,hv_TEXT_building.loc
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,烏桓部落,True,Wuhuan Tribe,,,,烏桓部落,,Exact,building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display,hv_TEXT_building.loc
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,遊牧民族,True,Nomad,,,,遊牧民族,,Exact,building_ui_groups_onscreen_name_hv_ui_building_group,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_00,零散匈奴區,True,Scattered Xiongnu Community,,,,零散匈奴區,,Exact,building_culture_variants_name_hv_subtown_xiongnu,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴部落營,True,Xiongnu Tribal Camp,,,,匈奴部落營,,Exact,building_culture_variants_name_hv_subtown_xiongnu,hv_TEXT_building.loc
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴部落群,True,Xiongnu Tribal Herd,,,,匈奴部落群,,Exact,building_culture_variants_name_hv_subtown_xiongnu,hv_TEXT_building.loc
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落,True,Xiongnu Tribe,,,,匈奴部落,,Exact,building_chains_chain_tooltip_hv_subtown,hv_TEXT_building.loc
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落,True,Xiongnu Tribe,,,,匈奴部落,,Exact,building_chains_encyclopedia_name_hv_subtown,hv_TEXT_building.loc
building_chains_override_description_hv_subtown_xiongnu,這些部落不願歸化，但願意提供軍事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,這些部落不願歸化，但願意提供軍事援助。,,Exact,building_chains_override_description_hv_subtown,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_xiongnu_01,長描述,True,xiongnu_01_long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_xiongnu,hv_TEXT_building.loc
building_description_texts_long_description_hv_subtown_xiongnu_02,長描述,True,xiongnu_02_long_description,,,,長描述,,Exact,building_description_texts_long_description_hv_subtown_xiongnu,hv_TEXT_building.loc
