Key,Text,Tooltip
----ability name----,,False
----skill name----,,False
building_chains_chain_tooltip_hv_subtown_confucius,Confucius Institute,True
building_chains_chain_tooltip_hv_subtown_danyang,Danyang Troop Post,True
building_chains_chain_tooltip_hv_subtown_garrison,地方巡卫军,True
building_chains_chain_tooltip_hv_subtown_nanman,Hunting Area,True
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落,True
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落,True
building_chains_chain_tooltip_hv_subtown_wuhuan,乌桓部落,True
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落,True
building_chains_chain_tooltip_hv_subtown_ytr,Yellow Turban Cult,False
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,地方豪强,True
building_chains_chain_tooltip_hv_subtown_han_small_farm,Supply Management,True
building_chains_chain_tooltip_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True
building_chains_encyclopedia_name_hv_subtown_confucius,Confucius Institute,True
building_chains_encyclopedia_name_hv_subtown_danyang,Danyang Troop Post,True
building_chains_encyclopedia_name_hv_subtown_garrison,地方巡卫军,True
building_chains_encyclopedia_name_hv_subtown_nanman,Hunting Area,True
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落,True
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落,True
building_chains_encyclopedia_name_hv_subtown_wuhuan,乌桓部落,True
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落,True
building_chains_encyclopedia_name_hv_subtown_ytr,Yellow Turban Cult,False
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,地方豪强,True
building_chains_encyclopedia_name_hv_subtown_han_small_farm,Supply Management,True
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True
building_chains_override_description_hv_subtown_confucius,A place where great teachers and passionate students gather.,True
building_chains_override_description_hv_subtown_danyang,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,True
building_chains_override_description_hv_subtown_garrison,地方巡卫军建筑序列描述,True
building_chains_override_description_hv_subtown_nanman,Tribal hunters can provide us with additional food.,True
building_chains_override_description_hv_subtown_qiang,这些部落不愿归化，但愿意提供军事援助。,True
building_chains_override_description_hv_subtown_shanyue,这些部落不愿归化，但愿意提供军事援助。,True
building_chains_override_description_hv_subtown_wuhuan,这些部落不愿归化，但愿意提供军事援助。,True
building_chains_override_description_hv_subtown_xiongnu,这些部落不愿归化，但愿意提供军事援助。,True
building_chains_override_description_hv_subtown_ytr,要开始一段新的征途，人们需要先熟悉路径。,False
building_chains_override_description_hv_subtown_garrison_sun_jian,地方豪强建筑序列描述,True
building_chains_override_description_hv_subtown_han_small_farm,Manage local products more thoroughly and convert wasted materials into stockpiles.,True
building_chains_override_description_hv_subtown_nanman_outpost,A place to trade with the natives.,True
building_culture_variants_name_hv_subtown_confucius_01,Confucius Institute,True
building_culture_variants_name_hv_subtown_danyang_01,Danyang Troop Barrack,True
building_culture_variants_name_hv_subtown_danyang_02,Danyang Troop Encampment,True
building_culture_variants_name_hv_subtown_garrison_01,重门军哨站,True
building_culture_variants_name_hv_subtown_garrison_02,重门军营地,True
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,地主庭院,True
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,巨贾庄园,True
building_culture_variants_name_hv_subtown_nanman_outpost_01,Nanman-Han Trading Post,True
building_culture_variants_name_hv_subtown_nanman_shikar_01,Hunting Area,True
building_culture_variants_name_hv_subtown_qiang_00,羌人散户,True
building_culture_variants_name_hv_subtown_qiang_01,羌人聚落,True
building_culture_variants_name_hv_subtown_qiang_02,羌人村庄,True
building_culture_variants_name_hv_subtown_shanyue_00,山越营地,True
building_culture_variants_name_hv_subtown_shanyue_01,山越聚落,True
building_culture_variants_name_hv_subtown_shanyue_02,山越集镇,True
building_culture_variants_name_hv_subtown_small_farm_01,Stockpile Storage ,True
building_culture_variants_name_hv_subtown_small_farm_02,仓廪,True
building_culture_variants_name_hv_subtown_small_farm_03,Large Warehouse,True
building_culture_variants_name_hv_subtown_wuhuan_00,乌桓散户,True
building_culture_variants_name_hv_subtown_wuhuan_01,乌桓聚落,True
building_culture_variants_name_hv_subtown_wuhuan_02,乌桓村庄,True
building_culture_variants_name_hv_subtown_xiongnu_00,匈奴散户,True
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴聚落,True
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴村庄,True
building_culture_variants_name_hv_subtown_yellow_turban_synad_01,Yellow Turban Lodge,False
building_culture_variants_name_hv_subtown_yellow_turban_synad_02,Yellow Turban Hall,False
building_culture_variants_name_hv_subtown_yellow_turban_synad_03,Yellow Turban Synod,False
building_description_texts_long_description_hv_subtown_confucius_01,long_description,True
building_description_texts_long_description_hv_subtown_danyang_01,long_description,True
building_description_texts_long_description_hv_subtown_danyang_02,long_description,True
building_description_texts_long_description_hv_subtown_garrison_01,长描述,True
building_description_texts_long_description_hv_subtown_garrison_02,长描述,True
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,长描述,True
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,长描述,True
building_description_texts_long_description_hv_subtown_garrison_ytr_01,长描述,True
building_description_texts_long_description_hv_subtown_garrison_ytr_02,长描述,True
building_description_texts_long_description_hv_subtown_han_small_farm_01,long_description,True
building_description_texts_long_description_hv_subtown_han_small_farm_02,long_description,True
building_description_texts_long_description_hv_subtown_han_small_farm_03,long_description,True
building_description_texts_long_description_hv_subtown_nanman_outpost_01,long_description,True
building_description_texts_long_description_hv_subtown_nanman_shikar_01,long_description,True
building_description_texts_long_description_hv_subtown_qiang_01,长描述,True
building_description_texts_long_description_hv_subtown_qiang_02,长描述,True
building_description_texts_long_description_hv_subtown_shanyue_01,山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。,True
