Key,Text,Tooltip
----ability name----,,False
----skill name----,,False
building_chains_chain_tooltip_hv_subtown_confucius,Confucius Institute,True
building_chains_chain_tooltip_hv_subtown_danyang,Danyang Troop Post,True
building_chains_chain_tooltip_hv_subtown_garrison,巡守衛隊,True
building_chains_chain_tooltip_hv_subtown_nanman,Hunting Area,True
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落,True
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落,True
building_chains_chain_tooltip_hv_subtown_wuhuan,烏桓部落,True
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落,True
building_chains_chain_tooltip_hv_subtown_ytr,Yellow Turban Cult,False
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,地方豪強,True
building_chains_chain_tooltip_hv_subtown_han_small_farm,Supply Management,True
building_chains_chain_tooltip_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True
building_chains_encyclopedia_name_hv_subtown_confucius,Confucius Institute,True
building_chains_encyclopedia_name_hv_subtown_danyang,Danyang Troop Post,True
building_chains_encyclopedia_name_hv_subtown_garrison,巡守衛隊,True
building_chains_encyclopedia_name_hv_subtown_nanman,Hunting Area,True
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落,True
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落,True
building_chains_encyclopedia_name_hv_subtown_wuhuan,烏桓部落,True
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落,True
building_chains_encyclopedia_name_hv_subtown_ytr,Yellow Turban Cult,False
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,地方豪強,True
building_chains_encyclopedia_name_hv_subtown_han_small_farm,Supply Management,True
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,Nanman-Han Trading Post,True
building_chains_override_description_hv_subtown_confucius,A place where great teachers and passionate students gather.,True
building_chains_override_description_hv_subtown_danyang,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,True
building_chains_override_description_hv_subtown_garrison,巡守衛隊建築序列描述,True
building_chains_override_description_hv_subtown_nanman,Tribal hunters can provide us with additional food.,True
building_chains_override_description_hv_subtown_qiang,這些部落不願歸化，但願意提供軍事援助。,True
building_chains_override_description_hv_subtown_shanyue,這些部落不願歸化，但願意提供軍事援助。,True
building_chains_override_description_hv_subtown_wuhuan,這些部落不願歸化，但願意提供軍事援助。,True
building_chains_override_description_hv_subtown_xiongnu,這些部落不願歸化，但願意提供軍事援助。,True
building_chains_override_description_hv_subtown_ytr,新旅程開始之際，每個人都必須學習新的方法。,False
building_chains_override_description_hv_subtown_garrison_sun_jian,地方豪強建築序列描述,True
building_chains_override_description_hv_subtown_han_small_farm,Manage local products more thoroughly and convert wasted materials into stockpiles.,True
building_chains_override_description_hv_subtown_nanman_outpost,A place to trade with the natives.,True
building_culture_variants_name_hv_subtown_confucius_01,Confucius Institute,True
building_culture_variants_name_hv_subtown_danyang_01,Danyang Troop Barrack,True
building_culture_variants_name_hv_subtown_danyang_02,Danyang Troop Encampment,True
building_culture_variants_name_hv_subtown_garrison_01,巡守衛隊哨站,True
building_culture_variants_name_hv_subtown_garrison_02,巡守衛隊軍營,True
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,地方豪強院,True
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,地方豪強莊,True
building_culture_variants_name_hv_subtown_nanman_outpost_01,Nanman-Han Trading Post,True
building_culture_variants_name_hv_subtown_nanman_shikar_01,Hunting Area,True
building_culture_variants_name_hv_subtown_qiang_00,零散羌人區,True
building_culture_variants_name_hv_subtown_qiang_01,羌人部落營,True
building_culture_variants_name_hv_subtown_qiang_02,羌人部落群,True
building_culture_variants_name_hv_subtown_shanyue_00,零散山越區,True
building_culture_variants_name_hv_subtown_shanyue_01,山越部落群,True
building_culture_variants_name_hv_subtown_shanyue_02,山越部落鎮,True
building_culture_variants_name_hv_subtown_small_farm_01,Stockpile Storage ,True
building_culture_variants_name_hv_subtown_small_farm_02,倉庫,True
building_culture_variants_name_hv_subtown_small_farm_03,Large Warehouse,True
building_culture_variants_name_hv_subtown_wuhuan_00,零散烏桓區,True
building_culture_variants_name_hv_subtown_wuhuan_01,烏桓部落營,True
building_culture_variants_name_hv_subtown_wuhuan_02,烏桓部落群,True
building_culture_variants_name_hv_subtown_xiongnu_00,零散匈奴區,True
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴部落營,True
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴部落群,True
building_culture_variants_name_hv_subtown_yellow_turban_synad_01,Yellow Turban Lodge,False
building_culture_variants_name_hv_subtown_yellow_turban_synad_02,Yellow Turban Hall,False
building_culture_variants_name_hv_subtown_yellow_turban_synad_03,Yellow Turban Synod,False
building_description_texts_long_description_hv_subtown_confucius_01,long_description,True
building_description_texts_long_description_hv_subtown_danyang_01,long_description,True
building_description_texts_long_description_hv_subtown_danyang_02,long_description,True
building_description_texts_long_description_hv_subtown_garrison_01,長描述,True
building_description_texts_long_description_hv_subtown_garrison_02,長描述,True
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,長描述,True
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,長描述,True
building_description_texts_long_description_hv_subtown_garrison_ytr_01,長描述,True
building_description_texts_long_description_hv_subtown_garrison_ytr_02,長描述,True
building_description_texts_long_description_hv_subtown_han_small_farm_01,long_description,True
building_description_texts_long_description_hv_subtown_han_small_farm_02,long_description,True
building_description_texts_long_description_hv_subtown_han_small_farm_03,long_description,True
building_description_texts_long_description_hv_subtown_nanman_outpost_01,long_description,True
building_description_texts_long_description_hv_subtown_nanman_shikar_01,long_description,True
building_description_texts_long_description_hv_subtown_qiang_01,長描述,True
building_description_texts_long_description_hv_subtown_qiang_02,長描述,True
building_description_texts_long_description_hv_subtown_shanyue_01,山越人乃是部落民族，比較不習慣定居在漢人奢侈委靡的城邑中，而習慣在野外紮營度日。雖然這支山地部族並非遊牧民族，但仍較倚重農牧。\\n\\n此族人在紮營地既可自給自足，也能有效準備兵力，應對北方持續加重的入侵威脅。,True
