Text,zh-cn,zh-tw
A Storm of Swords,舞爪,劍刃風暴
A clash is inevitable.,冲突无法避免。,衝突無法避免。
Agronomy,农艺,農藝
Anti-Cavalry Tactics,反制,反騎兵戰術
Organise your troops into a solid wall to deter horses. It's a simple but effective tactic.,将士兵组成人墙来抵御马匹。此战术简单有效。,將士兵組成人墻來抵禦馬匹。此戰術簡單有效。
Assemble,齐心,集結
Soldiers gather under the banner of this hero.,军士聚于此英雄之旗下。,军士聚于此英雄之旗下。
Authority,权威,權威
Blade Mastery,盖世,舞爪
No one dares to challenge this warrior's skill with the blade.,此人武功盖世，无能出其右者。,此人武功蓋世，無能出其右者。
Brawl,熊罴,毆打
Send your warriors into the thick of battle and watch as they fight even more fiercely.,将你的勇士们送入战场，看着他们更加激烈的战斗。,将你的勇士们送入战场，看着他们更加激烈的战斗。
Brute Power,怒猊,蠻力
Fan the flames of war with inextinguishable anger.,以不灭的怒气煽动战火。,以不滅的怒氣煽動戰火。
Burning Soul,炎魂,燃燒元神
The light that burns twice as bright burns half as long.,火势越猛，持烧之时越短。,火勢越猛，持燒之時越短。
City Recovery,城市复兴,城市復興
Condemned Howl,狂啸,天譴之嘯
This warrior fights with a fatal rage - an erratic fury!,此勇士临战则狂，攻势狂暴猛烈！,此勇士挾滔天怒火奮戰，攻勢狂暴猛烈！
Courage of Eastern Wu,英武,東吳之勇
Crossing of the River Sanzu,黄泉,黃泉之路
Did you get the boat fare? Heaven! Earth! Mankind!!,奈何桥前可奈何，三生石上写三生。,奈何橋前可奈何，三生石上寫三生。
Cruel Command,强令,強令
Cunning,智谋,智謀
Distant Courage,决胜千里,千里助勢
Disturb,搅扰,攪擾
Dong Zhuo's Command,相令,相令
Earthen Rampart,壁垒,大地堡壘
An immovable mountain against the tide of the charge.,任由惊涛拍岸，我自不动如山。,任由驚濤拍岸，我自不動如山。
Elemental Vigour,龙胆,五行之力
"The longer this warrior fights, the greater and more inspiring they becomes!",此人会随着战斗时间拉长而越战越勇，激励士气的效果也随之增强！,此人會隨著戰鬥時間拉長而越戰越勇，激勵士氣的效果也隨之增強！
Eviscerate,剔骨,剔骨
"When the victim was aware of what had happened, it must have already been a serious situation.",等到被害者明白过来，就已为时已晚。,等到被害者明白過來，就已爲時已晚。
Expertise,专精,專精
Fire Bomb,火焰弹,火油彈
