Text,zh-cn,zh-tw
A Storm of Swords,舞爪,劍刃風暴
Agronomy,农艺,農藝
Anti-Cavalry Tactics,反制,反騎兵戰術
Assemble,齐心,集結
Authority,权威,權威
Blade Mastery,盖世,舞爪
Brawl,熊罴,毆打
Brute Power,怒猊,蠻力
City Recovery,城市复兴,城市復興
Courage of Eastern Wu,英武,東吳之勇
Cruel Command,强令,強令
Cunning,智谋,智謀
Disturb,搅扰,攪擾
Dong Zhuo's Command,相令,相令
Eviscerate,剔骨,剔骨
Expertise,专精,專精
Fire Control,穿杨,穿楊
First Characteristic,个性一,特性一
Flower of the Battlefield,玉骨,戰場之花
Forest Strider,琼林,森林適性
Frontline Observation,鹰视,前線查探
Ghost of the woods,林鬼,林中之鬼
Herald,先驱,先驅
Indomitable Warrior,无畏,無畏之士
Inner Vitality,内力,内在活力
Inspection,审查,審查
Instinct,本能,本能
Kingmaker,王佐,王佐
Make Calm Down,将才,鎮靜
Mark Target,丛矢,瞄定
Poison-wind,剧毒,毒風
Mettlesome Advance,捣穴,突飛猛進
Mobilisation,动员,動員
Mortal Strike,浴血,致命一擊
Mountains,泰山,山陣
Oil Pot,油罐,油罐
Overwhelmming,填膺,壓倒之勢
Poison-wind,剧毒,毒風
Prevention,预防,預防
Resolve,决心,決心
Restore,回春,回復
Royal Blood,龙脉,皇室貴胄
Second Characteristic,个性二,特性二
Sinister Strike,霆击,險惡一擊
Stylism,文学,文學
Swallow,燕翔,燕翔
The weight on the shoulders,砥柱,身負重擔
Third Characteristic,个性三,特性三
Tracker,追踪,追蹤
Veil of Darkness,莫测,莫測
White Tiger,虎威,白虎
Wisdom of the Waterfall,远瞩,飛泉之智
Wolf,恶狼,惡狼
Zhou the Youth,周郎,周郎
You are royal. Act like it.,九五之尊，当彰显帝王气度。,九五之尊，當彰顯帝王氣度。
Cao Cao's presence unnerves the enemy general!,曹操在场，敌将备受压制！,曹操在場，敵將備受壓制！
A clash is inevitable.,冲突无法避免。,衝突無法避免。
"With skin of earth, arrows rebound, harmless.",凭地利，如披坚甲，箭若无物,皮若堅石，箭矢觸及皆反彈無傷。
