Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated,zhtw
,,0,,,,,,,,,FALSE,TRUE
%-n black mountain decay,%-n 黑山衰退,0,%-n 黑山衰退,,,,,,,,FALSE,TRUE
%-n horse breeding decay,%-n 養馬衰退,0,%-n 養馬衰退,,,,,,,,FALSE,TRUE
%-n stratocracy decay,%-n 軍政衰退,0,%-n 軍政衰退,,,,,,,,FALSE,TRUE
%n Siege Towers per item (at siege escalation),,0,,,,,,,,,FALSE,TRUE
"...dividing up the empire, parcelling it out in fiefs to the various kings and marquises, he was hailed as the mighty conqueror...",,0,,,,,,,,,FALSE,TRUE
"A New Era, A New Ruler.",新時代，新主公。,0,新時代，新主公。,,,,,,,,FALSE,TRUE
A Secret Plan,一條密計,0,一條密計,,,,,,,,FALSE,TRUE
A Storm of Swords,劍刃風暴,0,劍刃風暴,,,,,,,,FALSE,TRUE
A Xiliang colonel has joined your faction.,一名西涼校尉加入您的勢力。,0,一名西涼校尉加入您的勢力。,,,,,,,,FALSE,TRUE
"A blade that is a beauty to behold. Inlaid with gold and embellished with shark skin, this blade is fit for a royal family.",,0,,,,,,,,,FALSE,TRUE
A captain and the guards commanding the army instead of the general.,由校尉和衛官來指揮軍隊。,0,由校尉和衛官來指揮軍隊。,,,,,,,,FALSE,TRUE
A careful decision,慎重決定,0,慎重決定,,,,,,,,FALSE,TRUE
A carefully-placed strike hobbles the unlucky enemy.,,0,,,,,,,,,FALSE,TRUE
A charge from a squadron of Spear cavalry is a daunting sight for any soldier. But to see the warriors of Yan descend upon them is a new brand of terror altogether.,對任何一個士兵來説，一隊持槍騎兵的衝鋒都會令人生畏。但如果殺來的是燕國戰士，則是一種全新的恐怖。,0,對任何一個士兵來説，一隊持槍騎兵的衝鋒都會令人生畏。但如果殺來的是燕國戰士，則是一種全新的恐怖。,,,,,,,,FALSE,TRUE
"A charge of great power, draining Xiahou Yuan's focus.",,0,,,,,,,,,FALSE,TRUE
"A charge, fuelled by stern hearts and sterner blades, that will rip enemy lines apart.",,0,,,,,,,,,FALSE,TRUE
"A charge, fuelled by stern hearts and sterner blades, will rip enemy lines apart.",,0,,,,,,,,,FALSE,TRUE
A clash is inevitable.,衝突無法避免。,0,衝突無法避免。,,,,,,,,FALSE,TRUE
A close observation of the battlefield can bring remarkable insights.,,0,,,,,,,,,FALSE,TRUE
"A cowardly conspiracy! There was a failed attempt to assassinate you during the banquet. Unfortunately, the assaliant was slain by the guards before he could be made to reveal the conspirator's identity.",陰謀！有人於宴會中欲加害於你。事雖未成，但刺客已被护卫弑杀，無法得知是誰在背後主謀。,0,陰謀！有人於宴會中欲加害於你。事雖未成，但刺客已被护卫弑杀，無法得知是誰在背後主謀。,,,,,,,,FALSE,TRUE
"A decree has arrived from the imperial court. A banquet is to be held, and influential nobles from across China are invited to the imperial palace. Wary of our influence, the imperial protector may be plotting something. However, refusing an imperial decree may have grave consequences...",,0,,,,,,,,,FALSE,TRUE
A devastating swing with the power of the risen inferno!,,0,,,,,,,,,FALSE,TRUE
