Key,Text,Tooltip,File
MTU Characters,,False,[06]__By_procrastinator.loc.tsv
Vanilla Characters,,False,[06]__By_procrastinator.loc.tsv
building_chains_chain_tooltip_hv_subtown_confucius,孔子學院序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_danyang,丹陽軍序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison,地方巡衛軍序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]士族莊園序列[[/col]],True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_han_small_farm,補給管理序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman,狩獵區序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman_outpost,南境市肆序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_wuhuan,東胡部落序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落序列,True,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_ytr,太平道序列,False,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_confucius,孔子學院序列,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_danyang,丹陽軍序列,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison,地方巡衛軍序列,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,士族莊園序列,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_han_small_farm,補給管理序列,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman,狩獵區序列,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,南境市肆序列,True,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落序列,True,hv_TEXT_building.loc.tsv
