TromKey,VanillaKey
building_description_texts_long_description_hv_subtown_shanyue_01,building_description_texts_long_description_3k_resource_banditry_white_tiger_yan_shanyue_1
character_skills_localised_description_3k_dlc07_skill_emperor_earth_imperious,character_skills_localised_description_3k_dlc07_skill_emperor_earth_imperious
character_skills_localised_description_hv_historical_skill_ability_fire_01,unit_abilities_tooltip_text_3k_dlc05_ability_into_the_breach
character_skills_localised_description_hv_historical_skill_ability_healer_02,unit_abilities_tooltip_text_3k_dlc05_ability_into_the_breach
character_skills_localised_description_hv_historical_skill_ability_healer_03,unit_abilities_tooltip_text_3k_ytr_ability_one_with_the_people
character_skills_localised_description_hv_historical_skill_ability_scholar_03,unit_abilities_tooltip_text_3k_dlc05_ability_targeted_strike
character_skills_localised_description_hv_skill_ability_into_the_breach_instinct,unit_abilities_tooltip_text_3k_dlc05_ability_into_the_breach
character_skills_localised_description_hv_skill_ability_into_the_breach_resolve,unit_abilities_tooltip_text_3k_dlc05_ability_into_the_breach
character_skills_localised_description_hv_skill_ability_one_with_the_people,unit_abilities_tooltip_text_3k_ytr_ability_one_with_the_people
incidents_localised_title_3k_dlc07_child_emperor_incident_imperial_banquet_result_assassinate,campaign_localised_strings_string_politics_event_assassination
incidents_localised_title_3k_dlc07_child_emperor_incident_imperial_grace,incidents_localised_title_3k_dlc07_child_emperor_incident_high_favour_supply_money
unit_abilities_tooltip_text_hv_ability_one_with_the_people,unit_abilities_tooltip_text_3k_ytr_ability_one_with_the_people
unit_abilities_tooltip_text_hv_historical_ability_fire_01,unit_abilities_tooltip_text_3k_dlc05_ability_into_the_breach
unit_abilities_tooltip_text_hv_historical_ability_healer_02,unit_abilities_tooltip_text_3k_dlc05_ability_into_the_breach
unit_abilities_tooltip_text_hv_historical_ability_healer_03,unit_abilities_tooltip_text_3k_ytr_ability_one_with_the_people
unit_abilities_tooltip_text_hv_historical_ability_scholar_03,unit_abilities_tooltip_text_3k_dlc05_ability_targeted_strike
unit_description_historical_texts_text_hv_unit_iron_fists_of_the_bandit_queen,unit_description_historical_texts_text_3k_main_unit_metal_fists_of_the_bandit_queen
unit_description_historical_texts_text_hv_unit_xian_chen_ying,unit_description_historical_texts_text_3k_dlc05_unit_metal_camp_crushers
unit_description_historical_texts_text_hv_unit_ytr_bringers_of_righteousness,unit_description_historical_texts_text_3k_ytr_unit_wood_bringers_of_righteousness
unit_description_historical_texts_text_hv_unit_ytr_righteous_vanguards,unit_description_historical_texts_text_3k_dlc04_unit_fire_righteous_vanguards
unit_description_historical_texts_text_hv_unit_ytr_the_lands_chosen,unit_description_historical_texts_text_3k_dlc04_unit_water_the_land_s_chosen
