Key,Text,Tooltip,English,OverrideByKey,MappedByText,MappedByPattern,Vanilla,PikaMan,Source,File
building_chains_chain_tooltip_hv_subtown_confucius,孔子学院序列,True,Confucius Institute,,孔子学院序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_danyang,丹阳军序列,True,Danyang Troop Post,,丹阳军序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison,地方巡卫军序列,True,Vigilante ,,,,,地方巡卫军,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]士族庄园序列[[/col]],True,[[col:flavour]]Local Noble's Estate[[/col]],,[[col:flavour]]士族庄园序列[[/col]],,,地方豪强,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_han_small_farm,补给管理序列,True,Supply Management,,补给管理序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman,狩猎区序列,True,Hunting Area,,狩猎区序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,,南境市肆序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,,,,,羌人部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,,,,,山越部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_wuhuan,东胡部落序列,True,Wuhuan Tribe,,,,,乌桓部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,,,,,匈奴部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,,太平道序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_confucius,孔子学院序列,True,Confucius Institute,,孔子学院序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_danyang,丹阳军序列,True,Danyang Troop Post,,丹阳军序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison,地方巡卫军序列,True,Vigilante ,,,,,地方巡卫军,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,士族庄园序列,True,Local Noble's Estate,,士族庄园序列,,,地方豪强,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_han_small_farm,补给管理序列,True,Supply Management,,补给管理序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman,狩猎区序列,True,Hunting Area,,狩猎区序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,,南境市肆序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,,,,,羌人部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,,,,,山越部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_wuhuan,东胡部落序列,True,Wuhuan Tribe,,,,,乌桓部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,,,,,匈奴部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,,太平道序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_confucius,贤师高徒汇聚之所。,True,A place where great teachers and passionate students gather.,,贤师高徒汇聚之所。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_danyang,丹阳人以奋勇著称。陶谦整备军队，训练有素。,True,The people of Danyang have a reputation for bravery. Tao Qian has turned them into a well-trained army.,,丹阳人以奋勇著称。陶谦整备军队，训练有素。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison,巡守卫队在此地域巡逻，骚扰敌军。,True,Vigilantes patrol the region and harass enemy armies.,,巡守卫队在此地域巡逻，骚扰敌军。,,,地方巡卫军建筑序列描述,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_garrison_sun_jian,名门大家所拥有的庄园。,True,The estates of powerful and wealthy families.,,名门大家所拥有的庄园。,,,地方豪强建筑序列描述,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_han_small_farm,完善管理本地货物，回收废弃物品。,True,Manage local products more thoroughly and convert wasted materials into stockpiles.,,完善管理本地货物，回收废弃物品。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman,部落猎人可为我们提供额外的食物。,True,Tribal hunters can provide us with additional food.,,部落猎人可为我们提供额外的食物。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_nanman_outpost,与南境蛮人交易的场所。,True,A place to trade with the natives.,,与南境蛮人交易的场所。,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_qiang,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,这些部落不愿归化，但愿意提供军事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_shanyue,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,这些部落不愿归化，但愿意提供军事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_wuhuan,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,这些部落不愿归化，但愿意提供军事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_xiongnu,这些部落不愿归顺朝廷，但却愿意提供军事援助。,True,"These tribes are reluctant to join Han Chinese society, but they can provide military assistance.",,,,,这些部落不愿归化，但愿意提供军事援助。,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_override_description_hv_subtown_ytr,要开始一段新的征途，人们需要先熟悉路径。,False,At the beginning of a new journey all must learn the new way.,,,,要开始一段新的征途，人们需要先熟悉路径。,,Vanilla,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_confucius_01,孔子学院,True,Confucius Institute,孔子学院,孔子学院序列,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_01,丹阳部队军营,True,Danyang Troop Barrack,,丹阳部队军营,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_danyang_02,丹阳部队营寨,True,Danyang Troop Encampment,丹阳部队营寨,,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_01,重门军哨站,True,Vigilante Posts,,,,,重门军哨站,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_02,重门军营地,True,Vigilante Barracks,,,,,重门军营地,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,士族庭院,True,Local Noble's Household,,,,,地主庭院,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,士族田庄,True,Local Noble's Manor,,,,,巨贾庄园,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_outpost_01,南蛮市肆,True,Nanman-Han Trading Post,南蛮市肆,南境市肆序列,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_nanman_shikar_01,狩猎区,True,Hunting Area,狩猎区,狩猎区序列,,,,OverrideByKey,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_00,羌人散户,True,Scattered Qiang Community,,,,,羌人散户,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_01,羌人聚落,True,Qiang Tribal Camp,,,,,羌人聚落,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_qiang_02,羌人村庄,True,Qiang Tribal Herd,,,,,羌人村庄,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_00,山越营地,True,Scattered Shanyue Community,,,,,山越营地,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_01,山越聚落,True,Shanyue Tribal Herd,,,,,山越聚落,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_shanyue_02,山越集镇,True,Shanyue Tribal Town,,,,,山越集镇,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_01,储备站,True,Stockpile Storage ,,储备站,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_02,仓廪,True,Warehouse,,,,仓廪,,Vanilla,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_small_farm_03,大型仓库,True,Large Warehouse,,大型仓库,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_00,东胡散户,True,Scattered Wuhuan Community,,,,,乌桓散户,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_01,东胡聚落,True,Wuhuan Tribal Camp,,,,,乌桓聚落,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_wuhuan_02,东胡村庄,True,Wuhuan Tribal Herd,,,,,乌桓村庄,Procrastinator,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_00,匈奴散户,True,Scattered Xiongnu Community,,,,,匈奴散户,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴聚落,True,Xiongnu Tribal Camp,,,,,匈奴聚落,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴村庄,True,Xiongnu Tribal Herd,,,,,匈奴村庄,PikaMan,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_01,太平小庙,False,Yellow Turban Lodge,,太平小庙,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_02,太平朝堂,False,Yellow Turban Hall,,太平朝堂,,,,MappedByText,hv_TEXT_building.loc.tsv
building_culture_variants_name_hv_subtown_yellow_turban_synad_03,太平圣殿,False,Yellow Turban Synod,,太平圣殿,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_confucius_01,长描述,True,long_description,,长描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_01,长描述,True,long_description,,长描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_danyang_02,长描述,True,long_description,,长描述,,,,MappedByText,hv_TEXT_building.loc.tsv
building_description_texts_long_description_hv_subtown_garrison_01,长描述,True,long_description,,长描述,,,长描述,MappedByText,hv_TEXT_building.loc.tsv
