Key,Text,Tooltip,English,OverrideByKey,MappedByText,MappedByPattern,Vanilla,PikaMan,Source,File
building_chains_chain_tooltip_hv_subtown_confucius,孔子學院序列,True,Confucius Institute,,孔子學院序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_danyang,丹陽軍序列,True,Danyang Troop Post,,丹陽軍序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison,地方巡衛軍序列,True,Vigilante ,,,,,巡守衛隊,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]士族莊園序列[[/col]],True,[[col:flavour]]Local Noble's Estate[[/col]],,[[col:flavour]]士族莊園序列[[/col]],,,地方豪強,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_han_small_farm,補給管理序列,True,Supply Management,,補給管理序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman,狩獵區序列,True,Hunting Area,,狩獵區序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,,南境市肆序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,,,,,羌人部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,,,,,山越部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_wuhuan,東胡部落序列,True,Wuhuan Tribe,,,,,烏桓部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,,,,,匈奴部落,Procrastinator,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,,太平道序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_confucius,孔子學院序列,True,Confucius Institute,,孔子學院序列,,,,MappedByText,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_danyang,丹陽軍序列,True,Danyang Troop Post,,丹陽軍序列,,,,MappedByText,hv_TEXT_building.loc.tsv
