Key,Text,Tooltip,English,Override by key,Mapped by text,Mapped by pattern,Vanilla,2.2 translation,2.2 translation shortened key,Source,Short Key,File
campaign_payload_ui_details_description_hv_dilemma_dongbai,Character Joins: Dong Bai,False,Character Joins: Dong Bai,,,,,,,Missing,campaign_payload_ui_details_description_hv_dilemma,hv_TEXT_events.loc.tsv
campaign_payload_ui_details_description_hv_dilemma_kill_dong_bai,The house of Dong is destroyed.,False,The house of Dong is destroyed.,,,,,,,Missing,campaign_payload_ui_details_description_hv_dilemma_kill_dong,hv_TEXT_events.loc.tsv
campaign_payload_ui_details_description_hv_incident_ytr_resurrection,Thousands of comrades across China will rise against oppression.,True,Thousands of comrades across China will rise against oppression.,,,,,,,Missing,campaign_payload_ui_details_description_hv_incident_ytr,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc05FIRST,Take her,False,Take her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc05SECOND,Kill her,False,Kill her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc07FIRST,Take her,True,Take her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai_dlc07SECOND,Kill her,True,Kill her,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai_dlc05FIRST,There is no sin against this innocent girl.,False,There is no sin against this innocent girl.,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai_dlc07FIRST,There is no sin against this innocent girl.,True,There is no sin against this innocent girl.,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_hv_dilemma_dong_bai,hv_TEXT_events.loc.tsv
ceo_nodes_description_3k_mtu_ancillary_lady_zou_yuans_armour_unique,Lady Cai's clothes are thin but soft and sturdy.,True,Lady Cai's clothes are thin but soft and sturdy.,,,,,,,Missing,ceo_nodes_description_3k_mtu_ancillary_lady_zou_yuans_armour,hv_TEXT_ceo_armour.loc.tsv
ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01,The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.,False,The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.,,,,,,,Missing,ceo_nodes_description_3k_mtu_ceo_node_career_historical_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
ceo_nodes_title_3k_mtu_ancillary_lady_zou_yuans_armour_unique,Lady Cai's Embroidered Garments,True,Lady Cai's Embroidered Garments,,,,,,,Missing,ceo_nodes_title_3k_mtu_ancillary_lady_zou_yuans_armour,hv_TEXT_ceo_armour.loc.tsv
ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_zou_yuan_01,The Lady of Jingzhou,False,The Lady of Jingzhou,,,,,,,Missing,ceo_nodes_title_3k_mtu_ceo_node_career_historical_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
ceo_nodes_title_ep_ancillary_sima_ying_armour_unique,Chen Deng's Armour,True,Chen Deng's Armour,,,,,,,Missing,ceo_nodes_title_ep_ancillary_sima_ying_armour,hv_TEXT_ceo_career.loc.tsv
ceo_nodes_title_hv_ceo_node_career_historical_chen_deng_01,Man For All Seasons,True,Man For All Seasons,,,,,,,Missing,ceo_nodes_title_hv_ceo_node_career_historical_chen_deng,hv_TEXT_ceo_career.loc.tsv
character_skills_localised_description_hv_skill_ability_crossing_of_the_styx_healer,Did you get the boat fare? Heaven! Earth! Mankind!!,True,Did you get the boat fare? Heaven! Earth! Mankind!!,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_crossing_of_the_styx_scholar,Did you get the boat fare? Heaven! Earth! Mankind!!,True,Did you get the boat fare? Heaven! Earth! Mankind!!,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_youzansen_expertise,Cut down enemies by making an arc with a blade,True,Cut down enemies by making an arc with a blade,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_youzansen,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_youzansen_instinct,Cut down enemies by making an arc with a blade,True,Cut down enemies by making an arc with a blade,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_youzansen,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_description_hv_skill_ability_youzansen_resolve,Cut down enemies by making an arc with a blade,True,Cut down enemies by making an arc with a blade,,,,,,,Missing,character_skills_localised_description_hv_skill_ability_youzansen,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_name_hv_skill_ability_crossing_of_the_styx_healer,Crossing of the River Sanzu,True,Crossing of the River Sanzu,,,,,,,Missing,character_skills_localised_name_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
character_skills_localised_name_hv_skill_ability_crossing_of_the_styx_scholar,Crossing of the River Sanzu,True,Crossing of the River Sanzu,,,,,,,Missing,character_skills_localised_name_hv_skill_ability_crossing_of_the_styx,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_01,The Lady of Jingzhou,False,The Lady of Jingzhou,,,,,,,Missing,custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_02,The Lady of Jingzhou,False,The Lady of Jingzhou,,,,,,,Missing,custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan_03,The Lady of Jingzhou,False,The Lady of Jingzhou,,,,,,,Missing,custom_battle_loadouts_name_3k_mtu_custom_battle_loadout_lady_zou_yuan,hv_TEXT_ceo_career.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_fa_zheng_01,Fa Zheng,False,Fa Zheng,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_fa_zheng,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_ji_ling_01,Ji Ling,False,Ji Ling,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_ji_ling,hv_TEXT_cb_loadout.loc.tsv
custom_battle_loadouts_name_hv_cb_loadout_jiang_qin_01,Jiang Qin,False,Jiang Qin,,,,,,,Missing,custom_battle_loadouts_name_hv_cb_loadout_jiang_qin,hv_TEXT_cb_loadout.loc.tsv
