English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,PikaManZhcn,DiffZhcn,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw,PikaManZhtw,DiffZhtw,SkillKey
Mobilisation,动员,MappedByPattern,,动员,动员,动员,False,動員,MappedByPattern,,動員,動員,動員,False,hv_skill_wood_mobilization_name
Motivating men to fight is the essense of leadership.,激发斗志乃是领军的精髓。,MappedByText,,激发斗志乃是领军的精髓。,激发部卒斗志乃是为将的精髓。,集结百姓亦是策略之一,True,激發鬥志乃是領軍的精髓。,MappedByText,,激發鬥志乃是領軍的精髓。,激發部卒鬥志乃是爲將的精髓。,集結百姓亦是策略之一,True,hv_skill_wood_mobilization_description
Resolve,决心,MappedByPattern,,决心,决心,,False,決心,MappedByPattern,,決心,決心,,False,hv_skill_non_deployable_wood_2_name
"A hero's resolve is not to seem the bravest, but to be it.",所谓英雄，不可徒有其表，需当勇冠三军。,Vanilla,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,,False,英雄的決心並非裝模作樣，而是發自內心的勇氣。,Vanilla,英雄的決心並非裝模作樣，而是發自內心的勇氣。,英雄的決心並非裝模作樣，而是發自內心的勇氣。,所謂英雄，不可徒有其表，需當勇冠三軍。,,True,hv_skill_non_deployable_wood_2_description
Resolve,决心,MappedByPattern,,决心,决心,,False,決心,MappedByPattern,,決心,決心,,False,hv_skill_non_deployable_wood_1_name
"A hero's resolve is not to seem the bravest, but to be it.",所谓英雄，不可徒有其表，需当勇冠三军。,Vanilla,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,,False,英雄的決心並非裝模作樣，而是發自內心的勇氣。,Vanilla,英雄的決心並非裝模作樣，而是發自內心的勇氣。,英雄的決心並非裝模作樣，而是發自內心的勇氣。,所謂英雄，不可徒有其表，需當勇冠三軍。,,True,hv_skill_non_deployable_wood_1_description
Cunning,智谋,MappedByPattern,变化机谋,智谋,智谋,,False,智謀,MappedByPattern,足智多謀,智謀,智謀,,False,hv_skill_non_deployable_water_2_name
Be cunning and full of tricks and your people shall never be destroyed.,多谋善计方可立于不败之地。,Vanilla,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,,False,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,Vanilla,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,多謀善計方可立於不敗之地。,,True,hv_skill_non_deployable_water_2_description
Cunning,智谋,MappedByPattern,变化机谋,智谋,智谋,,False,智謀,MappedByPattern,足智多謀,智謀,智謀,,False,hv_skill_non_deployable_water_1_name
Be cunning and full of tricks and your people shall never be destroyed.,多谋善计方可立于不败之地。,Vanilla,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,,False,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,Vanilla,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,多謀善計方可立於不敗之地。,,True,hv_skill_non_deployable_water_1_description
Expertise,专精,MappedByPattern,,专精,专精,,False,專精,MappedByPattern,,專精,專精,,False,hv_skill_non_deployable_metal_2_name
Martial expertise from hard work. Practice. Preparation. Endless repetition.,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,Vanilla,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,,False,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,Vanilla,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,習技藝，服勞苦，勤習無休懈，方可弓馬嫺熟。,,True,hv_skill_non_deployable_metal_2_description
Expertise,专精,MappedByPattern,,专精,专精,,False,專精,MappedByPattern,,專精,專精,,False,hv_skill_non_deployable_metal_1_name
Martial expertise from hard work. Practice. Preparation. Endless repetition.,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,Vanilla,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,,False,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,Vanilla,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,習技藝，服勞苦，勤習無休懈，方可弓馬嫺熟。,,True,hv_skill_non_deployable_metal_1_description
Instinct,本能,MappedByPattern,,本能,本能,,False,本能,MappedByPattern,,本能,本能,,False,hv_skill_non_deployable_fire_2_name
"Concentrate on the moment: fight, don't think. Use your instincts.",专注当下：切勿迟疑，但斩前敌。,Vanilla,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,,False,專注於當下：只管戰鬥，無須思考。活用直覺。,Vanilla,專注於當下：只管戰鬥，無須思考。活用直覺。,專注於當下：只管戰鬥，無須思考。活用直覺。,專注當下：切勿遲疑，但斬前敵。,,True,hv_skill_non_deployable_fire_2_description
Instinct,本能,MappedByPattern,,本能,本能,,False,本能,MappedByPattern,,本能,本能,,False,hv_skill_non_deployable_fire_1_name
"Concentrate on the moment: fight, don't think. Use your instincts.",专注当下：切勿迟疑，但斩前敌。,Vanilla,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,专注当下：切勿迟疑，但斩前敌。,,False,專注於當下：只管戰鬥，無須思考。活用直覺。,Vanilla,專注於當下：只管戰鬥，無須思考。活用直覺。,專注於當下：只管戰鬥，無須思考。活用直覺。,專注當下：切勿遲疑，但斬前敵。,,True,hv_skill_non_deployable_fire_1_description
Authority,权威,MappedByPattern,,权威,权威,,False,權威,MappedByPattern,,權威,權威,,False,hv_skill_non_deployable_earth_2_name
The responsibility that comes with authority should not be taken lightly.,位尊则必担重任，任重则不能轻举。,Vanilla,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,,False,權威帶來的責任絕不能等閒視之。,Vanilla,權威帶來的責任絕不能等閒視之。,權威帶來的責任絕不能等閒視之。,位尊則必擔重任，任重則不能輕舉。,,True,hv_skill_non_deployable_earth_2_description
Authority,权威,MappedByPattern,,权威,权威,,False,權威,MappedByPattern,,權威,權威,,False,hv_skill_non_deployable_earth_1_name
The responsibility that comes with authority should not be taken lightly.,位尊则必担重任，任重则不能轻举。,Vanilla,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,位尊则必担重任，任重则不能轻举。,,False,權威帶來的責任絕不能等閒視之。,Vanilla,權威帶來的責任絕不能等閒視之。,權威帶來的責任絕不能等閒視之。,位尊則必擔重任，任重則不能輕舉。,,True,hv_skill_non_deployable_earth_1_description
City Recovery,城市复兴,MappedByPattern,,城市复兴,城市复兴,,False,城市復興,MappedByPattern,,城市復興,城市復興,,False,hv_skill_non_deployable_06_name
All must take up their tools and participate in the enormous effort of rebuilding society.,所有人都必须拿起工具，参与到重建社会的大业中去。,MappedByText,,所有人都必须拿起工具，参与到重建社会的大业中去。,所有人都必须拿起工具，参与到重建社会的大业中去。,,False,眾人皆需拿起工具，參與重建江山社稷的龐大工作。,MappedByText,,眾人皆需拿起工具，參與重建江山社稷的龐大工作。,所有人都必須拿起工具，參與到重建社會的大業中去。,,True,hv_skill_non_deployable_06_description
Inspection,审查,MappedByPattern,,审查,审查,,False,審查,MappedByPattern,,審查,審查,,False,hv_skill_non_deployable_05_name
This is the basic way to correct corruption.,清楚腐败以此为本。,MappedByText,,清楚腐败以此为本。,清楚腐败以此为本。,,False,清除腐敗以此爲本。,MappedByText,,清除腐敗以此爲本。,清楚腐敗以此爲本。,,True,hv_skill_non_deployable_05_description
Prevention,预防,MappedByPattern,,预防,预防,,False,預防,MappedByPattern,,預防,預防,,False,hv_skill_non_deployable_04_name
Prevention is better than cure.,防患于未然。,MappedByText,,防患于未然。,防患于未然。,,False,防患於未然。,MappedByText,,防患於未然。,防患於未然。,,False,hv_skill_non_deployable_04_description
Agronomy,农艺,MappedByPattern,,农艺,农艺,,False,農藝,MappedByPattern,,農藝,農藝,,False,hv_skill_non_deployable_03_name
Those who toil the land require more utilitarian approaches.,辛苦劳作的农民们需要的却是更为实用的建筑。,MappedByText,,辛苦劳作的农民们需要的却是更为实用的建筑。,辛苦劳作的农民们需要的却是更为实用的建筑。,,False,耕田的人需要的是更為務實的做法。,MappedByText,,耕田的人需要的是更為務實的做法。,辛苦勞作的農民們需要的卻是更爲實用的建築。,,True,hv_skill_non_deployable_03_description
Herald,先驱,MappedByPattern,,先驱,先驱,,False,先驅,MappedByPattern,,先驅,先驅,,False,hv_skill_non_deployable_02_name
A noble messenger.,一名高贵的信使。,MappedByText,,一名高贵的信使。,一名高贵的信使。,,False,一名高貴的信使。,MappedByText,,一名高貴的信使。,一名高貴的信使。,,False,hv_skill_non_deployable_02_description
Stylism,文学,MappedByPattern,,文学,文学,,False,文學,MappedByPattern,,文學,文學,,False,hv_skill_non_deployable_01_name
An excellent writing skill.,优秀的写作能力。,MappedByText,,优秀的写作能力。,拥有优秀的文笔。,,True,優秀的寫作能力。,MappedByText,,優秀的寫作能力。,擁有優秀的文筆。,,True,hv_skill_non_deployable_01_description
Understanding,理解,Vanilla,理解,理解,理解,,False,將心比心,Vanilla,將心比心,將心比心,理解,,True,hv_skill_emperor_understanding_name
"What you do not wish upon yourself, extend not to others.",己所不欲，勿施于人,Vanilla,己所不欲，勿施于人,己所不欲，勿施于人,己所不欲，勿施于人,,False,己所不欲，勿施於人。,Vanilla,己所不欲，勿施於人。,己所不欲，勿施於人。,己所不欲，勿施於人,,True,hv_skill_emperor_understanding_description
Stability,坚定,Vanilla,坚定,坚定,坚定,,False,穩重如山,Vanilla,穩重如山,穩重如山,堅定,,True,hv_skill_emperor_stability_name
The pillar is strongest at its base.,柱石不倒，在其根基厚实,Vanilla,柱石不倒，在其根基厚实,柱石不倒，在其根基厚实,柱石不倒，在其根基厚实,,False,柱之堅韌，以根基為最。,Vanilla,柱之堅韌，以根基為最。,柱之堅韌，以根基為最。,柱石不倒，在其根基厚實,,True,hv_skill_emperor_stability_description
Reach,志远,Vanilla,志远,志远,志远,,False,有志竟成,Vanilla,有志竟成,有志竟成,志遠,,True,hv_skill_emperor_reach_name
"With no knowledge of what cannot be done, you will accomplish great things.",心怀克服万难之决意，方可成就大事,Vanilla,心怀克服万难之决意，方可成就大事,心怀克服万难之决意，方可成就大事,心怀克服万难之决意，方可成就大事,,False,不知其不可為而為者，當能成就大事。,Vanilla,不知其不可為而為者，當能成就大事。,不知其不可為而為者，當能成就大事。,心懷克服萬難之決意，方可成就大事,,True,hv_skill_emperor_reach_description
Nobility,高尚,Vanilla,高尚,高尚,龙髓,,True,高尚風範,Vanilla,高尚風範,高尚風範,龍髓,,True,hv_skill_emperor_nobility_name
"Virtue cannot be acquired, only nurtured.",美德并非天成，只可造就,Vanilla,美德并非天成，只可造就,美德并非天成，只可造就,美德并非天成，只可造就,,False,修德非一蹴可幾，須時刻培養。,Vanilla,修德非一蹴可幾，須時刻培養。,修德非一蹴可幾，須時刻培養。,美德並非天成，只可造就,,True,hv_skill_emperor_nobility_description
Flexibility,屈伸,Vanilla,屈伸,屈伸,屈伸,,False,無往不適,Vanilla,無往不適,無往不適,屈伸,,True,hv_skill_emperor_flexibility_name
"Like the weather, one's fortune may change by the evening.",天有不测风云，人有旦夕祸福,Vanilla,天有不测风云，人有旦夕祸福,天有不测风云，人有旦夕祸福,天有不测风云，人有旦夕祸福,,False,天有不測風雲，人有旦夕禍福。,Vanilla,天有不測風雲，人有旦夕禍福。,天有不測風雲，人有旦夕禍福。,天有不測風雲，人有旦夕禍福,,True,hv_skill_emperor_flexibility_description
Diligence,勤勉,Vanilla,勤勉,勤勉,勤勉,,False,勤奮努力,Vanilla,勤奮努力,勤奮努力,勤勉,,True,hv_skill_emperor_dilligence_name
