Key,Text,Tooltip,English,OverrideByKey,MappedByText,MappedByPattern,Vanilla,PikaMan,PikaManShortenedKey,Source,Short Key,File
cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_dong_li_guo_rebellion_dilemmaFIRST,,False,Refuse their demands,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_dong_li_guo_rebellion,[dummy]__MTU_dummy.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_dong_li_guo_rebellion_dilemmaSECOND,,False,Send Wang Yun to them,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_dong_li_guo_rebellion,[dummy]__MTU_dummy.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_xun_yu_empty_lunchpail_dilemmaFIRST,,False,Forgive him,,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_xun_yu_empty_lunchpail,[dummy]__MTU_dummy.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_xun_yu_empty_lunchpail_dilemmaSECOND,,False,"Send The ""Gift""",,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_label_3k_main_historical_xun_yu_empty_lunchpail,[dummy]__MTU_dummy.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_dong_li_guo_rebellion_dilemmaFIRST,,False,"You refused to hand over Wang Yun and his family to them. Then the rebels are furious, and they're going through the whole country!",,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_dong_li_guo_rebellion,[dummy]__MTU_dummy.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_dong_li_guo_rebellion_dilemmaSECOND,,False,"Wang Yun went to them obediently and left these words.\\n\\n ""It was my wish to make the country peaceful. I didn't, so I sacrifice myself. The litte emperor has shown kindness to me, and I can't stand to live a miserable life.""",,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_dong_li_guo_rebellion,[dummy]__MTU_dummy.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_xun_yu_empty_lunchpail_dilemmaFIRST,,False,"Instead of sending Xun Yu the ""gift"", you chose to admit your wrong. With him, you swore to take the right path.",,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_xun_yu_empty_lunchpail,[dummy]__MTU_dummy.loc.tsv
cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_xun_yu_empty_lunchpail_dilemmaSECOND,,False,"Xun Yu recognized the meaning of your ""gift"" and made the last choice. You regretted your choice when you heard that he was dead, but it was too late.",,,,,,,Missing,cdir_events_dilemma_choice_details_localised_choice_title_3k_main_historical_xun_yu_empty_lunchpail,[dummy]__MTU_dummy.loc.tsv
ceo_nodes_description_3k_mtu_ancillary_weapon_dachui,,True,"As big as it is, heavy but strong",,,,,,,Missing,ceo_nodes_description_3k_mtu_ancillary_weapon,[02]__MTU_items__Weapons.loc.tsv
ceo_nodes_description_3k_mtu_ceo_node_career_historical_wu_anguo_01,,True,"Although he lost one hand, he was one of the few who survived from duel with Lubu.",,,,,,,Missing,ceo_nodes_description_3k_mtu_ceo_node_career_historical_wu_anguo,[01]__MTU_generals__Wood_champion.loc.tsv
ceo_nodes_title_3k_mtu_ceo_node_career_historical_wu_anguo_01,,True,One Armed Bear,,,,,,,Missing,ceo_nodes_title_3k_mtu_ceo_node_career_historical_wu_anguo,[01]__MTU_generals__Wood_champion.loc.tsv
ceo_nodes_title_hv_ceo_node_career_historical_chen_deng_01,,True,Man For All Seasons,,,,,,,Missing,ceo_nodes_title_hv_ceo_node_career_historical_chen_deng,hv_TEXT_ceo_career.loc.tsv
dilemmas_localised_description_3k_main_historical_dong_li_guo_rebellion_dilemma,,False,Li Jue and Guo Si came to the capital with a huge army. They want avenge for their fallen master. The only thing they want is the neck of the killer.,,,,,,,Missing,dilemmas_localised_description_3k_main_historical_dong_li_guo_rebellion,[dummy]__MTU_dummy.loc.tsv
dilemmas_localised_description_3k_main_historical_xun_yu_empty_lunchpail_dilemma,,False,"You are furious because you found out your old friend and trusted servant, Xun Yu, has turned his back against you. He does not oppose you publicly for the time being, but you are certain he will betray you the first chance he gets. \\n\\n It's time to choose. You can send him a ""gift."" when he receives your ""gift,"" he who shares a deep friendship with you will know the meaning of it...",,,,,,,Missing,dilemmas_localised_description_3k_main_historical_xun_yu_empty_lunchpail,[dummy]__MTU_dummy.loc.tsv
dilemmas_localised_title_3k_main_historical_xun_yu_empty_lunchpail_dilemma,,False,The Last Gift,,,,,,,Missing,dilemmas_localised_title_3k_main_historical_xun_yu_empty_lunchpail,[dummy]__MTU_dummy.loc.tsv
effect_bundles_localised_description_3k_main_effect_bundle_dong_zhou_event_public_order,,False,The chaos caused by Li Jue and Guo Si is devastating the whole country.,,,,,,,Missing,effect_bundles_localised_description_3k_main_effect_bundle_dong_zhou_event_public,[dummy]__MTU_dummy.loc.tsv
effect_bundles_localised_title_3k_main_effect_bundle_dong_zhou_event_public_order,,False,The Cataclysm,,,,,,,Missing,effect_bundles_localised_title_3k_main_effect_bundle_dong_zhou_event_public,[dummy]__MTU_dummy.loc.tsv
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_kong_rong_hero_water_190,,False,"[[b]]Wu Anguo[[/b]]\\nOne Armed Bear\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Although he lost one hand, he was one of the few who survived from duel with Lubu.[[/col]][[/i]]",,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_kong_rong_hero_water,[05]__MTU_sys__Frontend_ui_description.loc.tsv
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_kong_rong_hero_water_194,,False,"[[b]]Wu Anguo[[/b]]\\nOne Armed Bear\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Although he lost one hand, he was one of the few who survived from duel with Lubu.[[/col]][[/i]]",,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_kong_rong_hero_water,[05]__MTU_sys__Frontend_ui_description.loc.tsv
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_wu_anguo_wood_190,,True,"[[b]]Wu Anguo[[/b]]\\nOne Armed Bear\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Although he lost one hand, he was one of the few who survived from duel with Lubu.[[/col]][[/i]]",,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_wu_anguo_wood,hv_TEXT_frontend_features.loc.tsv
frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_wu_anguo_wood_194,,True,"[[b]]Wu Anguo[[/b]]\\nOne Armed Bear\\n\\nGeneral type: {{tr:3k_general_type_wood}}\\n\\n[[col:flavour]][[i]]Although he lost one hand, he was one of the few who survived from duel with Lubu.[[/col]][[/i]]",,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_3k_mtu_template_historical_wu_anguo_wood,hv_TEXT_frontend_features.loc.tsv
frontend_faction_leader_unique_characters_localised_description_hv_frontend_chen_deng,,True,"[[b]]Chen Deng[[/b]]\\nMan For All Seasons\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]Sometimes, just sometimes, power fails to corrupt, and instead leads to altruism and charity.[[/col]][[/i]]",,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_hv_frontend_chen,hv_TEXT_frontend_features.loc.tsv
frontend_faction_leader_unique_characters_localised_description_hv_frontend_lady_cai_190,,False,[[b]]Lady Cai[[/b]]\\nThe Lady of Jingzhou\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.[[/col]][[/i]],,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_hv_frontend_lady_cai,hv_TEXT_frontend_features.loc.tsv
frontend_faction_leader_unique_characters_localised_description_hv_frontend_lady_cai_194,,False,[[b]]Lady Cai[[/b]]\\nThe Lady of Jingzhou\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.[[/col]][[/i]],,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_hv_frontend_lady_cai,hv_TEXT_frontend_features.loc.tsv
frontend_faction_leader_unique_characters_localised_description_hv_frontend_lady_cai_200,,False,[[b]]Lady Cai[[/b]]\\nThe Lady of Jingzhou\\n\\nGeneral type: {{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]The house of Cai is the most famous noble family in Jingzhou. Lady Cai is willing to use the power.[[/col]][[/i]],,,,,,,Missing,frontend_faction_leader_unique_characters_localised_description_hv_frontend_lady_cai,hv_TEXT_frontend_features.loc.tsv
incidents_localised_description_3k_main_char_historical_xun_yu_disappointed_cao_cao,,False,"Xun Yu openly criticized you for seeking power, saying you should be focusing on the restoration of Han dynasty. He even had the gall to say that because of your pursuit of power, you will never see a good end. \\n\\n You were furious, but you could not openly express it, since he was an old friend and a loyal servant.",,,,,,,Missing,incidents_localised_description_3k_main_char_historical_xun_yu_disappointed_cao,[dummy]__MTU_dummy.loc.tsv
incidents_localised_description_3k_main_char_historical_xun_yu_join_cao_cao,,True,"Xun Yu, a renowned strategist, has come to you to offer you his service. Many lords have offered him to join their side, but he rejected all the offers and decided to be a part of your ambition. You were thrilled to accept that someone so talented had come to you.",,,,,,,Missing,incidents_localised_description_3k_main_char_historical_xun_yu_join_cao,[dummy]__MTU_dummy.loc.tsv
incidents_localised_description_hv_incident_cai_yan_dlc05,,False,"Your messengers report a remarkable story. A trader spotted a Han woman living amongst the Xiongnu and identified her as Cai Yan, the daughter of the grand scholar Cai Yong. It seems she was forced to marry a chieftain of the Xiongnu. Perhaps someone could convince this chieftain to free Cai Yan. One of your scouts has already left to investigate...",,,,,,,Missing,incidents_localised_description_hv_incident_cai_yan,hv_TEXT_events.loc.tsv
incidents_localised_description_hv_incident_cai_yan_dlc07,,False,"Your messengers report a remarkable story. A trader spotted a Han woman living amongst the Xiongnu and identified her as Cai Yan, the daughter of the grand scholar Cai Yong. It seems she was forced to marry a chieftain of the Xiongnu. Perhaps someone could convince this chieftain to free Cai Yan. One of your scouts has already left to investigate...",,,,,,,Missing,incidents_localised_description_hv_incident_cai_yan,hv_TEXT_events.loc.tsv
incidents_localised_description_hv_incident_ytr_resurrection,,True,"Once again the flames begin to burn. Now we are ready to destroy the Han dynasty. Our forces are strong, and the old comrades who had to live in hiding will also appear and respond to us. Let's make sure that Zhang Jue's unfulfilled dream come true.",,,,,,,Missing,incidents_localised_description_hv_incident_ytr,hv_TEXT_events.loc.tsv
incidents_localised_title_3k_main_char_historical_xun_yu_disappointed_cao_cao,,False,Xun Yu's Opposition,,,,,,,Missing,incidents_localised_title_3k_main_char_historical_xun_yu_disappointed_cao,[dummy]__MTU_dummy.loc.tsv
pooled_resources_description_hv_pooled_resource_ytr,,False,The Yellow Turban is ready to color the world once again.,,,,,,,Missing,pooled_resources_description_hv_pooled_resource,hv_TEXT_pooled_resource.loc.tsv
pooled_resources_foreign_diplomacy_view_tooltip_hv_pooled_resource_ytr,,False,The Yellow Turban is ready to color the world once again.,,,,,,,Missing,pooled_resources_foreign_diplomacy_view_tooltip_hv_pooled_resource,hv_TEXT_pooled_resource.loc.tsv
unit_description_historical_texts_text_hv_unit_bandits_elite_iron_walls,,True,"The typical bandit force consists of lightly armored troops. These men are not a typical bandit force. A string of victories or lucky looting has netted them the excellent armour wielded by the heavy troops of the Han empire. They now form a heavy spear unit, capable of holding their ground against even the dreaded barded horsemen. With these men, any aspiring bandit warlord may find himself a bandit king or queen, one day.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_bandits_elite_iron,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_blue_turban_infantry,,True,"Move swift as the Wind and closely-formed as the Wood. Attack like the Fire and be still as the Mountain. \\n\\n These elite soldiers hail from Danyang province and are rapidly gaining renown with commanders in the crumbling Han empire. Armed with a glaive and heavy armor, they have gathered a reputation assaulting enemy strongpoints succesfully and routing their defenders. \\n\\n Already, enemies have learned to fear their expertise, as well as the gunpowder bombs they carry with them. When the Blue Turbans have been spotted on the field, the foe knows their days are numbered.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_blue_turban,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_buqu_of_the_left,,True,"Recruited by Liu Bei during his time as ""General of the Left"", these soldiers now are loyal to their general and will fight to see his vision fulfilled. The Han shall be restored, and they will unleash a barrage of arrows upon any rebel who would see the Han extinguished. And And if their foes would close the distance, they shall find that they are equally skilled in melee combat, unless they fight cavalry.  ",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_buqu_of_the,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_jei_fan_infantry,,True,"Treat your men as you would your own beloved sons. And they will follow you into the deepest valley. \\n\\n Serving the heirs of Sun Tzu, these men would willingly follow them into heirs and certain death. Armed with a light glaive and medium armor, these men can hold their own in a variety of situations, facing down cavalry or infantry with equal skill. Their versatility has caused them to be fondly called “problem solvers” by their commanders and are given great respect, which they repay with loyalty.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_jei_fan,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_militia_scout_cavalry,,True,"With the many wars that ravage China, militias everywhere have sprung up to defend their home and livelihood from bandits, yellow turbans, and invading warlords. Tempered by hard-won experience, these men have become adepts at war by survival.  Equally skilled in melee as with the bow, they over time bought horses to level the playing field with the more professional troops they often face. Many of these veterans now flock to the banners of the warlords, providing a rapid response force fit for a variety of situations.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_militia_scout,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_militia_white_tiger_outlaws,,True,"Born from refugees and those peoples who would not submit to the Han empire, these White Tiger Strays have thrown their lot with Yan Baihu, hoping to safeguard their independance. Wearing bad equipment, the most valuable thing they offer to their commanders is their lives; to sell dearly as better men win the battle for them.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_militia_white_tiger,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_nomad_gang_cavalry,,True,"The nomads of the steppes have a reputation for fine horsemanship. These particular horse archers have turned to banditry and pillaging to fill their coffers. They will allign themselves to bandit chiefs of note, who can afford their services by giving them a proportional share of the loot. In battle, they harass the enemy from afar, using their horses to quickly wheel about when the counter-attack comes.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_nomad_gang,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_stray_artisans,,True,"Having fled from their homes, these craftsmen and artisans turn their skills to the defence of their new home and master. \\n\\n Having been selected as the brightest from the many refugees flooding his lands, these engineers serve Tao Qian to the best of their ability. Wielding crossbows, they provide support from afar and will deploy smoke bombs and caltrops when an enemy strays too close. However, these men are not proper soldiers and should not be relied upon to hold the line in melee.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_stray,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_taishan_phantoms,,True,"The bandit queen's forces are bolstered by the presence of these so-called ""phantoms"". Hailing from Taishan, these warriors have already gathered an ominous reputation for the poison bombs they carry with them. If the wind is right, these bombs will cause entire regiments to choke without even comitting to battle. They are furthermore armed with a light sword and cloth armor, so they should not be relied on to hold the line in melee.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_taishan,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_taishan_poison_wind,,True,"Hailing from Taishan, these women have coated their arrow points in a special ointment, made from poisonous herbs native to the region. In battle, A volley from these archers will soon leave the enemy gasping for air as the poison very quickly spreads through their veins. A wise commander will use these soldiers to spread terror through the enemy ranks, yet keep them well-protected: they are vulnerable to cavalry, as their range is limited.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_taishan_poison,hv_TEXT_unit_long_desc.loc.tsv
unit_description_historical_texts_text_hv_unit_yuan_sword_infantry,,True,"The Yuan clan's fame brings many benefits, one of which the number of men willing to lay down their lives in their service. \\n\\n Wielding the noble Jian blade, and protected by stout shields and good armour, these swordsmen will defend their masters with zeal. They form the frontline of the Yuan battleline, chopping and slashing at their foe until either they or themselves are slain.",,,,,,,Missing,unit_description_historical_texts_text_hv_unit_yuan_sword,hv_TEXT_unit_long_desc.loc.tsv
