Text,Count,MappedByText,MappedByPattern,File
,34,,,[03]__MTU_skills___Effect.loc.tsv
 Ability: People of the Horse,1,,,[03]__MTU_skills__Passive_buff.loc.tsv
 General,1,,,[01]__MTU_generals__Wood_champion.loc.tsv
 It’s of no concern to you if they want war.,1,,,[04]__MTU_events__Common.loc.tsv
 Lady Trieu has devoted her life to the fight for freedom.,2,,爲光復駱越而戰，豈可浪費時間於男女情長。,[03]__MTU_skills__Passive_buff.loc.tsv
" Lü Bu is the Warrior Without Equal, but he does not dictate our diplomatic policy. You bid the host thanks and take your leave.",1,,,[04]__MTU_events__Common.loc.tsv
 Reject Lü Bu’s Proposal,1,,,[04]__MTU_events__Common.loc.tsv
 Zhang Xun leads the point of the attack and his men rally around him.,2,,號令三軍攻其一處！,[03]__MTU_skills__Passive_buff.loc.tsv
%-n black mountain decay,1,黑山衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n horse breeding decay,1,養馬衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n resurrection decay,1,復起衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%-n stratocracy decay,1,軍政衰退%-n,,hv_TEXT_effects_pooled_resource.loc.tsv
%n Siege Towers per item (at siege escalation),1,,,hv_TEXT_etc.loc.tsv
"...dividing up the empire, parcelling it out in fiefs to the various kings and marquises, he was hailed as the mighty conqueror...",1,,,hv_TEXT_events_rules.loc.tsv
A Golden Star,1,,,[04]__MTU_events__Common.loc.tsv
A Longing Nostalgia,1,,,[02]__MTU_items__Accessory.loc.tsv
"A New Era, A New Ruler.",1,新時代，新主公。,,hv_TEXT_events_rules.loc.tsv
A Precious Son is Born to Liu Bei,1,,,[04]__MTU_events__Born.loc.tsv
A Remarkable Writer Laments ,2,,,[04]__MTU_events___Cai_family.loc.tsv
A Rush of Tigers and Leopards,3,,虎豹狂奔,hv_TEXT_unit_abilities.loc.tsv
A Secret Plan,4,,,hv_TEXT_effects_skills.loc.tsv
A Storm of Swords,11,,劍刃風暴,hv_TEXT_skills_skill_ability__historical.loc.tsv
A Strong Daughter is Born to Guan Yu,1,,,[04]__MTU_events__Born.loc.tsv
A Strong Daughter is Born to Zhang Fei,1,,,[04]__MTU_events__Born.loc.tsv
A Strong Son is Born to Guan Yu,1,,,[04]__MTU_events__Born.loc.tsv
A Strong Son is Born to Zhang Fei,1,,,[04]__MTU_events__Born.loc.tsv
A Xiliang colonel has joined your faction.,1,一名西涼校尉加入您的勢力。,,hv_TEXT_events.loc.tsv
A beautifully embroidered dress in gold to accent Lady Feng’s overwhelming beauty.,1,,,[02]__MTU_items__Armour.loc.tsv
"A blade that is a beauty to behold. Inlaid with gold and embellished with shark skin, this blade is fit for a royal family.",1,一柄精美絕倫的寶劍。這把飾有鯊皮的鑲金寶劍正好匹配皇室。,,hv_TEXT_skills_basic.loc.tsv
"A blow with all of Chunyu’s strength, mighty as a thunderstrike.",2,,,[03]__MTU_skills___Splash_attack.loc.tsv
A captain and the guards commanding the army instead of the general.,1,,,hv_TEXT_unit_desc.loc.tsv
A careful decision,1,慎重決定,,hv_TEXT_events.loc.tsv
A carefully-placed strike hobbles the unlucky enemy.,4,,精心策劃的襲擊，讓不幸的敵人措手不及。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A charge from a squadron of Spear cavalry is a daunting sight for any soldier. But to see the warriors of Yan descend upon them is a new brand of terror altogether.,1,對任何一個士兵來説，一隊持槍騎兵的衝鋒都會令人生畏。但如果殺來的是燕國戰士，則是一種全新的恐怖。,,hv_TEXT_unit_desc.loc.tsv
"A charge of great power, draining Xiahou Yuan's focus.",1,,發動強力的衝鋒，使夏侯淵耗盡專注力。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A charge, fuelled by stern hearts and sterner blades, that will rip enemy lines apart.",2,,以堅定的心智和強硬的刀刃發起衝鋒，便能一舉撕裂敵陣。,hv_TEXT_skills_skill_ability__historical.loc.tsv
"A charge, fuelled by stern hearts and sterner blades, will rip enemy lines apart.",4,,以堅定的心智和強硬的刀刃發起衝鋒，便能一舉撕裂敵陣。,hv_TEXT_skills_skill_ability__historical.loc.tsv
"A childhood friend of Liu Bei, Jian Yong is carefree and informal, but also a superior orator.",1,,,[01]__MTU_generals__Metal_sentienl.loc.tsv
A clash is inevitable.,6,,衝突無法避免。,hv_TEXT_skills_skill_ability__historical.loc.tsv
A close observation of the battlefield can bring remarkable insights.,1,,以非凡的觀察力縱觀戰場。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A cowardly conspiracy! There was a failed attempt to assassinate you during the banquet. Unfortunately, the assaliant was slain by the guards before he could be made to reveal the conspirator's identity.",1,陰謀！有人於宴會中欲加害於你。事雖未成，但刺客已被护卫弑杀，無法得知是誰在背後主謀。,,ifo_text_TWEAK.loc.tsv
"A decree has arrived from the imperial court. A banquet is to be held, and influential nobles from across China are invited to the imperial palace. Wary of our influence, the imperial protector may be plotting something. However, refusing an imperial decree may have grave consequences...",1,朝廷下達了一道詔書，將在皇宮設宴邀請天下有影響力的貴族。这恐怕是輔政大臣因爲擔心我們的影響力設下的计谋，但违背诏书可能會有嚴重後果……,,ifo_text_TWEAK.loc.tsv
A devastating swing with the power of the risen inferno!,5,,挾帶竄升烈火之力的毀滅一擊！,hv_TEXT_skills_skill_ability__historical.loc.tsv
A display of unstoppable fury.,3,,展現出勢不可擋的憤怒。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A few days after you and your men began searching the mountains, you come across an incredible sight. The den of a large white tiger and its family. The men are intimidated by its size and implore you to go back. You feel as if the massive tiger is staring at you.",1,在您與部下開始搜山幾天後，您遇到了一個不可思議的景象：一隻巨型白虎的巢穴。您的部下被老虎體型嚇到，懇求您回去。您感覺好像那隻巨大的老虎正在盯著你。,,hv_TEXT_events.loc.tsv
A few of your officers have gained additional experience.,1,您的一些官員獲得額外經驗。,,hv_TEXT_events.loc.tsv
A fierce wind blows.,1,,狂風大作。,hv_TEXT_unit_abilities.loc.tsv
A flurry of shafts slows the enemy advance.,2,,漫天箭雨可拖慢敵人前進的速度。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A focus on form allows one to evade and manoeuvre.,1,,專注於身形，便能夠閃躲挪騰。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A forest friendly man.,2,,此人與林爲友。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A furious strike that sends anyone nearby reeling.,3,,飽含怒火的一擊，令周遭敵人無不搖晃欲倒。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A group of beggars appears before you. Among them, a girl dressed nicely comes forward and bows. The girl identifies herself as Dong Bai, the last kin of the tyrant Dong Zhuo, and begs you to take her.",2,前面來了一群乞丐，其中有一名衣冠楚楚的少女上前行禮。女孩自稱董白，是暴君董卓最後的親人。她求你帶她走。,,hv_TEXT_events.loc.tsv
A group of unusual men sporting shaved heads disembark from a ship.  They claim to have journeyed from distant lands to spread the teachings of Buddha. Perhaps it will be worth supporting them?,1,從船上下來一群剃光頭的異人。他們自稱從遙遠地方來此傳播佛道。也許值得支持他們？,,hv_TEXT_events.loc.tsv
"A heavy bow made of iron is not easy to use for ordinary archers. \\n\n The range is rather short due to the strong tension and heavy arrowheads, but the arrows will penetrate the enemy. \\n\n This unit is heavily armed with ironclad, and in close combat, it cuts enemy troops with direct distribution.",1,沉重的鐵弓，對普通弓箭手來說不容易使用。\\n\\n由於强大的張力和沉重的箭頭，射程很短，但箭頭會穿透敵人。\\n\\n這隻部隊裝備有鐵甲，在近距離戰鬥中，可以輕易砍殺敵軍。,,hv_TEXT_unit_long_desc.loc.tsv
"A hero's resolve is not to seem the bravest, but to be it.",2,,英雄的決心並非裝模作樣，而是發自內心的勇氣。,z_dummy_hv_TEXT_non_deployable.loc.tsv
"A letter was sent to Lady Wu of the famous Wu family in Jiangdong - no words, only a drawing of a dying tiger. Soon after, she came to visit you secretly and you brought her into your faction. Your time together reaffirms what’s said about Lady Wu - a practical approach and a devotion to her loved ones. You wonder if your family could be the benefactor of her piety. ",1,,,[04]__MTU_events___Concubine.loc.tsv
A lifetime spent learning the ways of heaven will turn thoughts into belief.,2,,畢生學習天道，便能將想法化為信念。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A look at the battlefield with remarkable insight.,4,,以非凡的觀察力縱觀戰場。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A luxurious, embroidered onyx dress fit for even an Empress.",2,,,[02]__MTU_items__Armour.loc.tsv
A magnificently embroidered dress in silver to match the young beauty’s look.,1,,,[02]__MTU_items__Armour.loc.tsv
"A man of measured approach, but also a keen opportunist that does not let go by a chance to climb higher.",1,,,[01]__MTU_generals__Water_strategist.loc.tsv
A master of the battlefield can undermine even the surest of soldiers.,2,,熟知戰場的人即使面對最有把握的士兵，也能動搖他們的自信。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A merciless order, for Dong Zhuo's men and his enemies.",2,,來自相國嚴苛的命令。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A moment's respite from battlefield to heal our troops.,3,,從戰場上喘息片刻，為我軍療傷。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
"A most joyous occasion! The mistress of Guan Yu gives birth to a daughter. The child the spitting image of her father, She may become a heroine.",1,,,[04]__MTU_events__Born.loc.tsv
A most joyous occasion! The mistress of Guan Yu gives birth to a son. He will definitely be a great general!,1,,,[04]__MTU_events__Born.loc.tsv
A most joyous occasion! The mistress of Liu Bei gives birth to a son. He has pure and mischievous eyes.,1,,,[04]__MTU_events__Born.loc.tsv
"A most joyous occasion! The mistress of Zhang Fei gives birth to a daughter. The child the spitting image of her father, She may become a heroine.",1,,,[04]__MTU_events__Born.loc.tsv
A most joyous occasion! The mistress of Zhang Fei gives birth to a son. He will definitely be a great general!,1,,,[04]__MTU_events__Born.loc.tsv
A mysterious sword from the West. ,1,西域而來的神秘寶劍。,,hv_TEXT_ceo_weapon.loc.tsv
A new regime is coming into power.,1,新政權開始建立。,,hv_TEXT_effects_pooled_resource.loc.tsv
A noble guardian protects his people at all costs.,2,,百姓衛士，民爲其足,[03]__MTU_skills__Active_buff.loc.tsv
A noble messenger.,1,,一名高貴的信使。,z_dummy_hv_TEXT_non_deployable.loc.tsv
A place to trade with the natives.,1,,,hv_TEXT_building.loc.tsv
A place where great teachers and passionate students gather.,1,賢師高徒匯聚之所。,,hv_TEXT_building.loc.tsv
A prince's retinue reflects their glory in splendour. These brave cavalrymen match their splendour with equal prowress in battle.,1,,,hv_TEXT_unit_desc.loc.tsv
A prominent bowyer from your hometown crafted this masterpiece.,1,,,[02]__MTU_items__Bow.loc.tsv
A quiet but enthusiastic supporter.,1,安靜但熱情的支持者。,,z_dummy_hv_TEXT_non_deployable.loc.tsv
"A reckless charge, inspiring but exhausting!",3,,悍然衝鋒，令人激賞，但也消耗氣力！,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A regiment of the Northern Army will join your faction.,1,一個北軍兵團會加入您的勢力。,,hv_TEXT_events.loc.tsv
A remarkable talent.,135,,才華橫溢,hv_TEXT_skills_additional.loc.tsv
A second wind has come.,1,梵風再起，野火重來。,,hv_TEXT_effects_pooled_resource.loc.tsv
A self-defense sword that Jian Yong used to carry in his travels.,1,,,[02]__MTU_items__Weapons.loc.tsv
"A shabby warband requests to join your faction. After Lu Bu's defeat, his daughter Lu Ji seems to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",1,一隻殘軍請求加入您的勢力。呂布戰敗後，其女呂姬收攏潰卒。然而，接納他們可能會惹惱呂布之敵。,,hv_TEXT_events.loc.tsv
"A shabby warband requests to join your faction. After Yuan Shu's defeat, his generals Zhang Xun, Ji Ling and Yan Xiang to have been leading the survivors. However, granting them sanctuary may cause their enemies to come after us.",1,一隻殘軍請求加入您的勢力。袁術戰敗後，其部將張勳，紀靈及閻象收攏潰卒。然而，接納他們可能會惹惱袁術之敵。,,hv_TEXT_events.loc.tsv
"A shining, typical, and above all appropriate model of how one should be.",4,,此人乃是為人表率的耀眼典範，更重要的是其舉止得體。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A shout to inspire soldiers.,1,,軍令如山，凡不聽約束者斬無赦。,hv_TEXT_unit_abilities.loc.tsv
"A single shot, timed and aimed to perfection, outweighs a thousand wasted volleys.",2,,一千發虛擲的矢石，比不上一記時機拿捏得恰到好處的精準射擊。,hv_TEXT_skills_skill_ability__historical.loc.tsv
A special arrow containing a toxic substance.,2,,含有有毒物質的特殊箭頭。,hv_TEXT_skills_skill_skill_name_desc.loc.tsv
A splendid spear with a sharpness that could cut the sky.,1,,,[02]__MTU_items__Weapons.loc.tsv
A successful hunt,1,狩獵成功,,hv_TEXT_events.loc.tsv
"A surprise invasion is launched by the Xiongnu and the city is devastated. Many are wounded or captured during the assault. One of your military advisors informs you that Cai Yong's daughter, the last of his line, Cai Yan is among those captured by the barbarians. The Xiongnu chanyu Liu Bao has placed a sizeable ransom price on her head.\\n",1,,,[04]__MTU_events___Cai_family.loc.tsv
"A surprise invasion is launched by the Xiongnu and your city is devastated. Many are wounded or captured during the assault. One of your military advisors informs you that Cai Yong's daughter, the last of his line, Cai Yan is among those captured by the barbarians. The Xiongnu chanyu Liu Bao has taken her and all the others back north with his horde.",1,,,[04]__MTU_events___Cai_family.loc.tsv
"A tiger does not father nor marry a dog. The Silver Treasure of the prideful Guan Yu is a tigress, and must be treated accordingly. ",1,,,[01]__MTU_generals__Wood_champion.loc.tsv
"A treasure came to us! Lady Du, considered one of the true beauties in all of China, has joined our court! It is known that each and every hero, warlord, and royal longed to make her theirs. You find yourself drawn to her like a moth to the flame and, after spending a great deal of time in her company and in self-contemplation, you must choose if you could see her with another.",1,,,[04]__MTU_events___Concubine.loc.tsv
A war cry from one warrior to another.,4,,從一名戰士傳達到另一名戰士的戰鬥口號。,hv_TEXT_skills_skill_ability__historical.loc.tsv
A warrior who feels truly alive in battle.,4,,以戰爲生的勇士。,hv_TEXT_skills_skill_ability__historical.loc.tsv
A warrior will only fight at their best when they are sure-footed.,1,,對自己有信心，戰士才能完全發揮實力。,hv_TEXT_skills_skill_ability_name_desc.loc.tsv
A weapon befitting a warrior destined for great things.,1,,,[02]__MTU_items__Weapons.loc.tsv
A weapon of which there exists no rival.,1,,,[02]__MTU_items__Weapons.loc.tsv
A yellow turban warband has invaded your territory. You must defeat them.,1,有黃巾軍侵入主公領地，須從速討敵。,,hv_TEXT_events.loc.tsv
Ability : Commanding Presence,2,,,[03]__MTU_skills__Passive_debuff.loc.tsv
Ability : Dignity,1,,,[03]__MTU_skills__Active_debuff.loc.tsv
Ability: A Secret Plan,1,,技能：一條密計,hv_TEXT_effects_skills.loc.tsv
