English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,DiffZhcn,DiffZhtw,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw,SkillKey
Mobilisation,动员,MappedByPattern,,动员,动员,False,False,動員,MappedByPattern,,動員,動員,hv_skill_wood_mobilization_name
Motivating men to fight is the essense of leadership.,激发部卒斗志乃是为将的精髓。,Procrastinator,,激发斗志乃是领军的精髓。,激发部卒斗志乃是为将的精髓。,False,False,激發部卒鬥志乃是爲將的精髓。,Procrastinator,,激發鬥志乃是領軍的精髓。,激發部卒鬥志乃是爲將的精髓。,hv_skill_wood_mobilization_description
Resolve,决心,MappedByPattern,,决心,决心,False,False,決心,MappedByPattern,,決心,決心,hv_skill_non_deployable_wood_2_name
"A hero's resolve is not to seem the bravest, but to be it.",所谓英雄，不可徒有其表，需当勇冠三军。,Vanilla,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,False,True,英雄的決心並非裝模作樣，而是發自內心的勇氣。,Vanilla,英雄的決心並非裝模作樣，而是發自內心的勇氣。,英雄的決心並非裝模作樣，而是發自內心的勇氣。,所謂英雄，不可徒有其表，需當勇冠三軍。,hv_skill_non_deployable_wood_2_description
Resolve,决心,MappedByPattern,,决心,决心,False,False,決心,MappedByPattern,,決心,決心,hv_skill_non_deployable_wood_1_name
"A hero's resolve is not to seem the bravest, but to be it.",所谓英雄，不可徒有其表，需当勇冠三军。,Vanilla,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,所谓英雄，不可徒有其表，需当勇冠三军。,False,True,英雄的決心並非裝模作樣，而是發自內心的勇氣。,Vanilla,英雄的決心並非裝模作樣，而是發自內心的勇氣。,英雄的決心並非裝模作樣，而是發自內心的勇氣。,所謂英雄，不可徒有其表，需當勇冠三軍。,hv_skill_non_deployable_wood_1_description
Cunning,智谋,MappedByPattern,变化机谋,智谋,智谋,False,False,智謀,MappedByPattern,足智多謀,智謀,智謀,hv_skill_non_deployable_water_2_name
Be cunning and full of tricks and your people shall never be destroyed.,多谋善计方可立于不败之地。,Vanilla,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,False,True,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,Vanilla,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,多謀善計方可立於不敗之地。,hv_skill_non_deployable_water_2_description
Cunning,智谋,MappedByPattern,变化机谋,智谋,智谋,False,False,智謀,MappedByPattern,足智多謀,智謀,智謀,hv_skill_non_deployable_water_1_name
Be cunning and full of tricks and your people shall never be destroyed.,多谋善计方可立于不败之地。,Vanilla,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,多谋善计方可立于不败之地。,False,True,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,Vanilla,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,兵不厭詐，謀如湧泉，則手下士兵無堅不摧。,多謀善計方可立於不敗之地。,hv_skill_non_deployable_water_1_description
Expertise,专精,MappedByPattern,,专精,专精,False,False,專精,MappedByPattern,,專精,專精,hv_skill_non_deployable_metal_2_name
Martial expertise from hard work. Practice. Preparation. Endless repetition.,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,Vanilla,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,习技艺，服劳苦，勤习无休懈，方可弓马娴熟。,False,True,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,Vanilla,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,高強武藝來自勤練。必須孜孜不倦、未雨綢繆、千錘百鍊。,習技藝，服勞苦，勤習無休懈，方可弓馬嫺熟。,hv_skill_non_deployable_metal_2_description
Expertise,专精,MappedByPattern,,专精,专精,False,False,專精,MappedByPattern,,專精,專精,hv_skill_non_deployable_metal_1_name
