Key,Text,Tooltip,English,Source,OverrideByKey,MappedByPattern,MappedByText,Iascus,Vanilla,Leiwai,Procrastinator,PikaMan,Mtu,File
building_chains_chain_tooltip_hv_subtown_confucius,孔子學院序列,True,Confucius Institute,Procrastinator,,,,孔子學院,,,孔子學院序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_danyang,丹陽軍序列,True,Danyang Troop Post,Procrastinator,,,,丹陽部隊據點,,,丹陽軍序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison,地方巡衛軍序列,True,Vigilante ,Procrastinator,,,,巡守衛隊,,,地方巡衛軍序列,巡守衛隊,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]士族莊園序列[[/col]],True,[[col:flavour]]Local Noble's Estate[[/col]],Procrastinator,,,,[[col:flavour]]地方豪强莊園[[/col]],,,[[col:flavour]]士族莊園序列[[/col]],地方豪強,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_han_small_farm,補給管理序列,True,Supply Management,Procrastinator,,,,補給管理,,,補給管理序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman,狩獵區序列,True,Hunting Area,Procrastinator,,,,狩獵區,,,狩獵區序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_nanman_outpost,南境市肆序列,True,Nanman-Han Trading Post,Procrastinator,,,,南蠻交易所,,,南境市肆序列,,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落序列,True,Qiang Tribe,Procrastinator,,,,羌人部落,,,羌人部落序列,羌人部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落序列,True,Shanyue Tribe,Procrastinator,,,,山越部落,,,山越部落序列,山越部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_wuhuan,東胡部落序列,True,Wuhuan Tribe,Procrastinator,,,,烏桓部落,,,東胡部落序列,烏桓部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落序列,True,Xiongnu Tribe,Procrastinator,,,,匈奴部落,,,匈奴部落序列,匈奴部落,,hv_TEXT_building.loc.tsv
building_chains_chain_tooltip_hv_subtown_ytr,太平道序列,False,Yellow Turban Cult,Procrastinator,,,,黃巾教派,,,太平道序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_confucius,孔子學院序列,True,Confucius Institute,Procrastinator,,,,孔子學院,,,孔子學院序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_danyang,丹陽軍序列,True,Danyang Troop Post,Procrastinator,,,,丹陽部隊據點,,,丹陽軍序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison,地方巡衛軍序列,True,Vigilante ,Procrastinator,,,,巡守衛隊,,,地方巡衛軍序列,巡守衛隊,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,士族莊園序列,True,Local Noble's Estate,Procrastinator,,,,地方豪强莊園,,,士族莊園序列,地方豪強,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_han_small_farm,補給管理序列,True,Supply Management,Procrastinator,,,,補給管理,,,補給管理序列,,,hv_TEXT_building.loc.tsv
building_chains_encyclopedia_name_hv_subtown_nanman,狩獵區序列,True,Hunting Area,Procrastinator,,,,狩獵區,,,狩獵區序列,,,hv_TEXT_building.loc.tsv
