Key,English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,DiffZhcn,DiffZhtw,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw
building_chains_override_description_hv_subtown_han_small_farm,Manage local products more thoroughly and convert wasted materials into stockpiles.,完善管理本地货物，回收废弃物品。,MappedByText,,完善管理本地货物，回收废弃物品。,完善管理本地货物，回收废弃物品,True,True,完善管理本地貨物，回收廢棄物品。,MappedByText,,完善管理本地貨物，回收廢棄物品。,完善管理本地貨物，回收廢棄物品
building_chains_override_description_hv_subtown_nanman,Tribal hunters can provide us with additional food.,部落猎人可为我们提供额外的食物。,MappedByText,,部落猎人可为我们提供额外的食物。,部落猎人可为我方提供额外的食物。,True,True,部落獵人可爲我們提供額外的食物。,MappedByText,,部落獵人可爲我們提供額外的食物。,部落獵人可爲我方提供額外的食物。
building_culture_variants_name_hv_subtown_danyang_01,Danyang Troop Barrack,丹阳部队军营,MappedByText,,丹阳部队军营,丹阳军兵营,True,True,丹陽部隊軍營,MappedByText,,丹陽部隊軍營,丹陽軍兵營
building_culture_variants_name_hv_subtown_danyang_02,Danyang Troop Encampment,丹阳部队营寨,OverrideByKey,,丹阳部队营寨,丹阳军营寨,True,True,丹陽部隊營寨,OverrideByKey,,丹陽部隊營寨,丹陽軍營寨
building_short_description_texts_short_description_hv_subtown_shanyue_02,"Although their palisade walls are an unfortunate necessity, the Shanyue seek only to live in peace.",山越之民虽然筑起了围墙，实际上却只想过太平日子。,Vanilla,山越之民虽然筑起了围墙，实际上却只想过太平日子。,山越之民虽然筑起了围墙，实际上却只想过太平日子。,为了过上太平的日子，越民不得不在其住处筑起高墙。,True,True,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,Vanilla,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,雖然山越人不得不建起柵欄保護自己，但其實他們只想和平度日。,爲了過上太平的日子，越民不得不在其住處築起高牆。
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,Zong Bu,宗部序列,MappedByText,,宗布,宗布,True,True,宗部序列,MappedByText,,宗布,宗布
campaign_effect_scopes_localised_text_character_to_force_own_when_commanding,[[col:scope_description]](own army when commanding)[[/col]],[[col:scope_description]]（指挥时自军队）[[/col]],MappedByText,,[[col:scope_description]]（指挥时自军队）[[/col]],[[col:scope_description]]（指挥时我方军队）[[/col]],True,True,[[col:scope_description]]（指揮時自軍隊）[[/col]],MappedByText,,[[col:scope_description]]（指揮時自軍隊）[[/col]],[[col:scope_description]]（指揮時我方軍隊）[[/col]]
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_character_enemy_regionwide,[[col:scope_description]](enemies in local {{tr:map_region}})[[/col]],[[col:scope_description]]（本{{tr:map_region}}内的敌军）[[/col]],MappedByText,[[col:scope_description]]（所在{{tr:map_region}}中敌方）[[/col]],[[col:scope_description]]（本{{tr:map_region}}内的敌军）[[/col]],[[col:scope_description]]（{{tr:map_region}}内的敌军）[[/col]],True,True,[[col:scope_description]]（本{{tr:map_region}}內的敵軍）[[/col]],MappedByText,[[col:scope_description]]（所在{{tr:map_region}}內的敵人）[[/col]],[[col:scope_description]]（本{{tr:map_region}}內的敵軍）[[/col]],[[col:scope_description]]（{{tr:map_region}}內的敵軍）[[/col]]
campaign_effect_scopes_localised_text_hv_effect_scope_character_to_character_own_forcewide_when_commanding,[[col:scope_description]](own army when commanding)[[/col]],[[col:scope_description]]（指挥时自军队）[[/col]],MappedByText,,[[col:scope_description]]（指挥时自军队）[[/col]],[[col:scope_description]]（指挥时我方军队）[[/col]],True,True,[[col:scope_description]]（指揮時自軍隊）[[/col]],MappedByText,,[[col:scope_description]]（指揮時自軍隊）[[/col]],[[col:scope_description]]（指揮時我方軍隊）[[/col]]
campaign_localised_strings_string_3k_dlc07_captains_armoury_whitewater_title,A Secret Plan,一条密计,MappedByText,,一条密计,密计,True,True,一條密計,MappedByText,,一條密計,密計
