Key,English,MappedZhcn,SourceZhcn,VanillaZhcn,IascusZhcn,ProcrastinatorZhcn,DiffZhcn,DiffZhtw,MappedZhtw,SourceZhtw,VanillaZhtw,IascusZhtw,ProcrastinatorZhtw,Skill
character_skills_localised_name_3k_main_skill_special_ability_earth_advance,Order to Advance,军令,Mtu,,,军令,False,False,軍令,Mtu,,,軍令,3k_main_ability_advance
special_ability_phases_onscreen_name_3k_main_ability_advance,Order to Advance,军令,Mtu,,,军令,False,False,軍令,Mtu,,,軍令,3k_main_ability_advance
unit_abilities_onscreen_name_3k_main_ability_advance,Order to Advance,军令,Mtu,,,军令,False,False,軍令,Mtu,,,軍令,3k_main_ability_advance
unit_ability_types_localised_description_3k_main_ability_advance,Order to Advance,军令,Mtu,,,军令,False,False,軍令,Mtu,,,軍令,3k_main_ability_advance
character_skills_localised_description_3k_main_skill_special_ability_earth_advance,"“Do not fear, men! You are the great warriors of the Jingdong!”",军令如山，不听约束者皆斩之。,Mtu,,,军令如山，不听约束者皆斩之。,False,False,軍令如山，不聽約束者皆斬之。,Mtu,,,軍令如山，不聽約束者皆斬之。,3k_main_ability_advance
unit_abilities_tooltip_text_3k_main_ability_advance,"“Do not fear, men! You are the great warriors of the Jingdong!”",军令如山，不听约束者皆斩之。,Mtu,,,军令如山，不听约束者皆斩之。,False,False,軍令如山，不聽約束者皆斬之。,Mtu,,,軍令如山，不聽約束者皆斬之。,3k_main_ability_advance
character_skills_localised_name_3k_main_skill_special_ability_earth_battle_stance,Battle Stance,厉兵,Mtu,,,厉兵,False,False,厲兵,Mtu,,,厲兵,3k_main_ability_battle_stance
special_ability_phases_onscreen_name_3k_main_ability_battle_stance,Battle Stance,厉兵,Mtu,,,厉兵,False,False,厲兵,Mtu,,,厲兵,3k_main_ability_battle_stance
unit_abilities_onscreen_name_3k_main_ability_battle_stance,Battle Stance,厉兵,Mtu,,,厉兵,False,False,厲兵,Mtu,,,厲兵,3k_main_ability_battle_stance
unit_ability_types_localised_description_3k_main_ability_battle_stance,Battle Stance,厉兵,Mtu,,,厉兵,False,False,厲兵,Mtu,,,厲兵,3k_main_ability_battle_stance
character_skills_localised_description_3k_main_skill_special_ability_earth_battle_stance,"If you know the enemy and know yourself, you will be formidable in battle.",知己知彼，百战不殆。,Mtu,,,知己知彼，百战不殆。,False,False,知己知彼，百戰不殆。,Mtu,,,知己知彼，百戰不殆。,3k_main_ability_battle_stance
unit_abilities_tooltip_text_3k_main_ability_battle_stance,"If you know the enemy and know yourself, you will be formidable in battle.",知己知彼，百战不殆。,Mtu,,,知己知彼，百战不殆。,False,False,知己知彼，百戰不殆。,Mtu,,,知己知彼，百戰不殆。,3k_main_ability_battle_stance
character_skills_localised_name_3k_main_skill_special_ability_metal_call_of_courage,Call of Courage,摆宴,Mtu,,,摆宴,False,False,擺宴,Mtu,,,擺宴,3k_main_ability_call_of_courage
special_ability_phases_onscreen_name_3k_main_ability_call_of_courage,Call of Courage,摆宴,Mtu,,,摆宴,False,False,擺宴,Mtu,,,擺宴,3k_main_ability_call_of_courage
unit_abilities_onscreen_name_3k_main_ability_call_of_courage,Call of Courage,摆宴,Mtu,,,摆宴,False,False,擺宴,Mtu,,,擺宴,3k_main_ability_call_of_courage
unit_ability_types_localised_description_3k_main_ability_call_of_courage,Call of Courage,摆宴,Mtu,,,摆宴,False,False,擺宴,Mtu,,,擺宴,3k_main_ability_call_of_courage
character_skills_localised_description_3k_main_skill_special_ability_metal_call_of_courage,"If you survive the battle, I'll treat you to dinner!",设下酒宴，待将军得胜归来！,Mtu,,,设下酒宴，待将军得胜归来！,False,False,設下酒宴，待將軍得勝歸來！,Mtu,,,設下酒宴，待將軍得勝歸來！,3k_main_ability_call_of_courage
unit_abilities_tooltip_text_3k_main_ability_call_of_courage,"If you survive the battle, I'll treat you to dinner!",设下酒宴，待将军得胜归来！,Mtu,,,设下酒宴，待将军得胜归来！,False,False,設下酒宴，待將軍得勝歸來！,Mtu,,,設下酒宴，待將軍得勝歸來！,3k_main_ability_call_of_courage
character_skills_localised_name_3k_main_skill_special_ability_wood_coffin_march,Coffin March,死战,Mtu,,,死战,False,False,死戰,Mtu,,,死戰,3k_main_ability_coffin_march
special_ability_phases_onscreen_name_3k_main_ability_coffin_march,Coffin March,死战,Mtu,,,死战,False,False,死戰,Mtu,,,死戰,3k_main_ability_coffin_march
unit_abilities_onscreen_name_3k_main_ability_coffin_march,Coffin March,死战,Mtu,,,死战,False,False,死戰,Mtu,,,死戰,3k_main_ability_coffin_march
unit_ability_types_localised_description_3k_main_ability_coffin_march,Coffin March,死战,Mtu,,,死战,False,False,死戰,Mtu,,,死戰,3k_main_ability_coffin_march
character_skills_localised_description_3k_main_skill_special_ability_wood_coffin_march,Pang De marches to battle with an empty coffin in his vanguard. It will not remain empty.,庞德要么会取得胜利，要么就是死战入土。,Mtu,,,庞德要么会取得胜利，要么就是死战入土。,False,False,龐德要麼會取得勝利，要麼就是死戰入土。,Mtu,,,龐德要麼會取得勝利，要麼就是死戰入土。,3k_main_ability_coffin_march
unit_abilities_tooltip_text_3k_main_ability_coffin_march,Pang De marches to battle with an empty coffin in his vanguard. It will not remain empty.,庞德要么会取得胜利，要么就是死战入土。,Mtu,,,庞德要么会取得胜利，要么就是死战入土。,False,False,龐德要麼會取得勝利，要麼就是死戰入土。,Mtu,,,龐德要麼會取得勝利，要麼就是死戰入土。,3k_main_ability_coffin_march
character_skills_localised_name_3k_main_skill_special_ability_wood_distrust_power,Distrust of Power,藏刀,Mtu,,,藏刀,False,False,藏刀,Mtu,,,藏刀,3k_main_ability_distrust_power
special_ability_phases_onscreen_name_3k_main_ability_distrust_power,Distrust of Power,藏刀,Mtu,,,藏刀,False,False,藏刀,Mtu,,,藏刀,3k_main_ability_distrust_power
unit_abilities_onscreen_name_3k_main_ability_distrust_power,Distrust of Power,藏刀,Mtu,,,藏刀,False,False,藏刀,Mtu,,,藏刀,3k_main_ability_distrust_power
unit_ability_types_localised_description_3k_main_ability_distrust_power,Distrust of Power,藏刀,Mtu,,,藏刀,False,False,藏刀,Mtu,,,藏刀,3k_main_ability_distrust_power
character_skills_localised_description_3k_main_skill_special_ability_wood_distrust_power,Zhu Tu and Zhu Beng have witnessed first-hand how power steadily corrupted their former friend Zheng Jiang.,不臣之士，话里藏刀。,Mtu,,,不臣之士，话里藏刀。,False,False,不臣之士，話裏藏刀。,Procrastinator,,,不臣之士，話裏藏刀。,3k_main_ability_distrust_power
unit_abilities_tooltip_text_3k_main_ability_distrust_power,Zhu Tu and Zhu Beng have witnessed first-hand how power steadily corrupted their former friend Zheng Jiang.,不臣之士，话里藏刀。,Mtu,,,不臣之士，话里藏刀。,False,False,不臣之士，話裏藏刀。,Procrastinator,,,不臣之士，話裏藏刀。,3k_main_ability_distrust_power
character_skills_localised_name_3k_main_skill_special_ability_water_elegant_and_cultured,Deft Touch,龙韬,Mtu,,,龙韬,False,False,龍韜,Mtu,,,龍韜,3k_main_ability_elegant_and_cultured
special_ability_phases_onscreen_name_3k_main_ability_elegant_and_cultured,Deft Touch,龙韬,Mtu,,,龙韬,False,False,龍韜,Mtu,,,龍韜,3k_main_ability_elegant_and_cultured
unit_abilities_onscreen_name_3k_main_ability_elegant_and_cultured,Deft Touch,龙韬,Mtu,,,龙韬,False,False,龍韜,Mtu,,,龍韜,3k_main_ability_elegant_and_cultured
unit_ability_types_localised_description_3k_main_ability_elegant_and_cultured,Deft Touch,龙韬,Mtu,,,龙韬,False,False,龍韜,Mtu,,,龍韜,3k_main_ability_elegant_and_cultured
