Key,Short Key,Text,Tooltip,,,
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,,附加發展,TRUE,,,
building_description_texts_long_description_hv_subtown_control,,長描述,TRUE,,,
building_short_description_texts_short_description_hv_subtown_control,,短描述,TRUE,,,
building_culture_variants_name_hv_subtown_qiang_00,,零散羌人區,TRUE,,,
building_culture_variants_name_hv_subtown_qiang_01,,羌人部落營,TRUE,,,
building_culture_variants_name_hv_subtown_qiang_02,,羌人部落群,TRUE,,,
building_culture_variants_name_hv_subtown_qiang_03,,羌人部落鎮,TRUE,,,
building_culture_variants_name_hv_subtown_qiang_control_01,,部落控制,TRUE,,,
building_chains_chain_tooltip_hv_subtown_qiang,,羌人部落,TRUE,,,
building_chains_encyclopedia_name_hv_subtown_qiang,,羌人部落,TRUE,,,
building_chains_override_description_hv_subtown_qiang,,這些部落不願歸化，但願意提供軍事援助。,TRUE,,,
building_description_texts_long_description_hv_subtown_qiang_01,,長描述,TRUE,,,
building_description_texts_long_description_hv_subtown_qiang_02,,長描述,TRUE,,,
building_description_texts_long_description_hv_subtown_qiang_03,,長描述,TRUE,,,
building_short_description_texts_short_description_hv_subtown_qiang_01,,短描述,TRUE,,,
building_short_description_texts_short_description_hv_subtown_qiang_02,,短描述,TRUE,,,
building_short_description_texts_short_description_hv_subtown_qiang_03,,短描述,TRUE,,,
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,,羌人部落,TRUE,,,
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,,遊牧民族,TRUE,,,
building_culture_variants_name_hv_subtown_wuhuan_00,,零散烏桓區,TRUE,,,
building_culture_variants_name_hv_subtown_wuhuan_01,,烏桓部落營,TRUE,,,
building_culture_variants_name_hv_subtown_wuhuan_02,,烏桓部落群,TRUE,,,
building_culture_variants_name_hv_subtown_wuhuan_03,,烏桓部落鎮,TRUE,,,
building_culture_variants_name_hv_subtown_wuhuan_control_01,,部落控制,TRUE,,,
building_chains_chain_tooltip_hv_subtown_wuhuan,,烏桓部落,TRUE,,,
building_chains_encyclopedia_name_hv_subtown_wuhuan,,烏桓部落,TRUE,,,
building_chains_override_description_hv_subtown_wuhuan,,這些部落不願歸化，但願意提供軍事援助。,TRUE,,,
building_description_texts_long_description_hv_subtown_wuhuan_01,,長描述,TRUE,,,
building_description_texts_long_description_hv_subtown_wuhuan_02,,長描述,TRUE,,,
building_description_texts_long_description_hv_subtown_wuhuan_03,,長描述,TRUE,,,
building_short_description_texts_short_description_hv_subtown_wuhuan_01,,短描述,TRUE,,,
building_short_description_texts_short_description_hv_subtown_wuhuan_02,,短描述,TRUE,,,
building_short_description_texts_short_description_hv_subtown_wuhuan_03,,短描述,TRUE,,,
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,,烏桓部落,TRUE,,,
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,,遊牧民族,TRUE,,,
building_culture_variants_name_hv_subtown_xiongnu_00,,零散匈奴區,TRUE,,,
