Text,Mapped,Count,Override (manual),Override (pattern),C1,Unit type,Unit name,Unit key,Old,File,Duplicated
%-n black mountain decay,%-n 黑山衰退,1,%-n 黑山衰退,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
%-n horse breeding decay,%-n 養馬衰退,1,%-n 養馬衰退,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
%n Siege Towers per item (at siege escalation),,1,,,,,,,攻城塔 %n  (在擴大攻城規模),hv_TEXT_etc.loc,FALSE
%-n stratocracy decay,%-n 軍政衰退,1,%-n 軍政衰退,,,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_effects_pooled_resource.loc,FALSE
"...dividing up the empire, parcelling it out in fiefs to the various kings and marquises, he was hailed as the mighty conqueror...",,1,,,,,,,...分解帝國，以封地的形式分給各地諸侯，他被譽為強大的征服者...,hv_TEXT_events_rules.loc,FALSE
[[b]]%+n%[[/b]] additional melee hit bonus,近戰命中加成 [[b]]%+n%[[/b]],3,,近戰命中加成 [[b]]%+n%[[/b]],近戰命中加成,,,,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_etc.loc,FALSE
[[b]]%+n%[[/b]] additional melee hit bonus for melee infantry,近戰步兵近戰命中加成 [[b]]%+n%[[/b]],1,,近戰步兵近戰命中加成 [[b]]%+n%[[/b]],近戰命中加成,近戰步兵,,melee infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_basic.loc,FALSE
[[b]]%+n%[[/b]] additional melee hit bonus for Militia units,義勇近戰命中加成 [[b]]%+n%[[/b]],1,,義勇近戰命中加成 [[b]]%+n%[[/b]],近戰命中加成,義勇,,Militia,農民兵、民兵和流民單位的近戰命中率 [[b]]%+n[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] additional melee hit bonus in enemy territory,近戰命中加成 [[b]]%+n%[[/b]],1,,近戰命中加成 [[b]]%+n%[[/b]],近戰命中加成,,,,近戰命中加成在敵方領土 [[b]]%+n[[/b]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] additional melee hit bonus in own territory,近戰命中加成 [[b]]%+n%[[/b]],1,,近戰命中加成 [[b]]%+n%[[/b]],近戰命中加成,,,,近戰命中加成在我方領土 [[b]]%+n[[/b]],hv_TEXT_effects_skills.loc,FALSE
[[b]]%+n%[[/b]] ammunition for ranged units,遠程矢石量 [[b]]%+n%[[/b]],1,,遠程矢石量 [[b]]%+n%[[/b]],矢石量,遠程,,ranged,遠程單位矢石量[[b]]%+n%[[/b]],hv_TEXT_skills_attributes.loc,FALSE
[[b]]%+n%[[/b]] armour cost for Yue units,越族護甲費用 [[b]]%+n%[[/b]],1,,越族護甲費用 [[b]]%+n%[[/b]],護甲費用,越族,,Yue,越族單位護甲[[b]]%+n%[[/b]],hv_TEXT_effects_technology.loc,FALSE
[[b]]%+n%[[/b]] armour for melee infantry,近戰步兵護甲 [[b]]%+n%[[/b]],1,,近戰步兵護甲 [[b]]%+n%[[/b]],護甲,近戰步兵,,melee infantry,[[b]]陸政[[/b]]\\n晉陽女賊\\n\\n將領類型：{{tr:3k_general_type_water}}\\n\\n[[col:flavour]][[i]]狡黠之徒，矢不虛發，乃魁首之腕。[[/col]][[/i]],hv_TEXT_skills_additional.loc,FALSE
