Key,Text,Tooltip
uied_component_texts_localised_string_header_label_NewState_Text_16002f,自定义战斗（WIP）,FALSE
campaign_localised_strings_string_unit_locked_ceo,您没有所需的：%S。,FALSE
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_01,赢得一场您的一名将领亲自杀敌三百人的战斗,FALSE
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked_00,赢得一场您的一名将领亲自杀敌三百人的战斗,FALSE
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,南蛮填地开发,FALSE
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,填地开发,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,孔子学院,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,匪患,TRUE
building_culture_variants_name_hv_subtown_qiang_00,羌人散户,TRUE
building_culture_variants_name_hv_subtown_qiang_01,羌人聚落,TRUE
building_culture_variants_name_hv_subtown_qiang_02,羌人村庄,TRUE
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落,TRUE
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落,TRUE
building_chains_override_description_hv_subtown_qiang,这些部落不愿归化，但愿意提供军事援助。,TRUE
building_description_texts_long_description_hv_subtown_qiang_01,长描述,TRUE
building_description_texts_long_description_hv_subtown_qiang_02,长描述,TRUE
building_short_description_texts_short_description_hv_subtown_qiang_01,短描述,TRUE
building_short_description_texts_short_description_hv_subtown_qiang_02,短描述,TRUE
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,羌人部落,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,游牧民族,TRUE
building_culture_variants_name_hv_subtown_wuhuan_00,乌桓散户,TRUE
building_culture_variants_name_hv_subtown_wuhuan_01,乌桓聚落,TRUE
building_culture_variants_name_hv_subtown_wuhuan_02,乌桓村庄,TRUE
building_chains_chain_tooltip_hv_subtown_wuhuan,乌桓部落,TRUE
building_chains_encyclopedia_name_hv_subtown_wuhuan,乌桓部落,TRUE
building_chains_override_description_hv_subtown_wuhuan,这些部落不愿归化，但愿意提供军事援助。,TRUE
building_description_texts_long_description_hv_subtown_wuhuan_01,长描述,TRUE
building_description_texts_long_description_hv_subtown_wuhuan_02,长描述,TRUE
building_short_description_texts_short_description_hv_subtown_wuhuan_01,短描述,TRUE
building_short_description_texts_short_description_hv_subtown_wuhuan_02,短描述,TRUE
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,乌桓部落,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,游牧民族,TRUE
building_culture_variants_name_hv_subtown_xiongnu_00,匈奴散户,TRUE
building_culture_variants_name_hv_subtown_xiongnu_01,匈奴聚落,TRUE
building_culture_variants_name_hv_subtown_xiongnu_02,匈奴村庄,TRUE
building_chains_chain_tooltip_hv_subtown_xiongnu,匈奴部落,TRUE
building_chains_encyclopedia_name_hv_subtown_xiongnu,匈奴部落,TRUE
building_chains_override_description_hv_subtown_xiongnu,这些部落不愿归化，但愿意提供军事援助。,TRUE
building_description_texts_long_description_hv_subtown_xiongnu_01,长描述,TRUE
building_description_texts_long_description_hv_subtown_xiongnu_02,长描述,TRUE
building_short_description_texts_short_description_hv_subtown_xiongnu_01,短描述,TRUE
building_short_description_texts_short_description_hv_subtown_xiongnu_02,短描述,TRUE
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_xiongnu,匈奴部落,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_xiongnu,游牧民族,TRUE
building_culture_variants_name_hv_subtown_shanyue_00,山越营地,TRUE
building_culture_variants_name_hv_subtown_shanyue_01,山越聚落,TRUE
building_culture_variants_name_hv_subtown_shanyue_02,山越集镇,TRUE
building_chains_chain_tooltip_hv_subtown_shanyue,山越部落,TRUE
building_chains_encyclopedia_name_hv_subtown_shanyue,山越部落,TRUE
building_chains_override_description_hv_subtown_shanyue,这些部落不愿归化，但愿意提供军事援助。,TRUE
building_description_texts_long_description_hv_subtown_shanyue_01,山越部落与汉人习俗不同，他们并不习惯于居住在高屋建瓴的城镇当中，而是习惯于住在帐篷里。他们并不是游牧民族，而是以农业为生，过着田园牧歌一般的生活。\\n\\n帐篷既能满足山越之民们的生活需求，也能让他们有效地为来自北部日益严重的入侵威胁作好准备。,TRUE
building_description_texts_long_description_hv_subtown_shanyue_02,江南一带长久以来一直是山越之民的故乡，他们对这片土地怀有深厚的感情。如今野心勃勃的诸侯们要蚕食他们祖辈所居之地，他们必须拿起武器，以奋战保卫故土。\\n\\n山越之民比汉人更熟悉江南的丘陵地形，他们将自己的堡垒建立在群山中最险要的地方。他们可以在远离天灾人祸的地方安居乐业。,TRUE
building_short_description_texts_short_description_hv_subtown_shanyue_01,「此为我祖辈所居之地，尔等无权强取豪夺！」,TRUE
building_short_description_texts_short_description_hv_subtown_shanyue_02,山越之民虽然筑起了围墙，实际上却只想过太平日子。,TRUE
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_shanyue,山越部落,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_shanyue,宗布,TRUE
building_culture_variants_name_hv_subtown_garrison_sun_jian_01,地主庭院,TRUE
building_culture_variants_name_hv_subtown_garrison_sun_jian_02,巨贾庄园,TRUE
building_chains_chain_tooltip_hv_subtown_garrison_sun_jian,[[col:flavour]]地方豪强庄园[[/col]],TRUE
building_chains_encyclopedia_name_hv_subtown_garrison_sun_jian,地方豪强庄园,TRUE
building_chains_override_description_hv_subtown_garrison_sun_jian,地方豪强的地产。,TRUE
building_description_texts_long_description_hv_subtown_garrison_sun_jian_01,长描述,TRUE
building_description_texts_long_description_hv_subtown_garrison_sun_jian_02,长描述,TRUE
