Key,Text,Tooltip
uied_component_texts_localised_string_header_label_NewState_Text_16002f,自定義戰鬥（WIP）,FALSE
campaign_localised_strings_string_unit_locked_ceo,您沒有所需的：%S。,FALSE
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_01,贏得一場您的一名將領親自殺敵三百人的戰鬥,FALSE
ceo_nodes_description_3k_dlc05_ancillary_title_blood_dragon_locked_00,贏得一場您的一名將領親自殺敵三百人的戰鬥,FALSE
building_ui_groups_onscreen_name_hv_ui_building_group_nanman,南蠻填地開發,FALSE
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_han,填地開發,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_confucius,孔子學院,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_subtown_bandit,劫盜,TRUE
building_culture_variants_name_hv_subtown_qiang_00,零散羌人區,TRUE
building_culture_variants_name_hv_subtown_qiang_01,羌人部落營,TRUE
building_culture_variants_name_hv_subtown_qiang_02,羌人部落群,TRUE
building_chains_chain_tooltip_hv_subtown_qiang,羌人部落,TRUE
building_chains_encyclopedia_name_hv_subtown_qiang,羌人部落,TRUE
building_chains_override_description_hv_subtown_qiang,這些部落不願歸化，但願意提供軍事援助。,TRUE
building_description_texts_long_description_hv_subtown_qiang_01,長描述,TRUE
building_description_texts_long_description_hv_subtown_qiang_02,長描述,TRUE
building_short_description_texts_short_description_hv_subtown_qiang_01,短描述,TRUE
building_short_description_texts_short_description_hv_subtown_qiang_02,短描述,TRUE
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_qiang,羌人部落,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_qiang,遊牧民族,TRUE
building_culture_variants_name_hv_subtown_wuhuan_00,零散烏桓區,TRUE
building_culture_variants_name_hv_subtown_wuhuan_01,烏桓部落營,TRUE
building_culture_variants_name_hv_subtown_wuhuan_02,烏桓部落群,TRUE
building_chains_chain_tooltip_hv_subtown_wuhuan,烏桓部落,TRUE
building_chains_encyclopedia_name_hv_subtown_wuhuan,烏桓部落,TRUE
building_chains_override_description_hv_subtown_wuhuan,這些部落不願歸化，但願意提供軍事援助。,TRUE
building_description_texts_long_description_hv_subtown_wuhuan_01,長描述,TRUE
building_description_texts_long_description_hv_subtown_wuhuan_02,長描述,TRUE
building_short_description_texts_short_description_hv_subtown_wuhuan_01,短描述,TRUE
building_short_description_texts_short_description_hv_subtown_wuhuan_02,短描述,TRUE
building_levels_settlement_ui_displays_tooltip_hv_settlement_panel_display_wuhuan,烏桓部落,TRUE
building_ui_groups_onscreen_name_hv_ui_building_group_wuhuan,遊牧民族,TRUE
